,Healthcare Name,Street Address,City,Zipcode,State,Associated Health System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6141660,Baystate Wing Hospital,40 Wright Street,Palmer,01069-1138,MA,"Baystate Health, Inc.",Non-Profit,2022,Combination of counties and places,"Hampden, Hampshire, Worcester",N/A,"Ludlow, Belchertown, Ware, Palmer Wilbraham, Hampden, Monson, Wales, Brimfield, Holland, Warren, Hardwick, New Braintree, West Brookfield, Brookfield, North Brookfield, East Brookfield. ","Social and Economic Factors, Financial Health and Well-being, Violence and Trauma, Lack of Access and Affordability of Housing, food, and transportation, Climate Crisis, Barriers to Healthcare Access: Insurance and health care related challenges, limited availability of providers, Need for increased cultural humility, need for transportation, lack of care coordination, health literacy and language barriers Health behavior and outcomes: Youth Mental Health, Mental Health and Subtance Use, Chronic Conditions, Infant and Perinatal Health, Alzhemier's Disease ","Financial Health and Well-being, Lack of Access and affortability of Housing, Food, and Transportation, Youth Mental Health. ",https://www.baystatehealth.org/-/media/files/about-us/community-programs/community-benefits/2019-community-health-needs-assessments/baystate-wing-2019-chna-report-final-web.pdf?la=en,https://www.baystatehealth.org/-/media/files/about-us/community-programs/community-benefits/2020-implementation-plan/baystate-wing-strategic-implementation-plan-sip-20202022web.pdf?la=en,community@baystatehealth.org
6140110,"Bedford Veterans Affairs Medical Center, Edith Nourse Rogers Memorial Veterans Hospital",200 Springs Road,Bedford,01730-1198,MA,Department of Veterans Affairs,Unable to Find,N/A unable to find,,,,,,,,,
6141705,Berkshire Medical Center,725 North ST,Pittsfield,01201-4124,MA,"Berkshire Health Systems, Inc.",Non-Profit,2022,List of Counties,Berkshire ,N/A,N/A," Youth Mental Health (regional focus area), Social and Economic Determinants that Impact Health (Social Environment, Housing Needs, Access to Healthy Food, Transportation, and Places to be Active, Employment and Income, Educational Needs), Barriers to Accessing Quality Health Care, Health Conditions and Behaviors (Insurance and Health Care Related Challenges, Limited Availability of Providers, Need for Increased Culturally Sensitive Care, Need for Transportation, Lack of Care Coordination, Health Literacy and Language Barriers), Health Conditions and Behaviors (Mental Health and Substance Use, Chronic Health Conditions)","Behavioral Health and Substance Use Disorder, Social Economic, Accessing services (Healthcare, Insurance, Covid-19 testing and Vaccination), Chronic Disease, Improving Community Safety",https://assets.berkshirehealthsystems.org/wp-content/uploads/2024/04/23134806/BHS_2022_CHNA_FINAL_lupid6.pdf,https://assets.berkshirehealthsystems.org/wp-content/uploads/2024/04/23133924/BerkshireMedicalCenter_BHS_CHIP-2022_FINAL.pdf,"mdaniels@bhs1.org, rgale@bhs1.org                       "
6141720,Beth Israel Deaconess Hospital Plymouth,275 Sandwich Street,Plymouth,02360-2196,MA,Beth Israel Lahey Health,Non-Profit,2019,Combination of counties and places,Plymouth ,N/A,"Plymouth, Carver, Kingston, Duxbury","Social Determinants of Health,The Burden of Substance Use and Mental Health Issues,Limited Access to Behavioral Health (mental health and substance use) Services.,High Rates of Chronic and Acute Physical Health Conditions,High Rates of the Leading Health Risk Factors (e.g., Lack of Nutritional Food and Physical Activity, Alcohol/Illicit Drug Use, and Tobacco Use),Challenges Navigating the System and Coordinating Needed Services","Chronic/complex conditions and their risk factors,Behavioral Health (mental health/substance use),Access to Care,Social Determinants of Health (food insecurity, housing stability)",https://bidplymouth.org/about/community-benefits-needs,https://bidplymouth.org/about/community-benefits-needs,kpeterson@bidplymouth.org
6141410,Beth Israel Deaconess Hospital-Milton,199 Reedsdale Road,Milton,02186-3926,MA,Beth Israel Lahey Health,Non-Profit,2022,Combination of counties and places,NA,N/A,"Milton, Quincy, Randolph",Social determinants of health. ,Social  determinants of health; access to care etc. ,https://bidmilton.org/about/community-benefits-needs,https://bidmilton.org/about/community-benefits-needs,laureane_marquez@bidmilton.org
6141450,Beth Israel Deaconess Hospital-Needham Campus,148 Chestnut Street,Needham,2492,MA,Beth Israel Lahey Health,Non-Profit,2022,Combination of counties and places,NA,N/A,"Dedham, Dover, Needham, Westwood, Newton, Wellesley, Natick, Medfield, Walpole, Norwood, Sharon ,Canton, West Roxbury (Boston)",Focus on community health defined by SODH; environmental factors; service system strengths/weaknesses. ,Focus on leading health issues; populace at risk for poor health and also based on qualitative and quantitative evidence.,https://bidneedham.org/about/community-benefits-needs,https://bidneedham.org/about/community-benefits-needs,community@bidneedham.org
6140013,Beth Israel Deaconess Medical Center,330 Brookline Avenue,Boston,02215-5491,MA,Beth Israel Lahey Health,Non-Profit,2022,List of Places,N/A,N/A,"Chelsea, Lexington, Chestnut Hill, Needham, Brookline, Burlington, Peabody, Bowdoin/Geneva","Housing Issues, Food Insecurity, Transportation, Environmental Justice/Climate, Economic Insecurity, Community Safety, Workforce Development, Small Businesses, Build Capacity of Healthcare Workforce, Navigation of Healthcare System, Linguistic Access Barriers, Promotion/Awareness of SDOH Resources, Diversify Provider Workforce, Cost and Insurance Barriers, Peer-led Services, Addressing Mistrust in Healthcare, Youth Mental Health, Stress, Depression, Anxiety, Isolation, Impacts of Violence & Trauma, Education (for communities, and for providers on how to best reach and treat them), Stigma, Racism (individual and systemic), Culturally Appropriate/Competent Health and Community Services, Homophobia and Transphobia, Lack of Education around Diversity, Equity, and Inclusion (DEI), Diversifying Leadership, Cross Sector Collaboration and Responses, and Linguistic Access/Barriers to Community Resources/Services","Equitable Access to Care,Social Determinants of Health, Mental Health and Substance Use, Chronic and Complex Conditions",https://www.bidmc.org/-/media/files/beth-israel-org/about-bidmc/helping-our-community/community-initiatives/community-benefits/bidmc-2022-community-health-needs-asssessment-093022.pdf,https://www.bidmc.org/-/media/files/beth-israel-org/about-bidmc/helping-our-community/community-initiatives/community-benefits/bidmc-2023-2025-implementation-strategy-101122.pdf,"robert.torres@bilh.org, nancy.kasen@bilh.org"
6140017,Beverly Hospital,85 Herrick Street,Beverly,01915-1777,MA,Beth Israel Lahey Health,Non-Profit,2022,List of Places,N/A,N/A,"Beverly, Danvers, Essex, Gloucester, Ipswich, Lynn, Manchester-by-the-Sea, Middleton, Rockport","Housing, Food Insecurity, Transportation, Economic Insecurity, Workforce Capacity, System Navigation, Digital Divide/Access to Technology Resources, Diversifying the Workforce, Cost and Insurance Barriers to Access, Care Giver Support, Youth Mental Health (Stress, Anxiety, Depression, Isolation), Mental Health Stigma (Racism, Discrimination), Supportive Services for Immigrants, Ageism, Diversifying Leadership, Homophobia/Transphobia, Linguistic Access to Community Resources/Services, Treatment Programs that Address Mental Health and Substance Use Disorders, Transitional Housing","Equitable Access to Care, Social Determinants of Health, Mental Health and Substance Use, Chronic and Complex Conditions",https://beverlyhospital.org/-/media/files/beverly/bh-agh-2022-community-health-needs-assessment-093022.pdf,https://beverlyhospital.org/-/media/files/beverly/bh-agh-2023-2025-implementation-strategy-101022.pdf,marylou.hardy@bilh.org
6140270,Boston Children's Hospital,300 Longwood Avenue,Boston,02115-5737,MA,,Non-Profit,2022,List of Places,N/A,N/A,"Boston, Dorchester, Fenway, Jamaica Plain, Mattapan, Mission Hill, Roxbury, Brookline, Lexington, North Dartmouth, Peabody, Waltham, Weymouth
","Mental health prevention and services, Affordable housing, Early childhood education, Youth supports, Asthma care, Food access, Healthy weight, Youth development workforce and salaries","Promote mental health and emotional wellness, Support affordable and stable housing for children and families, Promote healthy youth development, Increase access to affordable and nutritious food, Improve early childhood education, health, and developmental supports, Improve the health of children and families managing asthma and obesity",https://www.childrenshospital.org/sites/default/files/2022-12/community-health-needs-2022-final-report.pdf,https://www.childrenshospital.org/sites/default/files/2022-12/community-health-needs-2022-improvement-plan.pdf, TalkToUs@childrens.harvard.edu 
6140010,Boston Medical Center,1 Boston Medical Center Place,Boston,02118-2908,MA,,Non-Profit,2022,List of Places,N/A,N/A,"Boston
","Financial Stability and mobility, Housing Affordability, Food Insecurity, Access to Health Care, Social Services, and Childcare, Chronic Disease, Mental Health, Substance Use, Violence and Trauma, Income, Education, Workforce and Employment, Mortality"," Housing ( affordability, quality, homelessness, ownership, gentrification and displacement), Financial Security and Mobility ( jobs, employment, income, education, and workforce training, food security), Behavioral Health (mental health and substance use), Accessing Services (healthcare, childcare, and social services)",https://www.bmc.org/sites/default/files/2022-08/2022%20CHNA.pdf,https://www.bmc.org/sites/default/files/2022-12/2022%20Implementation%20Strategy%20for%20BMC.org_.pdf,N/A
6140680,Bournewood Health Systems,300 South Street,Brookline,02467-3658,MA,,For-Profit,N/A unable to find,,,,,,,,,
6140590,Bridgewater State Hospital,20 Administration Road,Bridgewater,02324-3201,MA,,Unable to Find,N/A unable to find,,,,,,,,,
6140310,Brigham and Women's Faulkner Hospital,1153 Centre Street,Boston,02130-3446,MA,"Partners HealthCare System, Inc.",Non-Profit,2022,Combination of zip codes and places,N/A,"02136, 02130, 02131, 02132","Hyde Park, Jamaica Plain, Roslindale, West Roxbury ","Overall Health and Mortality (Mental Health, Substance Use, Heart Disease, Diabetes, Asthma, Obesity, Covid-19), Financial Stability and Mobility (Income and Poverty, Food Insecurity, Employment, Education), Housing (Housing Affordability, Housing Instability and Transiency, Housing Conditions, Overcrowding), Violence, Trauma and Racism (Trauma, Discrimination, and Racism, Community Violence and Interactions with Police), Mental Health and Substance Use( Mental Health, Depression, and Suicide, Behavioral and Mental Health Care Access and Barriers to Care, Substance Use), Accessing Services (Accessing Childcare Services, Accessing Social and Other Services, Accessing Health Care Services, Chronic Disease)","Housing, Financia Stability and Mobility, Mental and Behavioral Health, Access to Services, Chronic Disease and Healthy Living ",https://www.brighamandwomensfaulkner.org/assets/Faulkner/about-bwfh/community-health/documents/bwfh-chna-report-2022.pdf,https://www.brighamandwomens.org/assets/BWH/about-bwh/community-health-equity/pdfs/2023-mgb-public-chip.pdf,tyslven@bwh.harvard.edu
6140215,Brigham and Women's Hospital,75 Francis Street,Boston,02115-6110,MA,"Partners HealthCare System, Inc.",Non-Profit,2022,List of Places,N/A,N/A,"Dorchester, Jamaica Plain, Mattapan, Mission Hill, Roxbury","Financial Stability and Mobility, Housing, Violence and Trauma, Mental and Behavioral Health, Physical Health and Wellness
","Financial Stability and Mobility, Housing, Violence and Trauma, Mental and Behavioral Health, Physical Health and Wellness",https://www.brighamandwomens.org/assets/BWH/about-bwh/pdfs/2022-chna-report.pdf,https://www.brighamandwomens.org/assets/BWH/about-bwh/community-health-equity/pdfs/2023-mgb-public-chip.pdf,CCHHE@partners.org
6140012,Cambridge Health Alliance,1493 Cambridge Street,Cambridge,02139-1099,MA,,Non-Profit,2019,List of Places,N/A,N/A,"Everett, Malden","Behavioral Health, Chronic Disease, Infectious Disease ","Housing Affordability & Stability (including homelessness), Access to Healthy Food, Economic Stability & Mobility, Access to Care and Services 
",https://www.challiance.org/file%20library/about%20cha/community%20health%20improvement/community%20health%20data%20and%20reports/everett-malden_chna_report_2019.pdf,N/A,jgranick@challiance.org
6141130,Cape Cod Hospital,27 Park Street,Hyannis,02601-5230,MA,"Cape Cod Healthcare, Inc.",Non-Profit,2023,List of Counties,Barnstable,N/A,N/A,"Chronic Disease, Disability, Alzheimer's Disease and Dementia, Behavioral Health (Mental Health and Substance Use), Environmental Health, Infectious and Communicable Disease, Maternal and Child Health,  Economic Stress and Instability, Food Access, Housing, Transportation, Healthcare Access, Aging and Chronic Disease, Health Equity, COVID impact"," Behavioral Health, Healthcare Access, Housing, Health Equity, Economic Stress and Instability 

",https://www.capecodhealth.org/app/files/public/93eed64b-658b-4677-a567-c294f1066683/2023-2025-community-health-needs-assessment.pdf,https://www.capecodhealth.org/app/files/public/fccb9074-e42b-4cb5-8672-4ee59bd892e4/SIP%20FY23.pdf, communitybenefits@capecodhealth.org
6140255,Carney Hospital,2100 Dorchester Avenue,Boston,02124-5615,MA,"Steward Health Care System, LLC",For-Profit,2021,Combination of zip codes and places,N/A,"02122, 02124, 02125, 02169, 02170, 02171","Dorchester, Mattapan, Hyde Park, South Boston, Quincy","Covid-19, Social Determinants of Health (Education, Employment, Poverty, Food Insecurity), Housing and Transportation (Housing cost, Homelessness), Access to Care (Insurance Coverage, Culturally Competent Care)","Mental and Behavioral Health, Chronic Conditions, Substance Use disorder",https://content.steward.org/sites/default/files/inline-files/Carney%20CHNA%20Report.pdf?_gl=1*14ruyb4*_gcl_au*Mzc3MDk4Mzc0LjE3MTkyNDY1Njc.*_ga*MTI4NzMxODE1My4xNzE5MjQ2NTY3*_ga_VEL77B998P*MTcxOTI0NjU2Ny4xLjEuMTcxOTI0NjU5Ny4zMC4wLjA.,N/A,N/A
6141570,Cooley Dickinson Hospital,30 Locust Street,Northampton,01060-2093,MA,"Partners HealthCare System, Inc.",Non-Profit,2022,Combination of counties and places,"Hampshire, Franklin",N/A,"Amherst, Northampton, Easthampton, Belchertown,Chesterfield,Cummington, Goshen, Plainfield, Ashfield, Deerfield, Whately, Leverett, Sunderland, Shutesbury, Wiiliamsburg, Hatfield, Pelham, Hadley, Southampton, Westhampton, Huntington","Social Environment, Housing, Transit, Food Access, Access to Physical Activity, Lack of Resources to Meet Basic Needs, Mental Health and Substance Abuse, Chronic Health Conditions, Alzheimer's, Dementia, Barriers to Accessing Care, particularly for LGBTQIA+ people and Veterans","Digital Equity, Access to Healthy Food, Veterans and Access to Care, Latino Health Access, Language access through medical interpreter services, Opioid Use Disorder, Memory Care Support, Youth Wellbeing/Mental Health, HIV/AIDS",https://www.cooleydickinson.org/wp-content/uploads/2022/10/Cooley-Dickinson-2022-Community-Health-Needs-Assessment-v2.pdf ,https://www.cooleydickinson.org/wp-content/uploads/2022/10/Cooley-Dickinson-2022-2025-Community-Improvement-Plan.pdf ,LRanghelli@PublicHealthWM.org
6140026,Curahealth Hospital Stoughton,"909 Sumner Street, 1st Floor",Stoughton,02072-3396,MA,Curahealth Hospitals,Unable to Find,N/A unable to find,,,,,,,,,
