ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-profit Status,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6540950,Baptist Memorial Hospital-Desoto,7601 Southcrest Parkway,Southaven,38671-4742,MS,Baptist Memorial Health Care Corporation,Yes,2022,Combination of counties and places,"
Desoto",N/A,Memphis Metro,"Behavioral Health, Chronic Disease, Maternal and Child Health","Behavioral Health, Chronic Disease, Maternal and Child Health",https://www.baptistonline.org/-/media/C69A09E0D5D1467D942CD15A9CD38652.pdf,N/A,N/A
6540001,Baptist Memorial Hospital-Golden Triangle,2520 Fifth Street North,Columbus,39705-2095,MS,Baptist Memorial Health Care Corporation,Yes,2022,Combination of counties and places,Lowndes,N/A,North Mississippi,"Behavioral Health, Chronic Disease, Maternal and Child Health","Behavioral Health, Chronic Disease, Maternal and Child Health",https://www.baptistonline.org/about/chna North Mississippi Report,N/A,N/A
6540693,Baptist Memorial Hospital-North Mississippi,2301 South Lamar Boulevard,Oxford,38655-5373,MS,Baptist Memorial Health Care Corporation,Yes,2019,List of Counties,"Benton, Calhoun, Lafayette, Lowndes, Panola, Prentiss, Union",N/A,N/A,"Behavioral Health: Cancer, Chronic Disease, Maternal and Child Health","Behavioral Health: Cancer, Chronic Disease, Maternal and Child Health",https://www.baptistonline.org/-/media/Documents/pdfs/2019-CHNA/FINAL-North-Mississippi-Service-Area-CHNA-Final-Report-2019-08-28.pdf,N/A,N/A
6540657,Baptist Memorial Hospital-Union County,200 Highway 30 West,New Albany,38652-3112,MS,Baptist Memorial Health Care Corporation,Yes,2019,Combination of counties and places,"Benton, Union",N/A,North Mississippi,"Behavior health (specifically increasing behavioral health screenings), Cancer (detection and treatment to reduce death from breast, colorectal and 
lung cancers), Chronic Disease (Smoking, Alzheimer's, Less active lifestyle, Stroke, Respiratory disease), Maternal and Child Health, Lack of Food Securities","Behavioral health, Cancer, Chronic disease management and prevention, Maternal and child health",https://www.baptistonline.org/-/media/Documents/pdfs/2019-CHNA/FINAL-North-Mississippi-Service-Area-CHNA-Final-Report-2019-08-28.pdf,N/A,N/A
6540475,Beacham Memorial Hospital,205 North Cherry Street,Magnolia,39652-2819,MS,,Yes,N/A unable to find,,,,,,,,,
6540161,Bolivar Medical Center,901 East Sunflower Road,Cleveland,38732-2833,MS,LifePoint Health,No,N/A unable to find,,,,,,,,,
6540016,Brentwood Behavioral HealthCare of Mississippi,3531 East Lakeland Drive,Jackson,39232-8839,MS,"Universal Health Services, Inc.",No,N/A unable to find,,,,,,,,,
6540710,Choctaw Health Center,210 Hospital Circle,Philadelphia,39350-6781,MS,,No,N/A unable to find,,,,,,,,,
6540015,Choctaw Regional Medical Center,8613 Highway 12,Ackerman,39735-8708,MS,,Yes,2017,List of Counties,"Choctaw, Winston ",N/A,N/A,"Hypertension, heart disease, diabetes, weightloss/obesity, nutrition, eduction and prevention, increased health literarcy, decrease health disparities","Hypertension, heart disease, diabetes, weightloss/obesity, nutrition, eduction and prevention, increased health literarcy, decrease health disparities",http://www.choctawregional.com/compliance/,http://www.choctawregional.com/compliance/,N/A
6540753,Claiborne County Medical Center,123 McComb Avenue,Port Gibson,39150-2915,MS,,Unable to find,N/A unable to find,,,,,,,,,
6540332,Copiah County Medical Center,27190 Highway 28,Hazlehurst,39083-2228,MS,,Unable to find,N/A unable to find,,,,,,,,,
6540165,Covington County Hospital,701 South Holly Avenue,Collins,39428-3894,MS,,Unable to find,N/A unable to find,,,,,,,,,
6540032,Delta Regional Medical Center,1400 East Union Street,Greenville,38704-5247,MS,,Yes,2022,List of Counties,Washington,N/A,N/A,"Obesity, Diabetes, Heart Disease and Stroke, High Blood Pressure, Mental Health","Obesity, Diabetes, Heart Disease and Stroke, High Blood Pressure, Mental Health",https://www.deltahealthsystem.org/documents/Community-Health-Needs-Assessment-2022.pdf,https://www.deltahealthsystem.org/documents/TMC-Community-Health-Needs-Assessment-Implementation-Plan-2022.pdf,N/A
6540530,East Mississippi State Hospital,1818 College Drive,Meridian,39307,MS,Mississippi State Department of Mental Health,Unable to find,N/A unable to find,,,,,,,,,
6540439,Encompass Health Rehabilitation Hospital of Gulfport,"4500 13th Street, Suite 900",Gulfport,39501-2515,MS,Encompass Health Corporation,No,N/A unable to find,,,,,,,,,
6540130,Field Memorial Community Hospital,178 Highway 24,Centreville,39631-4171,MS,,Unable to find,N/A unable to find,,,,,,,,,
6540315,Forrest General Hospital,6051 U S Highway 49,Hattiesburg,39401-7200,MS,,Unable to find,2022,Combination of counties and places,"Forrest, Lamar",N/A,"Hattiesburg, Petal, Lumberton, Purvis, Sumrall","Injury Prevention, Teenage wellness, Lifestyle Improvement, Education Awareness and Screenings with community partnerships","Injury Prevention, Teenage wellness, Lifestyle Improvement, Education Awareness and Screenings with community partnerships",https://www.forresthealth.org/app/files/public/301dabdf-d099-4692-9a83-70897d73dc69/2022%20Forrest%20General%20Hospital%20CHNA.pdf,https://www.forresthealth.org/app/files/public/301dabdf-d099-4692-9a83-70897d73dc69/2022%20Forrest%20General%20Hospital%20CHNA.pdf,N/A
6540505,Franklin County Memorial Hospital,40 Union Church Road,Meadville,39653-8336,MS,,Yes,N/A unable to find,,,,,,,, ,
6540410,G.V. (Sonny) Montgomery Veterans Affairs Medical Center,1500 East Woodrow Wilson Drive,Jackson,39216-5199,MS,Department of Veterans Affairs,Unable to find,N/A unable to find,,,,,,,,,
6540295,Garden Park Medical Center,15200 Community Road,Gulfport,39503-3085,MS,HCA Healthcare,Yes,N/A unable to find,,,,,,,,,
6540457,George Regional Hospital,859 Winter Street,Lucedale,39452-6603,MS,,Yes,N/A unable to find,,,,,,,,,
6540030,Greene County Hospital,1017 Jackson Avenue,Leakesville,39451-9105,MS,,Yes,N/A unable to find,,,,,,,,,
6540280,Greenwood Leflore Hospital,1401 River Road,Greenwood,38930-4030,MS,,Yes,2019,List of Counties,"Leflore, Sunflower, Tallahatchie, Carroll, Holmes",N/A,N/A,"Cardiovascular Disease, Diabetes, Cancer, Lack of economic opportunties, Transportation, Insurance, Homelessness, Mental health for adolescents","Cardiovascular Disease, Diabetes, Cancer, Lack of economic opportunties, Transportation, Insurance, Homelessness, Mental health for adolescents",https://glh.org/wp-content/uploads/2020/08/GLH_CHNA_print-2019.pdf,https://glh.org/wp-content/uploads/2020/08/GLH_CHNA_print-2019.pdf,N/A
6540285,Gulfport Behavioral Health System,11150 Highway 49 North,Gulfport,39503-4110,MS,"Universal Health Services, Inc.",Unable to find,N/A unable to find,,,,,,,,,
6540754,H. C. Watkins Memorial Hospital,605 South Archusa Avenue,Quitman,39355-2331,MS,Rush Health Systems,Yes,2019,List of Counties,Clarke ,N/A,N/A,"Senior Health, Healthier Lifestyles for Youth, Safety and Accident Prevention, Healthcare- Changes in Delivery - Keeping the Community Informed","Safety, Lifestyles, Cancer Awareness",https://www.rushhealthsystems.org/index.cfm/_api/render/file/?method=inline&fileID=5567E591-6F5A-43F5-9D81D9DC1AE0B75A,https://www.rushhealthsystems.org/index.cfm/_api/render/file/?method=inline&fileID=5B74B5BA-AF8F-43E2-BB91051B14019EE8,N/A
6540037,Hancock Medical Center,149 Drinkwater Boulevard,Bay Saint Louis,39520-1658,MS,Ochsner Health System,Yes,2019,"Combination of counties, zip codes, and places","Hancock, Harrison, Jackson","39520, 39576, 39556, 39525, 39571, 39466, 39521, 39573, 39572, 39526, 39560, 39504, 39501, 39558","Bay Saint Louis, Waveland, Kiln, Diamondhead, Pass Christian, Picayune, Perkinston, Pearlington, Long Beach, Carriere, Gulfport","Chronic Disease & Cancer Management,  Early Detection and Screenings,  Access to Care, Community education","Chronic Disease & Cancer Management, Early Detection and Screenings, Access to Care,  Community education",https://ochsner-craft.s3.amazonaws.com/www/static/OMC-Hancock_CHNA_2019-1.pdf,https://ochsner-craft.s3.amazonaws.com/www/static/OMC-Hancock_CHNA_2019-1.pdf,N/A
6540730,Highland Community Hospital,130 Highland Parkway,Picayune,39466-5574,MS,,Yes,2019,List of Counties,Pearl River,N/A,N/A,"Cancer, heart disease, lower respiratory diseases, deaths from accidents","Cancer, youth drug abuse, hunger",https://www.forresthealth.org/app/files/public/422c8705-64c0-4352-b01e-1389011aa736/highland-community-hospital-chna.pdf,N/A,N/A
6540036,Jasper General Hospital,15 'A' South Sixth Street,Bay Springs,39422-9738,MS,,Unable to find,N/A unable to find,,,,,,,,,
6549030,Jefferson County Hospital,870 South Main Street,Fayette,39069-5695,MS,,Unable to find,N/A unable to find,,,,,,,,,
6540752,Jefferson Davis Community Hospital,1102 Rose Street,Prentiss,39474-5200,MS,,Yes,2019,Combination of counties and places,"Jefferson Davis, Lawrence",N/A,Prentiss,"Healthy Lifestyles - Nutrition in Children, Prevention and Identification - Throat Mouth and Lung Cancer, Healthy Lifestyles - Medication Adherence, Prevention and Identification - Motor Vehicle Accidents","Healthy Lifestyles - Nutrition in Children, Prevention and Identification - Throat Mouth and Lung Cancer, Healthy Lifestyles - Medication Adherence, Prevention and Identification - Motor Vehicle Accidents",https://www.forresthealth.org/app/files/public/527173a4-7364-4850-90fe-239643cd8f4a/jefferson-davis-community-hospital-chna.pdf,https://www.forresthealth.org/app/files/public/527173a4-7364-4850-90fe-239643cd8f4a/jefferson-davis-community-hospital-chna.pdf,N/A
6549241,John C. Stennis Memorial Hospital,14365 Highway 16 West,De Kalb,39328-7974,MS,Rush Health Systems,Yes,2019,Combination of counties and places,"Kemper, Lauderdale, Noxubee",N/A,N/A ,"Cancer Screening and Education Initiatives, Flu Vaccines for Community and School Children, Heart Health Awareness, Creating a Healthy Southern Lifestyle","Cancer Screening and Education Initiatives, Flu Vaccines for Community and School Children, Heart Health Awareness, Creating a Healthy Southern Lifestyle",https://www.ochsnerrush.org/index.cfm/_api/render/file/?method=inline&fileID=39784FEA-00EB-45EA-B8F9D845CB39602B,https://www.ochsnerrush.org/index.cfm/_api/render/file/?method=inline&fileID=585BC8D4-F5AD-4025-9EAAD00A400F4B8F,N/A
6540110,King's Daughters Medical Center,427 Highway 51 North,Brookhaven,39601-2350,MS,QHR,Yes,2021,"Combination of counties, zip codes, and places",Lincoln,"39601, 39629, 39662","Brookhaven, Bogue Chitto, Ruth","Access to affordable healthcare, Education and health programs, Housing and healthy food access","Healthcare disparities, Education and prevention, Drug and Substance abuse, Behavioral health and suicide",https://www.kdmc.org/wp-content/uploads/2022/01/Kings-Daughters-Medical-Center-2021-CHNA-Report-.pdf,N/A,N/A
6540235,Lackey Memorial Hospital,330 Broad Street,Forest,39074-3508,MS,,Yes,2020,"Combination of counties, zip codes, and places",Scout,"39074, 39092, 39117, 39152, 39359, 39051, 39345, 39365, 39042, 39094, 39327, 39218","Forest, Lake, Morton, Pulaski, Sebastopol, Carthage, Newton, Pelahatchie, Union, Brandon, Lena, Decatur, Louin, Richfield","Primary care service, Emergency Medical Services, Wellness Clinic, Diagnostic labs MRI and xray, Mamography, Well child services, Pediatrics, mental health, diabetes educators, othropedics ","Primary care service, Emergency Medical Services, Wellness Clinic, Diagnostic labs MRI and xray, Mamography, Well child services, Pediatrics, mental health, diabetes educators, othropedics ",https://www.lackeymemorialhospital.com/wp-content/uploads/2020/12/Lackey-Memorial-2020-CHNA.pdf,N/A,N/A
6540840,Laird Hospital,25117 Highway 15,Union,39365-9099,MS,Rush Health Systems,Yes,2019,Combination of counties and places,"Newton, Neshoba, Jasper",N/A,"Union, Collinsville, Newton, Decatur, Philadelphia, Meridian","Lifestyle Improvement, Cancer Awareness, Focus on Accident Prevention","Lifestyle Improvement, Cancer Awareness, Focus on Accident Prevention",https://www.ochsnerrush.org/index.cfm/_api/render/file/?method=inline&fileID=571BF249-F6BF-48A7-AD6CFD80AD96775E,https://www.ochsnerrush.org/index.cfm/_api/render/file/?method=inline&fileID=D061D538-6F85-4398-AB9CA61FE8CC1AF2,N/A
6540598,Lawrence County Hospital,Highway 84 East,Monticello,39654-0788,MS,Southwest Health Systems,Yes,N/A unable to find,,,,,,,,,
6540470,Magee General Hospital,300 Third Avenue SE,Magee,39111-3698,MS,,Yes,2021,List of Counties,"Simpson, Covington; Rankin, Smith",N/A,N/A,"Covid-19, Heart Disease & Hypertension, Education & Lifestyle resources, Increase number of primary care physicans, Increase number speciality physicans, Relationships between hospital and community, Mental Health issues","Covid-19, Heart Disease & Hypertension, Education & Lifestyle resources, Increase number of primary care physicans, Increase number speciality physicans, Relationships between hospital and community, Mental Health issues",https://mghosp.org/wp-content/uploads/2022/03/Magee-General-Hospital-CHNA-2021-Final-Version.pdf,https://mghosp.org/wp-content/uploads/2022/03/Magee-General-Hospital-CHNA-2021-Final-Version.pdf,N/A
6540206,Magnolia Regional Health Center,611 Alcorn Drive,Corinth,38834-9321,MS,QHR,Yes,N/A unable to find,,,,,,"
",,,
6540170,Marion General Hospital,1560 Sumrall Road,Columbia,39429-2654,MS,,Yes,2019,List of Counties,Marion ,N/A,N/A,"Chronic diseases, Health education, Lifestyle improvement, Access to care","Healthy lifestyles: Nutrition in Children; Prevention: Motor vehicle accidents; Prevention & identification: Prostate cancer and throat, mouth, & lung cancer",https://www.forresthealth.org/app/files/public/fba015cb-a011-40dd-a501-6b849ec26b6a/marion-general-chna.pdf,https://www.forresthealth.org/app/files/public/fba015cb-a011-40dd-a501-6b849ec26b6a/marion-general-chna.pdf,N/A
6540300,Memorial Hospital at Gulfport,4500 13th Street,Gulfport,39501-2569,MS,,Yes,2019,List of Counties,"Harrison, Hancock, Jackson, Pearl River, Stone, George",n/a,n/a,"Cancer care, Diabetes, Brain and Spinal Cord Injuries, Stroke Care and Heart Health","Cancer care, Diabetes, Brain and Spinal Cord Injuries, Stroke Care and Heart Health",https://www.gulfcoastcommunityexchange.org/content/sites/hancock/resource_library/Memorial_Hospital_CHNA_FINAL_Approved_2019.pdf,https://www.gulfcoastcommunityexchange.org/content/sites/hancock/resource_library/Memorial_Hospital_CHNA_FINAL_Approved_2019.pdf,n/a
6540049,Merit Health Biloxi,150 Reynoir Street,Biloxi,39530-4199,MS,"Community Health Systems, Inc.",Unable to find,N/A unable to find,,,,,,,,,
6540365,Merit Health Central,1850 Chadwick Drive,Jackson,39204-3479,MS,"Community Health Systems, Inc.",Unable to find,N/A unable to find,,,,,,,,,
6540120,Merit Health Madison,161 River Oaks Drive,Canton,39046-5375,MS,"Community Health Systems, Inc.",Unable to find,2021,Combination of counties and places,Madison,N/A,Jackson,"Prevention and Management of Chronic Disease and Related Conditions, Improvement of Access to Care","Prevention and Management of Chronic Disease and Related Conditions, Improvement of Access to Care",https://www.merithealthriverregion.com/Uploads/Public/Documents/Division%201/Merit%20Health%20Central/Merit%202021%20Community%20Health%20Needs%20Assessment.pdf,N/A,N/A
6540607,Merit Health Natchez,54 Seargent 'S' Prentiss Drive,Natchez,39120-4726,MS,"Community Health Systems, Inc.",Unable to find,N/A unable to find,,,,,,,,,
6540100,Merit Health Rankin,350 Crossgates Boulevard,Brandon,39042-2698,MS,"Community Health Systems, Inc.",Unable to find,2021,Combination of counties and places,Rankin,N/A,Jackson,"Prevention and management of chronic disease and related conditions, Improvement of access to care, Decrease health risk behaviors through education and community outreach","Prevention and Management of chronic disease and related conditions, improvement of access to care, Decrease health risk behaviors through communication and community outreach",https://www.merithealthrankin.com/Uploads/Public/Documents/Division%201/Merit%20Health%20Central/Merit%202021%20Community%20Health%20Needs%20Assessment.pdf,N/A,N/A
6540385,Merit Health River Oaks,1030 River Oaks Drive,Flowood,39232-9553,MS,"Community Health Systems, Inc.",No,N/A unable to find,,,,,,,,,
6540019,Merit Health River Region,2100 Highway 61 North,Vicksburg,39183-8211,MS,"Community Health Systems, Inc.",No,2021,Combination of counties and places,Warren,N/A,Vicksburg,"Prevention and Management of Chronic Disease and Related Conditions, Improvement of Access to Care, Decrease Health Risk Behaviors Through Education and Community Outreach","Prevention and Management of Chronic Disease and Related Conditions, Improvement of Access to Care, Decrease Health Risk Behaviors Through Education and Community Outreach",https://www.merithealthriverregion.com/Uploads/Public/Documents/Division%201/Merit%20Health%20Central/Merit%202021%20Community%20Health%20Needs%20Assessment.pdf,N/A,N/A
6540320,Merit Health Wesley,5001 Hardy Street,Hattiesburg,39402-1308,MS,"Community Health Systems, Inc.",No,N/A unable to find,,,,,,,,,
6540210,Merit Health Woman's Hospital,1026 North Flowood Drive,Flowood,39232-9532,MS,"Community Health Systems, Inc.",Yes,2021,Combination of counties and places,"Hinds, Madison, Rankin; Warren",N/A,Jackson; Vicksburg,Prevention and Management of Chronic Disease and Related Conditions; Improvement of Access to Care,Prevention and Management of Chronic Disease and Related Conditions; Improvement of Access to Care,https://www.merithealthriverregion.com/Uploads/Public/Documents/Division%201/Merit%20Health%20Central/Merit%202021%20Community%20Health%20Needs%20Assessment.pdf,N/A,N/A
6540416,Methodist Healthcare Olive Branch Hospital,4250 Bethel Road,Olive Branch,38654-8737,MS,Methodist Le Bonheur Healthcare,Yes,2019,Combination of counties and places,DeSoto ,N/A,North Missippi,"Maternal, Infanct, and Child Health, Cardiovasclar Disease and Stroke, Cancer, Access to Health Services","Maternal, Infanct, and Child Health, Cardiovasclar Disease and Stroke, Cancer, Access to Health Services",https://www.methodisthealth.org/files/CHNA_2019.pdf,https://www.methodisthealth.org/files/CHNA_2019.pdf,"Christina Underhill, PhD Christina.Underhill@lebonheur.org "
6540371,Methodist Rehabilitation Center,1350 Woodrow Wilson Drive,Jackson,39216-5198,MS,,Yes,2022,Combination of counties and places,"Hinds, Rankin, Madison",N/A,Jackson City,"Promote Access to Comprehensive Rehabilitation, Educate and Train Clinicians Internally and in the Community, Monitor Outcomes and Build Relationships Along the Continuum of Care","Promote Access to Comprehensive Rehabilitation, Educate and Train Clinicians Internally and in the Community, Monitor Outcomes and Build Relationships Along the Continuum of Care",https://www.methodistonline.org/sites/default/files/2023_-25mrc_chna_edits_06302022.pdf,https://www.methodistonline.org/sites/default/files/2023_-25mrc_chna_edits_06302022.pdf,N/A
6540007,Mississippi Baptist Medical Center,1225 North State Street,Jackson,39202-2064,MS,Baptist Memorial Health Care Corporation,Yes,2019,List of Counties,"Attala, Hinds, Leake, Madison, Rankin, Yazoo",N/A,N/A,"Behavioral Health, Cancer, Chronic Disease Management and Prevention, Maternal and Child Health","Behavioral Health, Cancer, Chronic Disease Management and Prevention, Maternal and Child Health",https://www.baptistonline.org/about/chna,N/A,N/A
6540006,Mississippi State Hospital,3550 Highway 468 West,Whitfield,39193-5529,MS,Mississippi State Department of Mental Health,Unable to find,N/A unable to find,,,,,,,,,
6540010,Monroe Regional Hospital,400 South Chestnut Street,Aberdeen,39730-3335,MS,,Unable to find,N/A unable to find,,,,,,,,,
6549165,Neshoba County General Hospital,1001 Holland Avenue,Philadelphia,39350-2161,MS,,Unable to find,2018,"Combination of counties, zip codes, and places",Neshoba,"39350, 39365","Philadelphia, Union","heart Disease and Stroke, Lifestyle and disease, rural health disparities","Heart disease and Cardiology specialty recruitment, healthy eating for a healthier lifestyle in  schools, diabetes awarenes in the community, developing a health education program, Cancer education and prevention",https://www.neshobageneral.com/documents/CHNA_Final_Report_June_28-_2018.pdf,https://www.neshobageneral.com/documents/CHNA_Final_Report_June_28-_2018.pdf,N/A
6540810,North Mississippi Medical Center - Tupelo,830 South Gloster Street,Tupelo,38801-4934,MS,"North Mississippi Health Services, Inc.",Yes,2022,List of Counties,"Lee, Itawamba, Chickasaw, Monroe, Union, Prentiss, Pontotoc",N/A,N/A,"Adult Smoking, physical inactivity, Adult obesity, Heart attack, Stroke, COPD, Heart failure, diabetes. premature death, preventable hospital stay","Increase access to Preventive Service, Develop a Nutritionally Aware Community Culture, Increase Physical Activity and Promote Exercise as Medicine, Develop Partnerships with Public Entities



",https://www.nmhs.net/app/files/public/be3de517-14e7-4574-96e6-d336477de6a5/CHNA%202022/Tupelo.pdf ,https://www.nmhs.net/app/files/public/be3de517-14e7-4574-96e6-d336477de6a5/CHNA%202022/Tupelo.pdf,N/A
6540020,North Mississippi Medical Center Gilmore-Amory,1105 Earl Frye Boulevard,Amory,38821-5500,MS,"North Mississippi Health Services, Inc.",Yes,2022,List of Counties,Monroe,N/A,N/A,"Adult Smoking, physical inactivity, Adult obesity, Heart attack, Stroke, COPD, Heart failure, diabetes. premature death, preventable hospital stay","Increase access to Preventive Service, Develop a Nutritionally Aware Community Culture, Increase Physical Activity and Promote Exercise as Medicine, Develop Partnerships with Public Entities",https://www.nmhs.net/app/files/public/b431d6a4-554b-4213-a752-ffc78fc1467a/CHNA%202022/Amory.pdf,https://www.nmhs.net/app/files/public/b431d6a4-554b-4213-a752-ffc78fc1467a/CHNA%202022/Amory.pdf,"Ormella Cummings, PhD
Chief Strategy Officer
North Mississippi Health Services
ocummings@nmhs.net
830 South Gloster Street
Tupelo, MS 38801"
6549040,North Mississippi Medical Center-Eupora,70 Medical Plaza,Eupora,39744-4018,MS,"North Mississippi Health Services, Inc.",Yes,2022,List of Counties,Webster,N/A,N/A,"Specialty services, Mental healthcare, Lack of physicians, Orthopedics and Ortho surgeons, Access to health services, Healthcare costs, Elderly care, Physical activity opportunities, Holistic medicines","Increase Access to Preventive Service, Develop a Nutritionally Aware Community Culture, Increase Physical Activity and Promote Exercise as Medicine, Develop Partnerships with Public Entities



",https://www.nmhs.net/app/files/public/85679b8c-e760-4498-baaa-c614f046e54d/CHNA%202022/Eupora.pdf,https://www.nmhs.net/app/files/public/85679b8c-e760-4498-baaa-c614f046e54d/CHNA%202022/Eupora.pdf,ocummings@nmhs.net
6540359,North Mississippi Medical Center-Iuka,1777 Curtis Drive,Iuka,38852-1001,MS,"North Mississippi Health Services, Inc.",Yes,2022,List of Counties,Tishomingo,N/A,N/A,"Specialty services, Mental healthcare, Lack of physicians, Orthopedics and Ortho surgeons, Access to health services, Healthcare costs, Elderly care, Physical activity opportunities, Holistic medicines","Increase access to preventative services, Increase physical activity & promote exerciese medicine, Develop a nutritionally aware community culture, Develop partenrships with public entities",https://www.nmhs.net/app/files/public/dc0cb2f9-61a6-458f-a6cc-126a062710c0/CHNA%202022/Iuka.pdf,https://www.nmhs.net/app/files/public/dc0cb2f9-61a6-458f-a6cc-126a062710c0/CHNA%202022/Iuka.pdf,ocummings@nmhs.net
6540740,North Mississippi Medical Center-Pontotoc,176 South Main Street,Pontotoc,38863-3311,MS,"North Mississippi Health Services, Inc.",Yes,2022,List of Counties,Pontotoc ,N/A,N/A,"Specialty services, Mental healthcare, Lack of physicians, Orthopedics and Ortho surgeons, Access to health services, Healthcare costs, Elderly care, Physical activity opportunities, Holistic medicines","Increase Access to Preventive Service, Develop a Nutritionally Aware Community Culture, Increase Physical Activity and Promote Exercise as Medicine, Develop Partnerships with Public Entities",https://www.nmhs.net/app/files/public/13f14a3a-402c-4328-abfd-9880fae8f9f2/CHNA%202022/Pontotoc.pdf,https://www.nmhs.net/app/files/public/13f14a3a-402c-4328-abfd-9880fae8f9f2/CHNA%202022/Pontotoc.pdf,ocummings@nmhs.net
