ID,Healthcare Name,Street Address,City,Zipcode,State,Associated Health System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6830280,Washakie Medical Center,400 South 15th Street,Worland,82401-3531,WY,Banner Health,Non-Profit,2022,List of Counties,Washakie,N/A,N/A,"Improving the Health of the Communities We Serve, Chronic Disease Management, Behavioral Health, Age Related Health Concerns, Aging problems, Cancer, and Access to Healthy Foods","Improving the Health of the Communities We Serve, Chronic Disease Management, Behavioral Health",https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2022/wyoming/washakie-medical-center-worland.ashx,N/A,CHNA.CommunityFeedback@bannerhealth.com
6830115,Campbell County Health,501 South Burma Avenue,Gillette,82716-3426,WY,,Non-Profit,2022,List of Counties,"Crook, Johnson, Sheridan, Weston",N/A,N/A,"Access to care, Behavioral health, Behavioral health suicide prevention, Behavioral health substance use disorders, Cancer, Chronic disease, Domestic abuse (adult and child), Maternal health, Safety/violence, Sexually transmitted diseases, Smoking and smoking while pregnant, Social and economic factors, Wellness lifestyle","Behavioral health, Substance use disorder,Alcohol, Deaths due to drug overdose, Death by suicide, Access to healthcare, Chronic conditions",https://www.cchwyo.org/documents/content/2022-2024-Campbell-County-Memorial-Hospital-CHNA-Approved-by-BOT-V6.9.pdf,N/A,N/A
6830262,Hot Springs County Memorial Hospital,150 East Arapahoe Street,Thermopolis,82443-2498,WY,HealthTech Management Services,Non-Profit,2022,Combination of counties and places,Hot Springs,N/A,"Thermopolis, Basin, Kirby, Worland","smoking, obesity, number of uninsured, mammography screening, flu vaccinations, injury deaths","Mental Health/Substance Abuse/Suicide, Chronic Disease/Prevention Medicine & Education, Access",https://img1.wsimg.com/blobby/go/cd117c79-bc30-439f-913a-9fb8af40b751/downloads/CHNA_Hot_Springs_Health_2022.pdf?ver=1692745585824,https://img1.wsimg.com/blobby/go/cd117c79-bc30-439f-913a-9fb8af40b751/downloads/CHNA_Implementation_Plan_Hot-Springs-Health_Ma.pdf?ver=1692745585824,N/A
6830210,Niobrara Health and Life Center,921 Ballencee Avenue,Lusk,82225,WY,,,N/A unable to find,,,,,,,,,
6830240,SageWest Health Care at Riverton,2100 West Sunset Drive,Riverton,82501-2274,WY,LifePoint Health,,N/A unable to find,,,,,,,,,
6830160,South Lincoln Medical Center,711 Onyx Street,Kemmerer,83101-3214,WY,,,N/A unable to find,,,,,,,,,
6830072,West Park Hospital,707 Sheridan Avenue,Cody,82414-3409,WY,QHR,,2019,"Combination of counties, zip codes, and places",Park,"82414, 82435, 82440, 82410, 82412, 82421, 82426, 82431, 82401","Cody, Powell, Ralston, Basin, Byron, Deaver, Greybull, Lovell, Worland","Access to Exercise Opportunities, Alcohol-impaired Driving Deaths, Sexually Transmitted Infections, Uninsured, Unemployment, Children in Poverty, Violent Crime, Long Commute-Driving Alone","Accessibilit/Affordability, Suicide/Mental Health, Unintentional Injury/Substance Abuse, Obesity/Physical Inactivity, Cancer",https://www.codyregionalhealth.org/documents/content/Park-County-Community-Health-Needs-Assessment-2019-1-6.pdf,N/A,info@healthyparkcounty.org
6830190,Ivinson Memorial Hospital,255 North 30th Street,Laramie,82072-5140,WY,,Non-Profit,2022,List of Counties,Albany ,N/A,N/A,"social and economic factors, behavioral health, substance use disorders, death by suicide ","social and economic factors, behavioral health services",https://www.flipsnack.com/ivinson/chna/full-view.html,N/A,N/A
6830060,Cheyenne Veterans Affairs Medical Center,2360 East Pershing Boulevard,Cheyenne,82001-5392,WY,Department of Veterans Affairs,,N/A unable to find,,,,,,,,,
6830035,Johnson County Healthcare Center,497 West Lott Street,Buffalo,82834-1691,WY,,Non-Profit,2022,List of Counties,Johnson ,N/A,N/A,"Mental Well-Being, Aging Population, Physical Wellness","Mental Well-Being, Aging Population, Physical Wellness",https://www.jchealthcare.com/wp-content/uploads/FINAL-CHNA-2023.pdf ,N/A,N/A
6830205,North Big Horn Hospital District,1115 Lane 12,Lovell,82431-9537,WY,,Non-Profit,2023,List of Counties,Big Horn,N/A,N/A,"Diabetes, Adult smoking, Adult obesity, Food environment index, Physical inactivity, Frequent mental distress, Poor mental health days, Suicides, Alcohol-impaired driving deaths, Motor vehicle crash deaths","Mental Health, lower suicide, depression, and anxiety",https://www.nbhh.com/docs/2023-2025_NBHHD_Community_Health_Needs_Assessment.pdf,https://www.nbhh.com/docs/2023-2025_NBHHD_Community_Health_Improvement_Plan.pdf,N/A
6830250,Sheridan Memorial Hospital,1401 West Fifth Street,Sheridan,82801-2799,WY,,Non-Profit,2022,List of Counties,"Sheridan, Johnson",N/A,N/A,"Cancer, Heart Disease & Stroke, Injury & Violence, Mental Health, Nutrition Physical Activity & weight, Oral Health, Respiratory diseases, Substance use","Mental Health, Substance Use, Nutrition Physical activity & Weight, Heart Disease & Stroke, Cancer, Oral Health, Respiratory Disease, Injury & violence",https://www.sheridanhospital.org/community-health-needs-assessment-2023/ ,N/A,N/A
6830150,St. John's Medical Center and Living Center,625 East Broadway Street,Jackson,83001-8642,WY,,Non-Profit,2021,List of Counties,Teton ,N/A,N/A,"Mental Health, Alcohol Use,  Chronic Disease/Cancer Screenings, Immunizations, Sexual/Reproductive Health, Nicotine Use","Mental Health, Alcohol Use,  Chronic Disease/Cancer Screenings, Immunizations, Sexual/Reproductive Health, Nicotine Use",https://www.stjohns.health/documents/content/SJH-CHNA-2021-Report-031022.pdf,N/A,N/A
6830224,Weston County Health Services,1124 Washington Boulevard,Newcastle,82701-2972,WY,Regional Health,Non-Profit,2020,List of Counties,Weston ,N/A,N/A,"Urgent Care, Women's Health, Same day Surgey, Home Health Care, Costs of Healthcare, Cancer, Prescription Drug Affordability, Healthy Life Style Education, Health Screenings, Mental Health Education","Housing,Food insecurity; Money for gas, Job opportunities (livable wage), Access to affordable medical and mental health services ",https://csnowyo.org/resources/Documents/Weston%20County%20Report%20-%20FINAL.pdf,N/A,"Jody Shields, Vice President, Align, shields@TheAlignTeam.org or 307-772-9148"
6830025,Wyoming Behavioral Institute,2521 East 15th Street,Casper,82609-4126,WY,"Universal Health Services, Inc.",,N/A unable to find,,,,,,,,,
6830090,Wyoming State Hospital,830 Highway 150 South,Evanston,82931-5341,WY,,,N/A unable to find,,,,,,,,,
6830001,Cheyenne Regional Medical Center,214 East 23rd Street,Cheyenne,82001-3790,WY,,,2022,List of Counties,Laramie,N/A,N/A,"Social and Community Context, Economic Stability, Neighborhood & Physical Environment, Education Access & Quality, Food, Healthcare System, Health Factors & Outcomes","Neighborhood and physical environment, Healthcare system, Economic stability",https://www.laramiecountyhealthmatters.org/content/sites/laramie/CHNA_-_Final_Version.pdf,N/A,N/A
6830002,Elkhorn Valley Rehabilitation Hospital,5715 East 2nd Street,Casper,82609-4322,WY,"Ernest Health, Inc.",Unable to Find,2022,Combination of counties and places,Natrona,N/A,"City of Casper, City of Mills, Town of Bar Nunn, Town of Edgerton, Town of Evansville,  Town of Midwest, Unincorporated areas of Natrona County ","Mental Health Support Services, Family Counseling, Weatherization and energy, Home improvement/accessibility, Utility cost assistance, Vocational training, Financial aid, Adult Education, Dental/Vision Services,Insurance Coverage, Specialty Treatment Services, Nutrition Services, Recreational Activities, Transportation/Reapir Assistance, Youth Activities ","Healthcare, Housing, Mental Health , Civic/Community, Finance, Employment, Education, Nutrition, Other Support ",https://csnowyo.org/resources/Documents/Natrona%20County%202022%20CNA%20with%20Appendix%20(2).pdf,N/A,N/A
6830230,Memorial Hospital of Sweetwater County,1200 College Drive,Rock Springs,82901-5868,WY,Unable to find,Non-Profit,2019,"Combination of counties, zip codes, and places",SweetWater,"82322, 82901, 82932, 83924, 82935, 82938, 82929, 82942, 82336, 82943, 82901, 82945, 82936","Bairoil, Bitter Creek, Eden, Farson, Granger, Green River, Little America, McKinnon, Point of Rocks, Red Desert, Reliance, Rock Springs, Superior, Wamsutter","Tobacco use, Diet and Exercise, Alcohol and drug use, Sexual activities, Access to Care, Quality of Care, Education, Employment, Income Family and Social Support, Community Safety, Air and Water Quality, Housing and Transit ","Help people get mental health care, Increase the number of specialists, Help support caregivers, Help people stay healthy who have a chronic disease, Help adults and teens stop using Illegal drugs, opioids, alcohol or tobacco",https://www.sweetwatermemorial.com/documents/content/board-meetings/June-5-2019-MSHC-Board-Packet.pdf,https://www.sweetwatermemorial.com/documents/content/board-meetings/June-5-2019-MSHC-Board-Packet.pdf,"Email: carolyn.stcharles@healthtechS3.com, Phone: 360-584-9868"
6830268,Platte County Memorial Hospital,201 14th Street,Wheatland,Platte County Memorial Hospital,202 14th Street,Wheatland,Non-Profit,2022,"Combination of counties, zip codes, and places",Platte,82201,Wheatland,"Access to Care, Chronic Disease Management, Behavioral Health","Access to Care, Chronic Disease Management, Behavioral Health",https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2022/wyoming/platte-county-memorial-hospital-wheatland.ashx,N/A,N/A
6830260,Sheridan Veterans Affairs Medical Center,1898 Fort Road,Sheridan,82801-8320,WY,Sheridan Veterans Affairs Medical Center,,N/A unable to find,,,,,,,,,
6830010,Star Valley Medical Center,901 Adams Street,Afton,Star Valley Medical Center,902 Adams Street,,Unable to Find,N/A unable to find,,,,,,,,,
6830040,Wyoming Medical Center,1233 East Second Street,Casper,82601-2988,WY,,,N/A unable to find,,,,,,,,,
