ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-Profit_Status,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact,,
6880075,Desert Springs Hospital Medical Center,2075 East Flamingo Road,Las Vegas,89119-5121,NV,"Universal Health Services, Inc.",Unable to find,N/A unable to find,,,,,,,,,,,
6880037,Desert View Hospital,360 South Lola Lane,Pahrump,89048-0884,NV,"Universal Health Services, Inc.",Unable to find,N/A unable to find,,,,,,,,,,,
6880022,Desert Willow Treatment Center,6171 West Charleston Boulevard,Las Vegas,89146-1126,NV,Nevada Department of Health and Human Services ,For-Profit,2019,List of Counties,"Churchhill,Clark, Douglas, Elko, Esmeralda, Eureka, Humboldt, Lander, Lincoln, Lyon, Mineral, Nye, Pershing,Storey, Washoe, White Pine",N/A,"Las Vegas, Henderson","health issue, behavioral health, access to health care, housing/poverty, chronic disease, education, preventative behaviors, employment and job training, environment and built environment, communicable disease, family dynamic and maternal child health","access to health care, health behaviors and health outcomes, income, education, poverty, and individuals with disabilities ",https://dhhs.nv.gov/uploadedFiles/dhhsnvgov/content/Programs/Grants/NV_SHNA_FINAL.pdf,N/A,"dina@theblueprintcollaborative.com, heather@theblueprintcollaborative.com",,
6880038,Encompass Health Rehabilitation Hospital of Desert Canyon,9175 West Oquendo Road,Las Vegas,89148-1234,NV,Encompass Health Corporation,For-Profit,N/A unable to find,,,,,,,,,,,
6880016,Encompass Health Rehabilitation Hospital of Henderson,10301 Jeffreys Street,Henderson,89052-3922,NV,Encompass Health Corporation,For-Profit,N/A unable to find,,,,,,,,,,,
6880001,Encompass Health Rehabilitation Hospital of Las Vegas,1250 South Valley View Boulevard,Las Vegas,89102-1861,NV,Encompass Health Corporation,For-Profit,N/A unable to find,,,,,,,,,,,
6880004,Grover C. Dils Medical Center,700 North Spring Street,Caliente,89008,NV,,Unable to find,N/A unable to find,,,,,,,,,,,
6880018,Harmon Medical and Rehabilitation Hospital,2170 East Harmon Avenue,Las Vegas,89119-7840,NV,"Fundamental Long Term Care Holdings, LLC",Non-Profit,N/A unable to find,,,,,,,,,,,
6880435,Henderson Hospital,1050 West Galleria Drive,Henderson,89011,NV,"Universal Health Services, Inc.",Unable to find,N/A unable to find,,,,,,,,,,,
6880015,Horizon Specialty Hospital,640 Desert Lane,Las Vegas,89106-4207,NV,"Fundamental Long Term Care Holdings, LLC",Unable to find,N/A unable to find,,,,,,,,,,,
6880150,Humboldt General Hospital,118 East Haskell Street,Winnemucca,89445-3299,NV,,Unable to find,N/A unable to find,,,,,,,,,,,
6880200,Incline Village Community Hospital,880 Alder Avenue,Incline Village,89451-8335,NV,Tahoe Forest Health System,Non-Profit,2018,List of Places,N/A,N/A,"North Tahoe, Truckee Area","Access To Care, Behavioral Risk, Mental Health, Health Condiitons","Access To Care, Behavioral Risk, Mental Health, Health Condiitons",https://www.tfhd.com/sites/default/files/2018%20TFHS%20CHNA%20report%20FINAL.pdf,N/A,N/A,,
6880003,Kindred Hospital Las Vegas-Sahara,"102 East Mead Parkway, 3rd Floor",Henderson,89015,NV,Kindred Healthcare,Public,2022,List of Places,N/A,N/A,"Utah: Beaver, Blanding, Brigham City, North Logan, Price, Nephi, Layton, Panguitch, Green River, Gunnison, Sandy, American Fork, Tremonton, Cedar City, Delta, Fillmore, Heber City, Salt Lake City, Ogden, Murray, Orem, Park City, Riverton, Mt. Pleasant, Richfield, Spanish Fork, St. George, Provo, West Jordan, Kanab, Bountiful, Draper, Milford, Moab, Lehi, Payson, Wahington Terrace                                                                                                                         Idaho: Rupert, Twin Falls                                                                          Nevada: Las Vegas, Pahrump, Henderson, Mesquite","Improve mental health, improve chronic and avoidable health outcomes, Address and invest in social determinants of health ","Improve mental well-being, Prevent avoidable disease and injury, Improve air quality ",https://intermountainhealthcare.org › chna-2022r/Downloads/Intermountain%20Healthcare%20CHNA%20Report%202022.pdf,N/A," mikelle.moore@imail.org, stephanie.stokes@imail.org",,
6880029,Mesa View Regional Hospital,1299 Bertha Howe Avenue,Mesquite,89027-7500,NV,Quorum Health,Non-Profit,2022,Other,N/A,N/A,N/A,"improve mental health, improve chronic and avoidable health outcomes, address and invest in social determinants of health","improve mental health, improve chronic and avoidable health outcomes, address and invest in social determinants of health",https://intermountainhealthcare.org/sc10media/images/intermountain-health/files/community-benefit/chna-2022/intermountain-healthcare-chna-report-2022.ashx,N/A," mikelle.moore@imail.org, stephanie.stokes@imail.org",,
6880063,Mike O'Callaghan Federal Hospital,"4700 Las Vegas Boulevard North, Suite 2419",Nellis AFB,89191-6600,NV,Department of the Air Force,Public,N/A unable to find,,,,,,,,,,,
6880079,Montevista Hospital,5900 West Rochelle Avenue,Las Vegas,89103-3327,NV,"Strategic Behavioral Health, LLC",Unable to find,N/A unable to find,,,,,,,,,,,
6880055,Mount Grant General Hospital,200 S A St,Hawthorne,89415,NV,,Unable to find,N/A unable to find,,,,,,,,,,,
6880440,Mountain's Edge Hospital,8656 West Patrick Lane,Las Vegas,89148-5043,NV,,Unable to find,N/A unable to find,,,,,,,,,,,
6880007,MountainView Hospital,3100 North Tenaya Way,Las Vegas,89128-0436,NV,Sunrise Healthcare System,For-Profit,N/A unable to find,,,,,,,,,,,
6889060,North Vista Hospital,1409 East Lake Mead Boulevard,North Las Vegas,89030-7197,NV,Prime Healthcare Services,For-Profit,N/A unable to find,,,,,,,,,,,
6880040,Northeastern Nevada Regional Hospital,2001 Errecart Boulevard,Elko,89801-8333,NV,LifePoint Health,Non-Profit,N/A unable to find,,,,,,,,,,,
6880100,Northern Nevada Adult Mental Health Services,480 Galletti Way,Sparks,89431-5564,NV,Department of Health and Human Services Nevada Division of Public and Behavioral Health,For-Profit,N/A unable to find,,,,,,,,,,,
6880125,Northern Nevada Medical Center,2375 East Prater Way,Sparks,89434-9641,NV,"Universal Health Services, Inc.",For-Profit,N/A unable to find,,,,,,,,,,,
6880072,Pershing General Hospital,855 Sixth Street,Lovelock,89419,NV,,For-Profit,2019,List of Counties,Pershing,N/A,N/A,"Behavioral health, chronic disease, access to health care, housing/poverty, employment and job training, preventative behaviors, environment and built environment, education, family dynamics and maternal child health, communicable disease","Access to healthcare, behavioral health, chronic disease",https://dhhs.nv.gov/uploadedFiles/dhhsnvgov/content/Programs/Grants/NV_SHNA_FINAL.pdf,N/A,N/A,,
6213977,Plainview Hospital,888 Old Country Road,Plainview,11803-4978,NY,Northwell Health,Unable to find,,,,,,,,,,,,
6880130,Renown Regional Medical Center,1155 Mill Street,Reno,89502-1576,NV,Renown Health,Non-Profit,2020,Combination,Washoe,N/A,"Mountain City, Montello, Paradise Valley, Elko, Spring Creek, Winnemucca, Eureka, Ely, Baker, Lund, Austin, Lovelock, Gerlach, Fernley, Fallon, Tonapah, Indian Springs, Las Vegas, Lone Pine, Bishop, Mammoth, Hawthorne, Wellington, Smith, Yerington, Gardnerville, Minden, South Lake Tahoe, Carson City, Truckee, Incline Village, Reno, Portola, Quincy, Susanville","Mental Health, Substance Abuse, Youth & Adolescent Health, Built Environment & Infrastructure, Older Adults & Aging, Women's Health, Maternal Health, Infant Health, Fetal Health, Immunizations & Infectious Disease, Health Behaviors, Economy, Access to Health Services, Exercise, Nutrition, Weight, Domestic Violence","Health behaviors, Immunizations & Infectious Disease, Mental Health, Substance Abuse",https://renownhealth.thehcn.net/content/sites/renown/Renown_Files/Reports/CHNA_and_Community_Health_Needs_Plan/Renown_Health_2020_Community_Health_Needs_Assessment.pdf,https://renownhealth.thehcn.net/content/sites/renown/Renown_Files/Reports/Implementation_Strategy_Renown_2021-2023.pdf,N/A,,
6880002,Renown Rehabilitation Hospital,1495 Mill Street,Reno,89502-1479,NV,Renown Health,Non-Profit,2020,Combination,Washoe,N/A,"Mountain City, Montello, Paradise Valley, Elko, Spring Creek, Winnemucca, Eureka, Ely, Baker, Lund, Austin, Lovelock, Gerlach, Fernley, Fallon, Tonapah, Indian Springs, Las Vegas, Lone Pine, Bishop, Mammoth, Hawthorne, Wellington, Smith, Yerington, Gardnerville, Minden, South Lake Tahoe, Carson City, Truckee, Incline Village, Reno, Portola, Quincy, Susanville","Mental Health, Substance Abuse, Youth & Adolescent Health, Built Environment & Infrastructure, Older Adults & Aging, Women's Health, Maternal Health, Infant Health, Fetal Health, Immunizations & Infectious Disease, Health Behaviors, Economy, Access to Health Services, Exercise, Nutrition, Weight, Domestic Violence","Health behaviors, Immunizations & Infectious Disease, Mental Health, Substance Abuse",https://renownhealth.thehcn.net/content/sites/renown/Renown_Files/Reports/CHNA_and_Community_Health_Needs_Plan/Renown_Health_2020_Community_Health_Needs_Assessment.pdf,https://renownhealth.thehcn.net/content/sites/renown/Renown_Files/Reports/Implementation_Strategy_Renown_2021-2023.pdf,N/A,,
6880031,Renown South Meadows Medical Center,10101 Double 'R' Boulevard,Reno,89521-5931,NV,Renown Health,Non-Profit,2020,Combination,Washoe ,"89442, 89424, 89512, 89431, 89502, 89501, 89433","Mountain City, Montello, Paradise Valley, Elko, Spring Creek, Winnemucca, Eureka, Ely, Baker, Lund, Austin, Lovelock, Gerlach, Fernley, Fallon, Tonapah, Indian Springs, Las Vegas, Lone Pine, Bishop, Mammoth, Hawthorne, Wellington, Smith, Yerington, Gardnerville, Minden, South Lake Tahoe, Carson City, Truckee, Incline Village, Reno, Portola, Quincy, Susanville","Mental Health, Substance Abuse, Youth & Adolescent Health, Built Environment & Infrastructure, Older Adults & Aging, Women's Health, Maternal Health, Infant Health, Fetal Health, Immunizations & Infectious Disease, Health Behaviors, Economy, Access to Health Services, Exercise, Nutrition, Weight, Domestic Violence","Health behaviors, Immunizations & Infectious Disease, Mental Health, Substance Abuse",https://renownhealth.thehcn.net/content/sites/renown/Renown_Files/Reports/CHNA_and_Community_Health_Needs_Plan/Renown_Health_2020_Community_Health_Needs_Assessment.pdf,https://renownhealth.thehcn.net/content/sites/renown/Renown_Files/Reports/CHNA_and_Community_Health_Needs_Plan/Renown_Health_2020_Community_Health_Needs_Assessment.pdf,N/A,,
6880110,Saint Mary's Regional Medical Center,235 West Sixth Street,Reno,89503-4548,NV,Prime Healthcare Services,Unable to find,N/A unable to find,,,,,,,,,N/A,,
6880400,Seven Hills Hospital,3021 West Horizon Ridge Parkway,Henderson,89052-3990,NV,"Acadia Healthcare Company, Inc.",For-Profit,N/A unable to find,,,,,,,,,,,
6880155,South Lyon Medical Center,213 South Whitacre,Yerington,89447-2561,NV,,Non-Profit,2022,Combination,Lyon,"89447, 89430",Yerington and Smith,"Access to Primary Care, Access to Specialty Care, Mental Health and Substance Use","Access to Primary Care, Access to Specialty Care, Mental Health and Substance Use",https://slmcnv.org/wp-content/uploads/2022/03/2022-2024-SLMC-CHNA-Report-FINAL.pdf,https://slmcnv.org/wp-content/uploads/2022/03/2022-2024-SLMC-CHNA-Report-FINAL.pdf,N/A,,
6880013,Southern Hills Hospital and Medical Center,9300 West Sunset Road,Las Vegas,89148-4844,NV,HCA Healthcare,Unable to find,N/A unable to find,,,,,,,,,,,
6880023,Southern Nevada Adult Mental Health Services,6161 West Charleston Boulevard,Las Vegas,89146-1126,NV,,Unable to find,N/A unable to find,,,,,,,,,,,
6880041,Spring Mountain Sahara,5460 West Sahara,Las Vegas,89146-3307,NV,"Universal Health Services, Inc.",Unable to find,N/A unable to find,,,,,,,,,,,
6880026,Spring Mountain Treatment Center,7000 West Spring Mountain Road,Las Vegas,89117-3816,NV,"Universal Health Services, Inc.",Unable to find,N/A unable to find,,,,,,,,,,,
6880014,Spring Valley Hospital Medical Center,5400 South Rainbow Boulevard,Las Vegas,89118-1859,NV,"Universal Health Services, Inc.",Unable to find,N/A unable to find,,,,,,,,,,,
6880060,St. Rose Dominican Hospitals - Rose de Lima Campus,102 East Lake Mead Parkway,Henderson,89015-5524,NV,CommonSpirit Health,Non-Profit,2022,List of Counties,Clark ,N/A,N/A,maternal & child health; infectious disease; chronic disease; mental & behavioral health; health care access; environmental health; crime,chronic disease; access to care; transportation; funding,https://www.dignityhealth.org/content/dam/dignity-health/pdfs/chna/2022-chna/st-rose-chna-22.pdf,https://www.dignityhealth.org/content/dam/dignity-health/pdfs/chna/2022-chna/revised-reports/St-Rose-CHNA-Imp-Strategy-Sep-2022.pdf,holly.lyman@dignityhealth.org,,
6880032,St. Rose Dominican Hospitals - San Martin Campus,8280 West Warm Springs Road,Las Vegas,89113-3612,NV,CommonSpirit Health,Non-Profit,2022,List of Counties,Clark ,N/A,N/A,maternal & child health; infectious disease; chronic disease; mental & behavioral health; health care access; environmental health; crime,chronic disease; access to care; transportation; funding,https://www.dignityhealth.org/content/dam/dignity-health/pdfs/chna/2022-chna/st-rose-chna-22.pdf,N/A,N/A,,
6880008,St. Rose Dominican Hospitals - Siena Campus,3001 St Rose Parkway,Henderson,89052,NV,CommonSpirit Health,Non-Profit,2022,List of Counties,Clark ,N/A,N/A,maternal & child health; infectious disease; chronic disease; mental & behavioral health; health care access; environmental health; crime,chronic disease; access to care; transportation; funding,https://www.dignityhealth.org/content/dam/dignity-health/pdfs/chna/2022-chna/st-rose-chna-22.pdf,N/A,N/A,,
6880006,Summerlin Hospital Medical Center,657 Town Center Drive,Las Vegas,89144-6367,NV,"Universal Health Services, Inc.",For-Profit,N/A unable to find,,,,,,,,,,,
6880069,Sunrise Hospital and Medical Center,3186 South Maryland Parkway,Las Vegas,89109-2306,NV,HCA Healthcare,For-Profit,N/A unable to find,,,,,,,,,,,
6880005,Tahoe Pacific Hospitals,2375 East Prater Way,Sparks,89434,NV,LifeCare Management Services,Unable to find,N/A unable to find,,,,,,,,,,,
6880071,University Medical Center,1800 West Charleston Boulevard,Las Vegas,89102-2386,NV,,Non-Profit,N/A unable to find,,,,,,,,,,,
6880073,Valley Hospital Medical Center,620 Shadow Lane,Las Vegas,89106-4119,NV,"Universal Health Services, Inc.",For-Profit,N/A unable to find,,,,,,,,,,,
6880120,Veterans Affairs Sierra Nevada Health Care System,975 Kirman Avenue,Reno,89502-0993,NV,Department of Veterans Affairs,Public,N/A unable to find,,,,,,,,,,,
6880085,Veterans Affairs Southern Nevada Healthcare System,6900 North Pecos Road,North Las Vegas,89086-4400,NV,Department of Veterans Affairs,Public,N/A unable to find,,,,,,,,,,,
6880115,West Hills Hospital,1240 East Ninth Street,Reno,89512-2964,NV,"Universal Health Services, Inc.",Unable to find,N/A unable to find,,,,,,,,,,,
6880045,William Bee Ririe Hospital,1500 Avenue 'H',Ely,89301-2699,NV,,Non-Profit,N/A unable to find,,,,,,,,,,,
6880145,Willow Springs Center,690 Edison Way,Reno,89502-4135,NV,"Universal Health Services, Inc",For-Profit,N/A unable to find,,,,,,,,,,,
