ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-Profit_Status,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact,
6710618,Baptist Health - Van Buren,East Main and South 20th Streets,Van Buren,72956-5715,AR,Baptist Health,Non-Profit,2023,List of Counties,Crawford,N/A,N/A,"Access to Care, Mental Health, Obesity, Physical Infrastructure","Mental Health, Access to care, Obesity",https://www.baptist-health.com/wp-content/uploads/2023/03/2023-2025-Community-Health-Report.pdf,https://www.baptist-health.com/wp-content/uploads/2023/03/2023-2025-Community-Health-Report.pdf,N/A,
6710159,Baptist Health Extended Care Hospital,9601 Baptist Health Drive,Little Rock,72205-7202,AR,Baptist Health,Non-Profit,2023,List of Counties,"Pulaski (South), Saline, Grant",N/A,N/A,"Mental Health, Access to Care, Health Literacy and Communication, Physical Health, Physical Infrastructure","Mental Health, Access to care, Nutrition security",https://www.baptist-health.com/wp-content/uploads/2023/03/2023-2025-Community-Health-Report.pdf,https://www.baptist-health.com/wp-content/uploads/2023/03/2023-2025-Community-Health-Report.pdf,N/A,
6719166,Baptist Health Medical Center - Conway,1555 Exchange Avenue,Conway,72032-7824,AR,Baptist Health,Non-Profit,2023,List of Counties,"Pulaski (South), Saline, Grant, Pulaski (North), Lonoke , Clark, Nevada, Cleburne, Hot Spring , Arkansas, Faulkner, Perry, Sebastian , Crawford",N/A,N/A,"Mental Health Needs ,Obesity,Access to Speciality Doctors,Infant Mortality ,Stroke/Cerberovascular Disease ","Stroke,Infant Mortality,Obesity ",https://www.baptist-health.com/wp-content/uploads/2023/03/2023-2025-Community-Health-Report.pdf,https://1sfj1635wrts49n9bz3kpi6y-wpengine.netdna-ssl.com/wp-content/uploads/2020/06/BH-2020-CHNA.pdf,N/A,
6710497,Baptist Health Medical Center - North Little Rock,3333 Springhill Drive,North Little Rock,72117-2922,AR,Baptist Health,Non-Profit,2023,List of Counties,"Pulaski (South), Saline, Grant, Pulaski (North), Lonoke , Clark, Nevada, Cleburne, Hot Spring , Arkansas, Faulkner, Perry, Sebastian , Crawford",N/A,N/A,"Access to Healthcare, Health Education, Drug Education, Mental Health, Access to Medication, Infant Mortality ","Mental Health, Infant Mortality, Obesity ",https://www.baptist-health.com/wp-content/uploads/2023/03/2023-2025-Community-Health-Report.pdf,https://1sfj1635wrts49n9bz3kpi6y-wpengine.netdna-ssl.com/wp-content/uploads/2020/06/BH-2020-CHNA.pdf,N/A,
6710012,Baptist Health Medical Center-Arkadelphia,3050 Twin Rivers Drive,Arkadelphia,71923-4299,AR,Baptist Health,Non-Profit,2023,List of Counties,"Pulaski (South), Saline, Grant, Pulaski (North), Lonoke , Clark, Nevada, Cleburne, Hot Spring , Arkansas, Faulkner, Perry, Sebastian , Crawford",N/A,N/A,"Mental Health, Obesity, Diabetes ","Mental Health , Diabetes, Obesity ",https://www.baptist-health.com/wp-content/uploads/2023/03/2023-2025-Community-Health-Report.pdf,https://1sfj1635wrts49n9bz3kpi6y-wpengine.netdna-ssl.com/wp-content/uploads/2020/06/BH-2020-CHNA.pdf,N/A,
671011A,Baptist Health Medical Center-Heber Springs,1800 Bypass Road,Heber Springs,72543-9135,AR,Baptist Health,Non-Profit,2023,List of Counties,"Pulaski (South), Saline, Grant, Pulaski (North), Lonoke , Clark, Nevada, Cleburne, Hot Spring , Arkansas, Faulkner, Perry, Sebastian, Crawford",N/A,N/A,"Mental Health, Obesity, Lack of Services,Health Education ","Mental Health , Access to Care, Nutrition security",https://www.baptist-health.com/wp-content/uploads/2023/05/2023-2025-Community-Health-Report.pdf,https://www.baptist-health.com/wp-content/uploads/2023/05/2023-2025-Community-Health-Report.pdf,N/A,
6710455,Baptist Health Medical Center-Hot Spring County,1001 Schneider Drive,Malvern,72104-4811,AR,Baptist Health,Non-Profit,2023,List of Counties,"Pulaski (South), Saline, Grant, Pulaski (North), Lonoke , Clark, Nevada, Cleburne, Hot Spring , Arkansas, Faulkner, Perry, Sebastian , Crawford",N/A,N/A,"Mental Health, Obesity, Dental","Mental Health , Access to Care, Nutrition security",https://www.baptist-health.com/wp-content/uploads/2023/05/2023-2025-Community-Health-Report.pdf,https://www.baptist-health.com/wp-content/uploads/2023/05/2023-2025-Community-Health-Report.pdf,N/A,
6710335,Baptist Health Medical Center-Little Rock,9601 Baptist Health Drive,Little Rock,72205-7299,AR,Baptist Health,Non-Profit,2023,List of Counties,"Pulaski (South), Saline, Grant, Pulaski (North), Lonoke , Clark, Nevada, Cleburne, Hot Spring , Arkansas, Faulkner, Perry, Sebastian , Crawford",N/A,N/A,"Mental Health, Access to Care, Health Literacy and Communication, Physical Health, Physical Infrastructure","Mental Health , Access to Care, Nutrition security",https://www.baptist-health.com/wp-content/uploads/2023/05/2023-2025-Community-Health-Report.pdf,https://www.baptist-health.com/wp-content/uploads/2023/05/2023-2025-Community-Health-Report.pdf,N/A,
6710585,Baptist Health Medical Center-Stuttgart,1703 North Buerkle Road,Stuttgart,72160-1905,AR,Baptist Health,Unable to Find,2023,List of Counties,"Prairie, Arkansas , Monroe",N/A,N/A,"Obesity, Drug Abuse, Cancer, Mental Health","Mental Health, Drug Abuses, Access to Care, Nutrition security",https://www.baptist-health.com/wp-content/uploads/2023/05/2023-2025-Community-Health-Report.pdf,https://www.baptist-health.com/wp-content/uploads/2023/05/2023-2025-Community-Health-Report.pdf,N/A,
6710345,Baptist Health Rehabilitation Institute,9501 Baptist Health Drive,Little Rock,72205-6225,AR,Baptist Health,Unable to Find,2023,List of Counties,"Pulaski (South), Saline, Grant",N/A,N/A,"Mental Health, Access to Care, Health Literacy and Communication, Physical Health, Physical Infrastructure","Mental Health , Access to Care, Nutrition security",https://www.baptist-health.com/wp-content/uploads/2023/05/2023-2025-Community-Health-Report.pdf,https://www.baptist-health.com/wp-content/uploads/2023/05/2023-2025-Community-Health-Report.pdf,N/A,
6710482,Baxter Regional Medical Center,624 Hospital Drive,Mountain Home,72653-2955,AR,,Unable to Find,2022,List of Counties,"Baxter, Fulton, Izard, Marion, Arkansas",N/A,N/A,"Physician Recruitment, Obesity, Diabetes, Tobacco Use, Health Education","Suicide prevention and access to mental healthcare, Drug abuse prevention, Obesity , Diabetes , Wellness and health education, Access to primary care",https://www.baxterhealth.org/documents/Baxter-Health-CHNA-2022.pdf,https://www.baxterhealth.org/documents/Baxter-Health-CHNA-Implementation-Plan-2023.pdf,N/A,
6710620,Bradley County Medical Center,404 South Bradley Street,Warren,71671-3493,AR,,Unable to Find,2019,List of Counties,"Bradley, Arkansas",N/A,N/A,"Mental and Behavioral Health Resources, Community Education and Resources, Elderly living conditions and senior poverty","Mental and Behavioral Health Services, Community Health Resources & Education, Resources for the Elderly",https://www.bradleycountymedicalcenter.com/getpage.php?name=community_health_needs_assessment&sub=Community+Needs+Assessment,https://www.baxterhealth.org/documents/Baxter-Health-CHNA-Implementation-Plan-2023.pdf,melliebridewell@arruralhealth.org,
6710445,Central Arkansas Veterans Healthcare System,4300 West Seventh Street,Little Rock,72205-5446,AR,Department of Veterans Affairs,Unable to Find,N/A unable to find,,,,,,,,,,
6710130,Chambers Memorial Hospital,719 Detroit Avenue,Danville,72833-9607,AR,,Unable to Find,2022,Combination of counties and places,Yell,N/A,"Danville, Fort Smith, Little Rock","Health Knowledge & Education, Obesity, Children Health Services","Health and Wellness, Access to primary and dental care, Mental Health,  Services to treat drug and alcohol abuse",https://chambershospital.com/community-health-needs-assessment/,https://chambershospital.com/community-health-needs-assessment/,N/A,
6710300,CHI St. Vincent Hot Springs,300 Werner Street,Hot Springs,71913-6406,AR,CommonSpirit Health,Non-Profit,2022,Combination of counties and zip codes,"Garland, Saline, Hot Spring","71913, 71901, 71964, 71933, 71968, 71956, 71909, 71949,72122, 72087, 72019, 71909, 72126, 72104, 71941, 71929, 72084, 71923, 71921, 71933, 71964, 71913",N/A,"Access to Care, Education,Mental Health Care, Primary Health Care, Substance Abuse, Chronic Conditions,Domestic Violence and Human Trafficking,Food and Nutrition","Access to mental health care, Access to primary health services, Substance abuse awareness and education, Chronic disease education,Domestic violence and human trafficking awareness and education, Food and nutrition education and awareness, Senior Adult Services",https://www.chistvincent.com/docs/default-source/community-needs-assessment/2022-community-health-needs-assessment-infirmary.pdf,https://www.chistvincent.com/docs/default-source/community-needs-assessment/chi_implstrategy2022_hot-springs_vf2.pdf ,N/A,
6710400,CHI St. Vincent Infirmary Medical Center,Two St Vincent Circle,Little Rock,72205-5499,AR,CommonSpirit Health,Non-Profit,2022,Combination of counties and zip codes,"Pulaski, Saline, Lonoke, Jefferson, White, Faulkner"," 72135, 72223, 72210, 72212, 72211, 72207, 72204, 72209, 72201, 72206, 72019, 72022, 72015, 72011, 72103, 72065, 72210, 72142, 72083, 72046, 72037, 72072, 72024, 72086, 72023, 72007, 72176, 72170, 72076, 71601, 71603, 71602, 72132, 72152, 72168, 72046, 72004, 72175, 71644, 72079, 72106, 72034, 72032, 72173, 72111, 72047, 72181, 72058, 72039, 72061, 72131, 72120, 72012, 72102, 72060, 72068, 72082, 72143, 72045, 72111, 72136, 72137, 72085, 72121, 72081, 72020, 72139, 72010, 72006",N/A,"Access to Care, Education, Mental Health Care,Primary Health Care, Basic Health,Chronic Conditions, Domestic Violence and  Human Trafficking, Food and Nutrition,Substance Abuse","Access to Primary Care, Access to Mental Health Care, Basic Health Knowledge and Awareness, Chronic Condition Education, Domestic Violence and Human Trafficking, Food and Nutrition Education, Substance Abuse Treatment and Education",https://www.chistvincent.com/docs/default-source/community-needs-assessment/2022-community-health-needs-assessment-infirmary.pdff,https://www.chistvincent.com/docs/default-source/community-needs-assessment/chi_implstrategy2022_infirmary-and-north_vf2.pdf,N/A,
6710015,CHI St. Vincent Medical Center-North,2215 Wildwood Avenue,Sherwood,72120-5089,AR,CommonSpirit Health,Non-Profit,2022,Combination of counties and zip codes,"Pulaski,Lonoke, Faulkner"," 72113, 72118, 72199, 72120, 72099, 72116, 72114, 72117, 72142, 72023, 72106, 72034, 72032, 72173, 72111, 72047, 72181, 72058, 72039, 72061, 72131, 72120, 72142, 72083, 72046, 72037, 72072, 72024, 72086, 72023, 72007, 72176, 72170, 72076",N/A,"Access to Care, Education, Mental Health Care,Primary Health Care, Basic Health,Chronic Conditions, Domestic Violence and  Human Trafficking, Food and Nutrition,Substance Abuse","Access to Primary Care, Access to Mental Health Care, Basic Health Knowledge and Awareness, Chronic Condition Education, Domestic Violence and Human Trafficking, Food and Nutrition Education, Substance Abuse Treatment and Education",https://www.chistvincent.com/docs/default-source/community-needs-assessment/2022-community-health-needs-assessment-infirmary.pdf,https://www.chistvincent.com/docs/default-source/community-needs-assessment/chi_implstrategy2022_infirmary-and-north_vf2.pdff,N/A,
6710480,CHI St. Vincent Morrilton,4 Hospital Drive,Morrilton,72110-4510,AR,CommonSpirit Health,Non-Profit,2022,Combination of counties and zip codes,"Conway, Perry","72110, 72127, 72157, 72156, 72063, 72027, 72030, 72080, 72125, 72001, 72025, 72823, 72141, 72025, 72001, 72125, 72070, 72016, 72126, 72857, 72853, 71949",N/A,"Access to Care, Education, Mental Health Care,Primary Health Care, Basic Health,Chronic Conditions, Domestic Violence and  Human Trafficking, Food and Nutrition,Substance Abuse","Access to Primary Care, Access to Mental Health Care, Basic Health Knowledge and Awareness, Chronic Condition Education, Domestic Violence and Human Trafficking, Food and Nutrition Education, Substance Abuse Treatment and Education",https://www.chistvincent.com/docs/default-source/community-needs-assessment/2022-community-health-needs-assessment-infirmary.pdf,https://www.chistvincent.com/docs/default-source/community-needs-assessment/chi_implstrategy2022_morrilton_vf2.pdf,N/A,
6710002,CHI St. Vincent Sherwood Rehabilitation Hospital,2201 Wildwood Avenue,Sherwood,72120-5074,AR,Encompass Health Corporation,Non-Profit,2022,Combination of counties and zip codes,"Pulaski, Faulkner,  Lonoke ","72113, 72118, 72199, 72120, 72099, 72116, 72114, 72117, 72142, 72023, 72106, 72034, 72032, 72173, 72111, 72047, 72181, 72058, 72039, 72061, 72131, 72120, 72142, 72083, 72046, 72037, 72072, 72024, 72086, 72023, 72007, 72176, 72170, 72076",N/A,"Access to Care, Education, Mental Health Care,Primary Health Care, Basic Health,Chronic Conditions, Domestic Violence and  Human Trafficking, Food and Nutrition,Substance Abuse","Lack of Access to Primary and Mental Health Care, Basic Health Knowledge and Awareness, Chronic Conditions Education, Food and Nutrition Education, Domestic Violence and Human Trafficking, Substance Abuse",https://www.chistvincent.com/docs/default-source/community-needs-assessment/2022-community-health-needs-assessment-infirmary.pdf,https://www.chistvincent.com/docs/default-source/community-needs-assessment/chi_implstrategy2022_infirmary-and-north_vf2.pdf,N/A,
6710331,Chicot Memorial Medical Center,2729 Highway 65 and 82 South,Lake Village,71653,AR,,Unable to Find,2022,List of Counties,"Arkansas, Ashley, Bradley, Chicot, Columbia, Dallas, Desha, Drew, Jefferson",N/A,N/A,"Mental Health & Drug Addiction/Substance Abuse, Healthcare Workforce, Obesity","Mental Health & Drug Addiction/Substance Abuse, Healthcare Workforce, Obesity",https://www.chicotmemorial.com/wp-content/uploads/2023/02/2022-CMMC-CHNA-ASSESSMENT-FINAL-WITH-ATTACHMENTS.pdf,https://www.chicotmemorial.com/wp-content/uploads/2023/02/2022-CMMC-CHNA-ASSESSMENT-FINAL-WITH-ATTACHMENTS.pdf,N/A,
6710023,CHRISTUS Dubuis Hospital of Fort Smith,"7301 Rogers Avenue, 4th Floor",Fort Smith,72903-4100,AR,LHC Group,Unable to Find,2023,Combination of counties and places,Sebastian,N/A, Fort Smith,"Access to health care, Behavioral health, Nutrition","Diabetes,Obesity , Anxiety,Depression, Smoking, Vaping",https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/dubuis-hospitals/christus_dubuis_fortsmith_2023.ashx,https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/dubuis-hospitals/christus_dubuis_fortsmith_chip_2023.ashx,N/A,
6710011,CHRISTUS Dubuis Hospital of Hot Springs,"300 Werner Street, 3rd Floor East",Hot Springs National Park,71913-6406,AR,LHC Group,Unable to Find,2023,Combination of counties and places,"Clark, Howard, Garland, Montgomery, Hot Springs, Clark",N/A,Hot springs,"Education, Access to Care, Chronic Conditions","substance abuse treatment, recovery, Primary Health Care, awareness, education, Chronic Conditions, Domestic Violence, Human Trafficking,Food, Nutrition",https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/dubuis-hospitals/christus_dubuis_hotsprings.ashx,https://www.christushealth.org/-/media/christus-health/connect-with-christus/files/community-involvement-and-commitment/dubuis-hospitals/christus_dubuis_hot-springs_chip_2023.ashx,N/A,
6719167,Conway Behavioral Health Hospital,2255 Sturgis Road,Conway,72034-8029,AR,"Acadia Healthcare Company, Inc.",Unable to Find,N/A unable to find,,,,,,,,,,
6710110,Conway Regional Medical Center,2302 College Avenue,Conway,72034-6297,AR,Conway Regional Health System,Non-Profit,2022,Combination of counties and places,"Faulkner, Yell, cleburne, conway,perry, pope, van Buren",N/A,"Vilonia, Greenbrier,Mayflower,Dardanelle,Russellville,Clinton,conway,Morrilton","Obesity, Access to care, Heart disease, Substance abuse, Chronic disease management and diabetes","Obesity, Chronic disease management, Access to Care, Substance Abuse",https://www.conwayregional.org/docs/default-source/crhs/2022-community-health-needs-assessmentd7783fc0-ff99-41ae-955c-19afdaa2886a.pdf?sfvrsn=2ac7fe19_3,https://www.conwayregional.org/docs/default-source/crhs/about/reports/2020-chna-implementation-strategy.pdf?sfvrsn=2153019_3,N/A,
6710031,Conway Regional Rehabilitation Hospital,2210 Robinson Avenue,Conway,72034-4943,AR,Conway Regional Health System,Public,2019,List of Counties,"Faulkner, Cleburne, Conway, Perry, Pope, Van Buren , Yell ",N/A,N/A,"Obesity, Nutrition and Exercise, Access to Care, Chronic Disease Management & Diabetes and, Smoking & Vaping","Access to care, Obesity, Smoking and, Chronic Disease Management & Diabeties",https://www.conwayregional.org/docs/default-source/crhs/reports/finalforweb-chna2019-121619.pdf?sfvrsn=1189f449_5,https://www.conwayregional.org/docs/default-source/crhs/reports/finalforweb-chna2019-121619.pdf?sfvrsn=1189f449_5,N/A,
6710033,Cornerstone Speciality Hospitals of Little Rock,"2 Saint Vincent Circle, 6th Floor",Little Rock,72205-5423,AR,Cornerstone Healthcare Group,Unable to Find,N/A unable to find,,,,,,,,,,
6710640,CrossRidge Community Hospital,310 South Falls Boulevard,Wynne,72396-3013,AR,,Non-Profit,2022,List of Counties,Cross,N/A,N/A,"Health and wellness education, Obesity, Diabetes, Heart Disease, Substance Abuse",N/A,https://www.stbernards.info/sites/default/files/assets/pdfs/corporate/CRCH%20CHNA%202022.pdf,N/A,N/A,
6710196,Dallas County Medical Center,201 Clifton Street,Fordyce,71742-3099,AR,,Unable to Find,N/A unable to find,,,,,,,,,,
6710160,Delta Memorial Hospital,811 South Highway 65,Dumas,71639-3006,AR,,Unable to Find,2019,List of Counties,"Arkansas, Ashley, Bradley, Chicot, Columbia, Dallas, Desha, Drew, Jefferson ",N/A,N/A,"After-hours clinic, Mental health services, Drug abuse, Patient assistance services in community","Opening an after-hours clinic, Increase mental health services, Increase access to Patient and Community Access programs , Increase drug abuse awareness, education, and support programs ",http://www.deltamem.org/docs/DELTA_MEMORIAL_CHNA_DOCUMENT_FINAL_FINAL_2019.pdf,http://www.deltamem.org/docs/DELTA_MEMORIAL_STRATEGIC_IMPLEMENTATION_PLAN_2019-2021.pdf,N/A,
6710157,DeWitt Hospital,1641 South Whitehead Drive,DeWitt,72042-9481,AR,,Unable to Find,2019,List of Counties,"Phillips, Desha, Jefferson, Praire ",N/A,N/A,"Mental health and behavioral resources, Lack of doctors, Community education/dissemination of health resources","Mental and behavioral resources in the community, Lack of doctors, Need for healthcare community education, outreach, and resources",https://www.dewitthealth.org/_files/ugd/60ba15_bd41577d9ab241d6bfbc0c7caf9d7deb.docx?dn=DHNH%20Assessment%20%20Strategic%20Implementetion%20Plan.docx,https://www.dewitthealth.org/_files/ugd/60ba15_bd41577d9ab241d6bfbc0c7caf9d7deb.docx?dn=DHNH%20Assessment%20%20Strategic%20Implementetion%20Plan.docx,N/A,
6710470,Drew Memorial Health System,778 Scogin Drive,Monticello,71655-5729,AR,,Unable to Find,2022,List of Counties,"Arkansas, Ashley, Bradley, Chicot, Columbia, Dallas, Desha, Drew, Jefferson ",N/A,N/A,"High level of obesity at all ages, Long time for primary care, Alcohol,drug,opioid abuse ","Mental health & substance abuse, Obesity/Diabetes, Healthcare Workforce",https://www.drewmemorial.org/our-community/community-benefit-report/,https://www.drewmemorial.org/our-community/community-benefit-report/,N/A,
6710001,Encompass Health Rehabilitation Hospital of Jonesboro,1201 Fleming Avenue,Jonesboro,72401-4311,AR,Encompass Health Corporation,Unable to Find,N/A unable to find,,,,,,,,,,
6710007,"Encompass Health Rehabilitation Hospital, a Partner of Washington Regional",153 East Monte Painter Drive,Fayetteville,72703-4002,AR,Encompass Health Corporation,Non-Profit,2019,List of Counties,"Washington, Benton, Madison",N/A,N/A,"Access to affordable health care, Access to primary care, Access to specialty care, including neurosciences, cardiac care, trauma services and women and infant care, Wellness and health education, Access to specialty care for rural communities","Access to affordable health care, Access to primary care, Access to specialty care, including neurosciences, cardiac care, trauma services and women and infant care, Wellness and health education, Access to specialty care for rural communities",https://www.wregional.com/Uploads/Public/Documents/WRMC%202019%20CHNA.pdf,N/A,N/A,
6710230,Encompasss Health Rehabilitation Hospital of Fort Smith,1401 South 'J' Street,Fort Smith,72901-5155,AR,Encompass Health Corporation,Unable to Find,N/A unable to find,,,,,,,,,,
6710175,Eureka Springs Hospital,24 Norris Street,Eureka Springs,72632-3541,AR,Allegiance Health Management,Unable to Find,N/A unable to find,,,,,,,,,,
6710198,Forrest City Medical Center,1601 Newcastle Road,Forrest City,72335-2218,AR,Quorum Health,Public,N/A unable to find,,,,,,,,,,
6710547,Fulton County Hospital,679 North Main Street,Salem,72576-9451,AR,,Public,N/A unable to find,,,,,,,,,,
6710055,Great River Medical Center,1520 North Division Street,Blytheville,72315-1448,AR,Mississippi County Hospital System,Public,2020,List of Counties,Mississippi ,N/A,N/A,"Access to primary care and mental health care, Obesity, Diabetes, Heart disease, Cancer, Health and wellness education","Access to primary care and mental health care, Obesity, Diabetes, Heart disease, Cancer, Health and wellness education",https://www.mchsys.org/docs/Final_CHNA_2020.pdf,https://www.mchsys.org/docs/Final_CHNA_2020.pdf,N/A,
6710240,Helena Regional Medical Center,1801 Martin Luther King Drive,"Helena, Helena",72342,AR,Quorum Health,Non-Profit,N/A unable to find,,,,,,,,,,
6710485,Howard Memorial Hospital,130 Medical Circle,Nashville,71852-8606,AR,,Non-Profit,2021,List of Counties,Howard ,N/A,N/A,"mental health,substance abuse, obesity, cancer","mental health,substance abuse, obesity, cancer",https://www.howardmemorial.com/sites/default/files/2021-09/2021%20Howard%20Memorial%20CHNA%20Report%20FINAL%20%287-27-21%29_0.pdf,https://www.howardmemorial.com/sites/default/files/2021-09/2022GoalsRevised_CHNA_0.pdf,N/a,
6710077,Izard County Medical Center,61 Grasse Street,Calico Rock,72519,AR,,Unable to Find,N/A unable to find,,,,,,,,,,
6710520,Jefferson Regional Medical Center,1600 West 40th Avenue,Pine Bluff,71603-6301,AR,Jefferson Hospital Association,Non-Profit,2022,List of Counties,"Jefferson, Cleveland, Lincoln, Arkansas, Ashley, Bradley, Chicot, Dallas, Desha, Drew, Grant",N/A,N/A," Chronic Disease, Mental and Behavioral Health"," Chronic Disease, Mental and Behavioral Health",https://www.jrmc.org/wp-content/uploads/2022/11/Jefferson-Regional-CHNA-final_-11.5.2022.pdf,https://us3.my-proxy.com/index.php?q=oa2mo9ebkmas2aePnKPOmWOk1J6UqtZexKWgqp6h2WauqZ6ixcXWZmeSYpNhYpJlf5rIncql2aDPY4SboJzUpZqlX3asr6Rkm8uewp6QjmdmY5dll2OYY4-mlpw,mccombsj@jrmc.org,
6710100,Johnson Regional Medical Center,1100 East Poplar Street,Clarksville,72830-4419,AR,N/A,Non-Profit,2022,List of Counties,Johnson,N/A,N/A,"Recruitment of additional primary care providers, Health and wellness education and outreach, Drug and alcohol abuse prevention, Obesity","Recruitment of additional Primary care providers, Health and Wellness education, Mental Health, Including substance abuse treatment and prevention",https://www.jrmc.com/Content/Uploads/jrmc.com/files/Issued%20Johnson%20CHNA%20Report%202022.pdf,https://www.jrmc.com/Content/Uploads/jrmc.com/files/Issued%20Johnson%20CHNA%20Report%202022.pdf,N/A,
6710617,Lawrence Memorial Hospital,1309 West Main,Walnut Ridge,72476-1430,AR,Lawrence HealthCare Foundation,Non-Profit,2021,List of Counties,Lawrence,N/A,N/A," Access to primary care and mental health care,  Health and wellness education","Access to Primary Care Services, Access to Mental Health Care Services, Health and Wellness Education",https://lawrencememorial.info/app/default/files-module/local/documents/LMHF%20CHNA%202021.pdf,https://lawrencememorial.info/app/default/files-module/local/documents/2021%20Community%20Health%20Needs%20Assessment%20Revised.pdf,N/A,
