ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-profit_Status,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact,,,,,,,,
6660006,Bryan Medical Center,1600 South 48th Street,Lincoln,68506-1299,NE,Bryan Health,Yes,2021,Combination of counties and places,Lancaster,N/A,"Lincoln, Waverly","Mental Health, Alcohol, Drug and Tobacco Use, Heart Disease, Getting enough exercise, Challenges getting healthy and affordable food, Diabetes, Getting around town safely, Cancer, Asthma","Behavioral Health, Cardiovascular Disease, Cancer Care, Effects of COVID-19 Pandemic",https://www.bryanhealth.com/app/files/public/0da00659-3961-4adf-92ce-e4de474b30a6/2021%20CHNA%20Final%20(BMC%20West).pdf,N/A,N/A,,,,,,,,
6660175,Butler County Health Care Center,372 South Ninth Street,David City,68632-2116,NE,,Yes,N/A unable to find,,,,,,,,,,,,,,,,,
6660125,Callaway District Hospital,211  East Kimball,Callaway,68825-2589,NE,,No,2019,List of Counties,"Wheeler, Valley, Blaine, Sherman, Loup, Greeley",N/A,N/A,"Diabetes, Alzheimer's,Stroke,Unintentional Injury,Chronic Lung Cancer, Heart Disease","Alcohol and drug use, Being overweight,Texting/cell phone use while driving,Tobacco use, Not using seatbelts/child safety seats, Racism, Dropping out of school, Not vaccinating, Not using birth control, Unsafe sex",https://hcmc.us.com/file_download/5643136d-2e83-47a1-8ce7-2ff088540c15,https://hcmc.us.com/file_download/9e32cf66-cdd4-4875-b0b1-087afc31e9b4,N/A,,,,,,,,
6660140,Chadron Community Hospital and Health Services,825 Centennial Drive,Chadron,69337-9400,NE,,Yes,2017,Combination of counties and places,"Dawes, Sioux",N/A,Panhandle,"Children’s Outreach, Community Support, Mental Health Outreach Telehealth, Youth Transition Services, Patient Prescription Assistance, Program, Early Development Network, WIC (Women, Infants & Children), Commodity Supplemental Food Program, Family Reproductive Health Services, Minority Diabetic & Cardiovascular Screening and Education, Ryan White Part C, CTR/PCRS HIV, Car Seat Inspection Station,Respite Care, Dawes County Immunization, Immunization Enhancement, Diabetic Prevention, Box Butte Emergency Community Support","Children’s Outreach, Community Support, Mental Health Outreach Telehealth, Youth Transition Services, Patient Prescription Assistance Program, Early Development Network, WIC (Women, Infants & Children), Commodity Supplemental Food Program, Family Reproductive Health Services, Minority Diabetic & Cardiovascular Screening and Education, Ryan White Part C, CTR/PCRS HIV, Car Seat Inspection Station, Respite Care, Dawes County Immunization, Immunization Enhancement,Diabetic Prevention, Box Butte Emergency Community Support",https://www.chadronhospital.com/assets/site/documents/Community%20Health%20Assesment/FINAL_CCH_2017_CHNA.pdf,N/A,N/A,,,,,,,,
6660340,Chase County Community Hospital,600 West 12th Street,Imperial,69033-3130,NE,,Yes,2016,List of Places,N/A,N/A,"Imperial Township, Wauneta Township, Champion Township, Lamar Township, Enders Township","Education and management of chronic diseases, Cancer detection and prevention, Access to healthcare, Mental and behavioral health","Education and management of chronic diseases, Cancer detection and prevention, Access to healthcare, Mental and behavioral health",https://www.chasecountyhospital.com/assets/site/documents/CHNA.docx,N/A,N/A,,,,,,,,
6660960,Cherry County Hospital,510 North Green Street,Valentine,69201-1932,NE,,Yes,2019,List of Counties,"Antelope, Boyd, Brown, Cherry, Holt, Keya Paha, Knox, Pierce, Rock",N/A,N/A,"Health Related Quality of Life, Chronic Disease, Injury, Intentional Injuries, Mental Health and Suicide, Substance Abuse, Influenza and Pneumonia, Sexually Transmitted Diseases, Oral Health, Disability","Mental Health, Chronic Disease Management, Issues across the Lifespan",https://www.westholtmed.org/sites/default/files/ncdhd_cha_2019.pdf,https://www.westholtmed.org/sites/default/files/ncdhd_cha_2019.pdf,N/A,,,,,,,,
6660720,CHI Health Creighton University Medical Center - Bergan Mercy,7500 Mercy Road,Omaha,68124-2319,NE,CommonSpirit Health,Yes,2019,Combination of counties and places,"Douglas, Sarpy, Cass",N/A,Omaha Metro Area,"Access to Healthcare Services, Cancer, Dementia & Alzheimer’s Diseases, Diabetes, Heart Disease & Stroke, Injury & Violence, Mental Health, Nutrition, Physical Activity & Weight, Respiratory Diseases, Sexually Transmitted Diseases, Substance Abuse, ","Access to health care services, Injury & Violence, Mental health, Nutrition, diabetes, physical activity & weight, Substance abuse, Sexual health, Tobacco, alcohol, & other drugs",https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/CUMC-BERGAN-CHNA-2019.pdf,https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/CUMCBerganFY20-FY22-ISP.pdf,kelly.nielsen@alegent.org,,,,,,,,
6660002,CHI Health Good Samaritan,10 East 31st Street,Kearney,68847-2926,NE,CommonSpirit Health,Yes,2019,List of Counties,Buffalo,N/A,N/A,"Access to care (includes behavioral and dental care), Alzheimers disease & dementia , Behavioral health (includes mental health and substance abuse), Weight status (nutrition, physical activity, obesity), Violence, Chronic disease, Lifestyle choices and personal accountability","Access to Healthcare Services, Behavioral Health",https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/GS-RY-FY20-FY22-ISP.pdf,https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/GS-RY-FY20-FY22-ISP.pdf,kelly.nielsen@alegent.org,,,,,,,,
6660690,CHI Health Immanuel,6901 North 72nd Street,Omaha,68122-1799,NE,CommonSpirit Health,Yes,2019,List of Counties,"Douglas, Sarpy, Cass",N/A,N/A,"Access to Healthcare Services, Cancer, Dementia & Alzheimer’s Diseases, Diabetes, Heart Disease & Stroke, Injury & Violence, Mental Health, Nutrition Physical Activity & Weight, Respiratory Diseases, Sexually Transmitted Diseases, Substance Abuse ","Behavioral Health, Social Determinants of Health, Violence Prevention and Intervention",https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/IMC-CHNA-2019.pdf,https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/IMC-FY20-FY22-ISP.pdf,kelly.nielsen@alegent.org,,,,,,,,
6660011,CHI Health Lakeside,6901 N 72nd St,Omaha,68122,NE,CommonSpirit Health,Yes,2019,List of Counties,"Douglas, Sarpy, Cass",N/A,N/A,"Access to Healthcare Services, Cancer, Dementia & Alzheimer’s Diseases, Diabetes, Heart Disease & Stroke, Injury & Violence, Mental Health, Nutrition Physical Activity & Weight, Respiratory Diseases, Sexually Transmitted Diseases, Substance Abuse ","Violence Prevention, Behavioral Health, Access to Care, Nutrition, Physical Activity & Weight Status (Childhood Obesity), Heart Disease and Stroke, Dementia, Social Determinants of Health",https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/LKS-CHNA-2019.pdf,https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/LKS-FY20-FY22-ISP.pdf,kelly.nielsen@alegent.org,,,,,,,,
6660650,CHI Health Midlands,11111 South 84th Street,Papillion,68046-4122,NE,CommonSpirit Health,,2019,Combination of counties and places,"Douglas, Sarpy, Cass",N/A,Pappillion,"Access to Healthcare Services, Cancer, Dementia & Alzheimer’s Diseases, Diabetes, Heart Disease & Stroke, Injury & Violence, Mental Health, Nutrition Physical Activity & Weight, Respiratory Diseases, Sexually Transmitted Diseases, Substance Abuse","Behavioral Health- mental health and substance abuse, Social Determinants of Health- hunger/ food access, housing and poverty, Violence Prevention- human trafficking, sexual assault/ domestic violence, gun violence and trauma informed care",https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/MDL-CHNA-2019.pdf,https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/IMC-FY20-FY22-ISP.pdf,kelly.nielsen@alegent.org,,,,,,,,
6660010,CHI Health Nebraska Heart,7500 South 91st Street,Lincoln,68526-9437,NE,CommonSpirit Health,,2019,Combination of counties and places,Lancaster,N/A,"Bennet, Davey, Denton, Firth, Hallam, Hickman, Lincoln, Malcolm, Panama, Raymond, Roca, Sprague, Waverly","Access to Health Care Services, Behavioral Health, Chronic Disease, Violence & Injury","Access to Health Care Services, Behavioral Health, Chronic Disease, Violence & Injury",https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/STE-NHH-CHNA-2019.pdf,https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/StE-NHH-FY20-FY22-ISP.pdf,kelly.nielsen@alegent.org,,,,,,,,
6660820,CHI Health Plainview,704 North Third Street,Plainview,68769-2047,NE,CommonSpirit Health,,2019,List of Counties,"Pierce, Knox, Cedar, Dixon, Union, Plymouth, Cherokee, Ida, Woodbury, Dakota, Wayne, Pierce, Antelope, Thurston, Monona, Crawford, Madison, Stanton, Cuming, Boone, Platte, Colfax, Dodge, Burt, Washington, Harrison, Shelby, Pottawattamie, Douglas, Saunders, Sarpy, Mills, Nance,  Merrick, Polk, Butler",N/A,N/A,"Access to Health Care, Cancer, Diabetes, Heart Disease & Stroke, Housing, Injury & Violence, Immunizations, Mental Health, Nutrition & Physical Activity, Oral Health, Sexually Transmitted Diseases, Substance Abuse","Behavioral Health, Chronic Disease Prevention Detection and Management",https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/Plainview-CHNA-2019.pdf,https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/Plainview-FY20-FY22-ISP.pdf,kelly.nielsen@alegent.org,,,,,,,,
6660290,CHI Health Saint Francis,2620 West Faidley Avenue,Grand Island,68803-4297,NE,CommonSpirit Health,,2019,List of Counties,"Hall, Loup, Garfield, Valley, Greeley, Sherman, Howard, Buffalo, Adams, Merrick, Hamilton",N/A,N/A,"Access to Care,Aging,Behavioral, Health(Includes mental health & substance abuse), Culture of Health (Also identified as Social Determinants of Health), Maternal, Infant & Child Health, Obesity, Violence","Access to Care, Aging, Behavioral, Health (Includes mental health & substance abuse), Culture of Health (Also identified as Social Determinants of Health), Maternal, Infant & Child Health, Obesity, Violence",https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/ST-FRANCIS-SNF-CHNA-2019.pdf,N/A,kelly.nielsen@alegent.org,,,,,,,,
6660827,CHI Health Schuyler,104 West 17th Street,Schuyler,68661-1304,NE,CommonSpirit Health,,2019,List of Counties,Colfax,N/A,N/A,"Teen Pregnancy, Cancer, Community Water, Educational Attainment, First Trimester Prenatal Care, Health Insurance, Language, Motor Vehicle Safety, Poverty, Single Parent Homes, TB, Unintentional Deaths, Alcohol/Drug Use, Obesity, Bullying, Heart Disease, Stroke,Suicide, Child Abuse/Neglect, Dental Care, Lower Respiratory Lung Diseases, Fire-Arm Related Injuries, STI'S, Rape/Sexual Assult, Infectious Diseases, Homicide, SIDS","Family Health & Wellness, Behavioral Health, Access to Care, Support for Families with Children in Poverty",https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/Schuyler-CHNA-2019.pdf,https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/Schuyler-FY20-FY22-ISP.pdf,kelly.nielsen@alegent.org,,,,,,,,
6660460,CHI Health St Elizabeth,555 South 70th Street,Lincoln,68510-2494,NE,CommonSpirit Health,Yes,2019,Combination of counties and places,Lancaster,N/A,"Bennet, Davey, Denton, Firth, Hallam, Hickman, Lincoln, Malcolm, Panama, Raymond, Roca, Sprague, Waverly","Access to Health Care Services, Behavioral Health, Chronic Disease, Violence & Injury","Access to Health Care Services, Behavioral Health, Chronic Disease, Violence & Injury",https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/STE-NHH-CHNA-2019.pdf,https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/StE-NHH-FY20-FY22-ISP.pdf,"Kelly Nielsen, Kelly.nielsen@alegent.org, 402-343-4548",,,,,,,,
6660520,CHI Health St. Mary's,1301 Grundman Boulevard,Nebraska City,68410,NE,CommonSpirit Health,Yes,2019,List of Counties,Otoe,N/A,N/A,"Access to Healthcare, Aging, Behavioral Health (includes mental health, suicide & substance abuse), Cancer, Cardiovascular Disease, Maternal & Child Health; Nutrition, Physical Activity, and Weight Status; Violence","Access to Healthcare Services, Aging, Behavioral Health (includes mental health, suicide & substance abuse), Cancer, Cardiovascular Disease, Maternal & Child Health; Nutrition, Physical Activity, and Weight Status; Violence",https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/ST-MARYS-CHNA-2019.pdf,https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/StMARYS-FY20-FY22-ISP.pdf,"Kelly Nielsen, Kelly.nielsen@alegent.org, 402-343-4548",,,,,,,,
6660635,Children's Hospital and Medical Center,8200 Dodge St,Omaha,68114-4113,NE,,Yes,2021,Combination of counties and zip codes,"Douglas, Sarpy","68022, 68007, 68142, 68122, 68116, 68164, 68134, 68152, 68112, 68110, 68111, 68104, 68132, 68131, 68102, 68106, 68105, 68108, 68117, 68107, 68127, 68124, 68144, 68137, 68135, 68130, 68010, 68118, 68154, 68114",N/A,"Access to Health Care Services; Injury and Safety; Mental and Behavioral Health; Nutrition, Physical Activity, and Weight; Oral Health; Parenting Education and Family Support, Pediatric Chronic Conditions; Physical Environment; Prenatal and Infant Health; Sexual Health; Tobacco, Alcohol and Other Drugs; Vision, Hearing and Speech Conditions","Mental/Behavioral Health; Lack of Family Support/Services; Nutrition, Physical Activity & Weight; Lack of Parenting Education/Readiness; Sexual Health; Tobacco, Alcohol & Other Drugs; Oral Health; Lack of Safe/Healthy Spaces; Injury & Violence; Developmental Delays/Disabilities; Maternal/Prenatal/Infant Health; Access to Health Services; Pediatric Chronic Conditions; Vision, Hearing & Speech Conditions",https://www.childrensomaha.org/wp-content/uploads/2021/11/2021-PRC-Pediatric-CHNA-Report.pdf,N/A,N/A,,,,,,,,
6660145,Columbus Community Hospital,4600 38th Street,Columbus,68601-1664,NE,,Yes,2021,List of Counties,"Boone, Colfax, Nance, Platte",N/A,N/A,"Heart Disease, Cancer, Chronic Lung Disease, Unintentional Injury (Accidents), Cerebrovascular Disease, Diabetes, Alzheimer's Disease","Heart Disease, Cancer, Chronic Lung Disease, Unintentional Injury (Accidents), Cerebrovascular Disease, Diabetes, Alzheimer's Disease",https://www.columbushosp.org/uploads/files/2021_ECDHD_CHNA_0.pdf,https://www.columbushosp.org/sites/www/Uploads/CHIP%20%20Access%20to%20Care%20Slides%20report%20out%2012%202020%20Rev%20(002).pdf,N/A,,,,,,,,
6660500,Community Hospital,1301 East 'H' Street,McCook,69001-1328,NE,,Yes,2019,List of Counties,Red Willow,N/A,N/A,"Access to Affordable Care and Reducing Health Disparities Among Specific Populations; Access to Mental and Behavioral Health Care Services and
Providers; Focus on the Needs of the Aging Population; Continued Emphasis on Physician Recruitment and Retention; Prevention, Education and Awareness of Services to Address High Mortality Rates, Chronic Diseases, Preventable Conditions
and Unhealthy Lifestyles","Prevention, Education and Services to Address High Mortality Rates, Chronic Diseases, Preventable Conditions and Unhealthy Lifestyles; Focus on the Needs of the Aging Population; Continued Emphasis on Physician Recruitment and Retention; Access to Mental and Behavioral Health Care Services and Providers; Access to Affordable Care and Reducing Health Disparities Among Specific Populations",https://chmccook.org/assets/site/community-hospital-mccook-chna-and-implementation-plan-report-2019-final.pdf,https://chmccook.org/assets/site/community-hospital-mccook-chna-and-implementation-plan-report-2019-final.pdf,"Lisette Hudson, lhudson@communityhospitalcorp.com; Valerie Hayes, vhayes@communityhospitalcorp.com",,,,,,,,
6660200,"Community Medical Center, Inc.",3307 Barada Street,Falls City,68355-2470,NE,,Yes,2019,List of Counties,"Johnson, Nemeha, Pawnee, Otoe, Richardson",N/A,N/A,"Behavioral/Mental Health, Preventative Care and Screenings, Social Determinants of Health","Behavioral/Mental Health, Preventative Care and Screenings, Social Determinants of Health",https://www.cmcfc.org/wp-content/uploads/2019/08/2019-CHNA-and-Response.pdf,2019-CHNA-and-Response.pdf (cmcfc.org),N/A,,,,,,,,
6660200,Cozad Community Health System,300 East 12th Street,Cozad,69130-1505,NE,,Unable to find,N/A unable to find,,,,,,,,,,,,,,,,,
6660200,Crete Area Medical Center,2910 Betten Drive,Crete,68333-3084,NE,Bryan Health,Yes,2021,List of Counties,Saline,N/A,N/A,"Opioid and Substance Abuse, Access to Care, Cancer Care and Prevention","Opioid and Substance Abuse, Access to Care, Cancer Care and Prevention",https://www.bryanhealth.com/app/files/public/731bdddb-a0cc-4a51-8529-a94055d6d829/2021%20CHNA%20Final%20(CAMC).pdf,https://www.bryanhealth.com/app/files/public/731bdddb-a0cc-4a51-8529-a94055d6d829/2021%20CHNA%20Final%20(CAMC).pdf,crete_info@bryanhealth.org,,,,,,,,
6660200,Douglas County Community Mental Health Center,4102 Woolworth Avenue,Omaha,68105-1899,NE,,Yes,2021,"Combination of counties, zip codes, and places","Douglas, Sarpy, Cass","68022, 68069, 68064, 68007","Northeast Omaha, Southeast Omaha, Northwest Omaha, Southwest Omaha, Western Douglas","Access to Care, Cancer, Diabetes, Heart Disease & Stroke, Infant Health & Family Planning, Injury & Violence, Mental Health, Nutrition Physical Health and Exercise, Oral Health, Disabiling Conditions, Respiratory Diseases, Sexual Health, Social Determinants of Health, Tobacco Use/Misuse, Substance Abuse","Mental Health, Nutrition, Physical Activity & Weight, Substance Abuse, Diabetes, Sexual Health, Injury & Violence, Heart Disease & Stroke, Tobacco Use, Infant Health & Family Planning, Potentially Disabling Conditions, Oral Health, Access to Healthcare Services, Respiratory Diseases, Cancer",https://www.douglascountyhealth.com/images/CHNS/CHA/2021_PRC_CHNA_Report_-_Omaha_Metro_Area.pdf,https://www.douglascountyhealth.com/images/CHNS/CHIP/2021_CHIP_Document_VF.pdf,N/A,,,,,,,,
6660200,Dundy County Hospital,1313 North Cheyenne Street,Benkelman,69021-3074,NE,,,N/A unable to find,,,,,,,,,,,,,,,,,
6660003,Faith Regional Health Services,2700 West Norfolk Avenue,Norfolk,68701-4438,NE,Faith Regional Health Services,Yes,2019,List of Counties,"Antelope, Boone, Holt, Knox, Madison, Pierce, Platte, Stanton, Wayne, Cedar, Colfax, Cuming, Dixon, Boyd, Brown, Burt, Cherry, Dakota, Garfield, Keya Paha, Nance, Rock, Thurston, Wheeler",N/A,N/A,"Address youth tobacco use, economic stability and development, focus on healthy foods and physical activity, consistent cancer screening, focus on mental health, safe driving practices, address underserved healthcare access areas, technology in healthcare, and establish stability at home","Chronic disease control & sepsis, mental health, Healthy foods and physical activity, and consistent cancer screening ",https://www.frhs.org/about-us/annual-report/,https://www.frhs.org/about-us/annual-report/,N/A,,,,,,,,
6660245,Fillmore County Hospital,1900 'F' Street,Geneva,68361-1325,NE,,,N/A unable to find,,,,,,,,,,,,,,,,,
6660220,Franklin County Memorial Hospital,1406 'Q' Street,Franklin,68939-0315,NE,,,2020,List of Counties,Franklin,N/a,N/A,"Socioeconmic status, poverty, births, shortages of specialty care, heart diease, stroke, high blood pressure, diabetes, unintentional injury death rate, motor vechicle crashes, unintentional fall death rate, and suicide","Socioeconmic status, poverty, births, shortages of specialty care, heart diease, stroke, high blood pressure, diabetes, unintentional injury death rate, motor vechicle crashes, unintentional fall death rate, and suicide",https://www.trphd.org/public-health-data/,https://www.trphd.org/public-health-data/,N/a,,,,,,,,
6660240,Friend Community Healthcare System,905 Second Street,Friend,68359-1133,NE,,Yes,2021,List of Counties,"Crete, Friend, Wilber, Saline",NA,NA,"Opioid and Substance Abuse, Access to Care, Cancer Care and Prevention
","Opioid and Substance Abuse, Access to Care, Cancer Care and Prevention",https://www.bryanhealth.com/app/files/public/731bdddb-a0cc-4a51-8529-a94055d6d829/2021%20CHNA%20Final%20(CAMC).pdf,NA,NA,,,,,,,,
6669060,Genoa Medical Facilities,706 Ewing Avenue,Genoa,68640-3035,NE,Faith Regional Health Services,,2021,List of Counties,"Boone, Colfax, Nance, Platte",N/A,N/A,"Mental health, community partnerships, recruit young profressionals, transportation","Mental health, community partnerships, recruit young profressionals, transportation",https://ecdhd.ne.gov/resources/health-department-reports.html,N/A,N/A,,,,,,,,
6660270,Gordon Memorial Health Services,300 East Eighth Street,Gordon,69343-1123,NE,,,2017,Combination of counties and zip codes,"Dawes, Banner, Sioux, Box Butte, Sheridan, Garden, Kimball, Morrill, Scotts Bluff, Grant, Cheyenne, Deuel, Sedgwick","69339, 69337, 69301, 69347, 69346, 69154, 69147, 69145, 69128, 69336, 69361, 69334, 69343, 69360, 69341, 69356, 69358, 69357, 82609, 69350, 69335, 69366, 69333, 69162, 69129, 80737",N/A,"Tobacco use, Diet & exercise, Alcohol & drug use, Sexual activity, Access to care, Quality of care, Education, Employment, Income, Family & social support, Community safety, Air & water quality, Housing & transit",N/A,http://www.pphd.org/Site/Documents/CHIP/2017%20CHNA_v07.14.2017.pdf,N/A,kengel@pphd.org,,,,,,,,
6660275,Gothenburg Health,910 20th Street,Gothenburg,69138-1237,NE,,,N/A unable to find,,,,,,,,,,,,,,,,,
6660560,Great Plains Health,601 West Leota Street,North Platte,69101-6598,NE,,,2019,List of Counties,Lincoln,N/A,N/A,"Increase access to mental and behavioral health care, Increase prevention education to reduce the prevalence of chronic diseases, preventable conditions, readmissions and high mortality rates, Increase access to safe and affordable housing, Improve access to medical and dental care, Recruit and retain quality healthcare professionals","Increase access to mental and behavioral health care, Increase prevention education to reduce the prevalence of chronic diseases, preventable conditions, readmissions and high mortality rates, Increase access to safe and affordable housing, Improve access to medical and dental care, Recruit and retain quality healthcare professionals",https://www.gphealth.org/media/1855/gphealth-2019-chna-report-final-222.pdf,https://res.cloudinary.com/dpmykpsih/image/upload/great-plains-health-site-358/media/eb17be020067488c9acf7453ec716196/chna-implementation-plan-2020-2022-update-22021.pdf,libsackf@gphealth.org,,,,,,,,
6660025,Harlan County Health System,717 North Brown Street,Alma,68920-2132,NE,"Great Plains Health Alliance, Inc.",,N/A unable to find,,,,,,,,,,,,,,,,,
6660308,Henderson Health Care Services,1621 Front Street,Henderson,68371-8902,NE,,,2022,List of Counties,"York, Clay, Hamilton",N/A,N/A,"Obesity/Nutrition/Physical Activity, Cancer, Mental Health, Alcohol Abuse/ Drug Abuse, Health Disease and Stroke","Obesity/Nutrition/Physical Activity, Cancer, Mental Health, Alcohol Abuse/ Drug Abuse, Health Disease and Stroke",https://hendersonhealthcare.org/assets/site/files/chna-2022-signed.pdf,N/A,N/A,,,,,,,,
6669130,Howard County Medical Center,1113 Sherman Street,Saint Paul,68873-1546,NE,,,2019,List of Counties,"Blaine, Custer, Garfield, Greeley, Howard, Loup, Sherman, Valley, Wheeler
",N/A,N/A,"Alcohol and drug use, Being overweight, Texting/cell phone use while driving","Diabetes, Alzheimer's Stroke, Unintentional Injury Chronic, Lung Cancer Heart Disease",https://hcmc.us.com/assets/site/files/2019-community-needs-assessment.pdf,https://hcmc.us.com/whoweare/chna.html,N/A,,,,,,,,
