ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6212928,Calvary Hospital,1740 Eastchester Road,Bronx,10461-2392,NY,,Non-Profit,Combination of counties and places,2019,Combination,"Bronx, Brooklyn, Manhattan, Queens, Nassau, Westchester",N/A,New York City,"Access to Palliative Care, Access to Bereavement Services, Palliative Care Education","Prevent chronic diseases; Promote healthy and safe environments; Promote healthy women, infants and children; Promote mental health and prevent substance abuse; Prevent HIV, sexually transmitted diseases, vaccine preventable diseases and healthcare associated Infections",CH_CHNA_Brochure_FINAL-11-12-19-1.pdf (calvaryhospital.org),CH_CHNA_Brochure_FINAL-11-12-19-1.pdf (calvaryhospital.org),N/A
6211190,Canandaigua Veterans Affairs Medical Center,400 Fort Hill Avenue,Canandaigua,14424-1159,NY,Department of Veterans Affairs,Non-Profit,,N/A unable to find,,,,,,,,,
6211185,Canton-Potsdam Hospital,50 Leroy Street,Potsdam,13676-1799,NY,St. Lawrence Health System,Non-Profit,List of Counties,2022,List of Counties,St. Lawrence,N/A,N/A,"Healthy Eating and Food Security (Prevent Chronic Diseases), Physicial Activity (Prevent Chronic Diseases), Preventative Care and Management (Prevent Chronic Diseases), Prevent Mental and Substance User Disorders (Promote Well-being and prevent mental and substance user disorders)","Prevent Chronic Diseases, Promote Well-Being, Prevent Mental and Substance Use Disorders",www.stlawrencehealthsystem.org/-/media/slh/files/community-health-assessment-2022.pdf?la=en&hash=2960D3E30C7136A61EBCC1471AC2F68B531BEF98,www.stlawrencehealthsystem.org/-/media/slh/files/community-health-assessment-2022.pdf?la=en&hash=2960D3E30C7136A61EBCC1471AC2F68B531BEF98f,N/A
6210071,Capital District Psychiatric Center,75 New Scotland Avenue,Albany,12208-3474,NY,New York State Office of Mental Health,Public,,N/A unable to find,,,,,,,,,
6211205,Carthage Area Hospital,1001 West Street,Carthage,13619-9703,NY,,Non-Profit,List of Counties,2019,List of Counties,Jefferson,N/A,N/A,"Tobacco Prevention, Preventative care and management, Prevent Mental and Substance User Disorders, Child and Adolescent Health including children with special health care needs, Vaccine Preventable Diseases","Prevent Chronic disease; Promote Well-Being and Prevent Mental and Substance Use Disorders; Promote Healthy Women, Infants and Children; Prevent Communicable Diseases",https://www.carthagehospital.com/wp-content/uploads/2021/03/2019-2024-Comm-Service-Plan.pdf,https://www.carthagehospital.com/wp-content/uploads/2021/03/2019-2024-Comm-Service-Plan.pdf,N/A
6212206,Catskill Regional Medical Center,68 Harris Bushville Road,Harris,12742-5030,NY,Greater Hudson Valley Health System,Non-Profit,List of Counties,2022,List of Counties,Sullivan,N/A,N/A,"Access to medical services, cancer, community safety, heart disease, high blood pressure, inadequate childcare, lack of affordable housing, lack of healthy nutrition, Lack of preventative care, Late or No Prenatal Care, Mental Health, Obesity, Poverty, Substance Abuse, Transportation, Unintentional Injuries","Prevention of Chronic Diseases, Improve Mental Health and Prevention of Substance Use",https://www.garnethealth.org/sites/default/files/2023-01/Garnet%20Health%20CHNA%20-%20Sullivan%20County%20Catskills%20FINAL%2011.18.22.pdf,https://www.garnethealth.org/sites/default/files/2023-01/Garnet%20Health%20CHNA%20-%20Sullivan%20County%20Catskills%20FINAL%2011.18.22.pdf,N/A
6211960,Cayuga Medical Center at Ithaca,101 Dates Drive,Ithaca,14850-1342,NY,Cayuga Health System,Non-Profit,Combination of counties and places,2019,Combination,Tompkins ,N/A,"Caroline Town, Danby Town, Dryden Town, Enfield Town, Groton Town, Ithaca City, Ithaca Town, Lansing Town, Newfield Town, Ulysses Town","Healthy eating, physical activity, disease screening, prenatal care, mental health, school-based health options","Healthy eating and food security; preventative care management; promote healthy women, infants, and children; promote well-being; prevent mental and substance use disorders; prevent communicable disease; promote a healthy and safe environment",http://www.cayugamed.org/wp-content/uploads/2020/08/2019-2024_CHA-CHIP-Tompkins-1.pdf,http://www.cayugamed.org/wp-content/uploads/2020/08/2019-2024_CHA-CHIP-Tompkins-1.pdf,N/A
6212365,Central New York Psychiatric Center,9005 Old River Road,Marcy,13403-3000,NY,New York State Office of Mental Health,Unable to Find,,N/A unable to find,,,,,,,,,
6213740,Claxton-Hepburn Medical Center,214 King Street,Ogdensburg,13669-1142,NY,,Non-Profit,,N/A unable to find,,,,,,,,,
6211290,Clifton Springs Hospital and Clinic,2 Coulter Road,Clifton Springs,14432-1189,NY,Rochester Regional Health,Non-Profit,,N/A unable to find,,,,,,,,,
6214670,Clifton-Fine Hospital,1014 Oswegatchie Trail,Star Lake,13690-3143,NY,,Non-Profit,,N/A unable to find,,,,,,,,,
6211295,Cobleskill Regional Hospital,178 Grandview Drive,Cobleskill,12043-5144,NY,Bassett Healthcare Network,Non-Profit,"Combination of counties, zip codes, and places",2022,Combination,Schoharie,"12031, 12035, 12036, 12043, 12066, 12071, 12073, 12076, 12092, 12093, 12122, 12131, 12149, 12157, 12160, 12175, 12187, 12194, 13459","Carlisle, Central Bridge, Charlottesville, Cobleskill, Esperance, Fultonham, Gallupville, Gilboa, Howes Cave, Jefferson, Middleburgh, North Blenheim, Richmondville, Schoharie, Sloansville, Summit, Warnerville, West Fulton, Sharon Springs","Education Access and Quality, Health Care and Quality, Neighborhood and Built Environment, Economic Stability, Social and Community Context","Prevent Chronic Disease; Promote a Healthy and Safe Environment; Promote Health for Women, Infants, and Children; Promote Well-Being and Prevent Mental and Substance Use Disorders; Prevent Communicable disease",https://www.bassett.org/sites/default/files/2023-03/Schoharie_County_Community_Health_Needs_Assessment_and_Community_Service_Plan_2022-2024.pdf,N/A,N/A
6211225,Columbia Memorial Hospital,71 Prospect Avenue,Hudson,12534-2907,NY,,Non-Profit,Combination of counties and zip codes,2022,Combination,"Clatsop, Columbia ","97016, 97018, 97048, 97051, 97053, 97054, 97056, 97064, 97103, 97110, 97121, 97138, 97146, 98624, 98631",N/A,"Population Health Status Assessment, Community Engangemnt, Internal Utilization Data, Community Strengths & Assets, Prioritization Protocol","Access to Healthcare Services, Behavioral Health Cahallenges and Access to Care, Houselessnesss and Housing Instabilty, Affordable Childcare and Preschools, Economic Insecurity, Access to Dental Care, Chronic Health Conditions",https://res.cloudinary.com/dpmykpsih/image/upload/columbia-memorial-site-387/media/05f4ab9709c5423c982ed9fafdbae124/2022-north-coast-chna.pdf,https://columbiamemorialhealth.org/wp-content/uploads/2023/01/2022-2024-CHIP-CSP-Executive-Summary.pdf,N/A
6211775,Community Memorial Hospital,150 Broad Street,Hamilton,13346-9518,NY,,Non-Profit,List of Counties,2020,List of Counties,Madison,N/A,N/A,"Substance Use, Lung Cancer","Alcohol Misuse, Tobacco Use & Vaping, Opioid Use, Illicit Substance Use Among Youth",https://communitymemorial.org/wp-content/uploads/2023/02/MadisonCounty-CommunityHealthImprovementPlan.pdf,https://communitymemorial.org/wp-content/uploads/2023/02/MadisonCounty-CommunityHealthImprovementPlan.pdf,N/A
6214585,Conifer Park,79 Glenridge Road,Glenville,12302-4523,NY,,For-Profit,,N/A unable to find,,,,,,,,,
6213055,Cornerstone of Medical Arts Center Hospital,159-05 Union Turnpike,Fresh Meadows,11366-1950,NY,,Unable to Find,,N/A unable to find,,,,,,,,,
6214150,Creedmoor Psychiatric Center,79-25 Winchester Boulevard,Jamaica,11427-2128,NY,New York State Office of Mental Health,Public,,N/A unable to find,,,,,,,,,
6214890,Crouse Health,736 Irving Avenue,Syracuse,13210-1690,NY,,Non-Profit,List of Counties,2022,List of Counties,Onondaga,N/A,N/A,"Promote Healthy Women, Infants, and Children; Prevent Well Being and Prevent Mental and Substance Use Disorder","Promote Healthy Women, Infants, and Children; Prevent Well Being and Prevent Mental and Substance Use Disorder",https://www.crouse.org/wp-content/uploads/2022/12/2022-2024-CHA-CHIP-FINAL.pdf,https://www.crouse.org/wp-content/uploads/2022/12/2022-2024-CHA-CHIP-FINAL.pdf,N/A
6211400,Cuba Memorial Hospital,140 West Main Street,Cuba,14727-1398,NY,,Non-Profit,,N/A unable to find,,,,,,,,,
6210263,Eastern Niagara Hospital,521 East Avenue,Lockport,14094-3299,NY,,Non-Profit,,N/A unable to find,,,,,,,,,
6211500,Ellenville Regional Hospital,10 Healthy Way,Ellenville,12428-5612,NY,,Non-Profit,List of Places,2021,List of Places,N/A,N/A,Wawarsing,"Prevent Chronic Diseases, Preventive care and management, Promote Well-Being, Prevent Mental and Substance Use Disorders","Prevent Chronic Diseases, Preventive care and management, Promote Well-Being, Prevent Mental and Substance Use Disorders",https://erhny.org/wp-content/uploads/2020/10/Ellenville-Regional-Hospital-Community-Health-Needs-Assessment-2019-2021.pdf,https://erhny.org/wp-content/uploads/2020/10/Ellenville-Regional-Hospital-Community-Health-Needs-Assessment-2019-2021.pdf,"845-210-3043, dbriggs@erhny.org; 845-647-6400 ext. 326, vreid@erhny.org"
6214560,Ellis Hospital,1101 Nott Street,Schenectady,12308-2425,NY,,Non-Profit,List of Counties,2022,List of Counties,Schenectady,N/A,N/A,"Prevent Chronic Diseases; Prevent Infectious/Communicable Diseases; Promote Healthy and safe environments; Promote Healthy women, Infants, and Children; Promote Well-Being and Prevent Mental and Substance Use Disorders","Prevent Chronic Diseases, Promote Well-Being",https://www.ellismedicine.org/blob/PublicNoticesFiles.ashx?ID=676,https://www.ellismedicine.org/blob/PublicNoticesFiles.ashx?ID=676,N/A
6211530,Elmira Psychiatric Center,100 Washington Street,Elmira,14901-2898,NY,New York State Office of Mental Health,Public,,N/A unable to find,,,,,,,,,
6211070,Erie County Medical Center,462 Grider Street,Buffalo,14215-3098,NY,,Non-Profit,,N/A unable to find,,,,,,,,,
6211180,F. F. Thompson Hospital,350 Parrish Street,Canandaigua,14424-1731,NY,University of Rochester Medical Center,Non-Profit,List of Counties,2019,List of Counties,Ontario,N/A,N/A,"Prevent Chronic Disease (Chronic disease preventative care and management, Tobacco prevention, Healthy eating and food security); Promote Mental Well-Being and Prevent Substance Use Disorders (Promote well-being,Prevent mental and substance use disorders)","Prevent Chronic Diseases; Promote a Healthy and Safe Environment; Promote Healthy Women, Infants and Children; Promote Well-Being and Prevent Mental and Substance Use Disorders; Prevent Communicable Diseases",https://www.rochesterregional.org/-/media/files/final-ontario-cha-chip.pdf?la=en&hash=FAEE383BF71713EEDE117C2BA8A5A0772EE8FCCD,https://www.rochesterregional.org/-/media/files/final-ontario-cha-chip.pdf?la=en&hash=FAEE383BF71713EEDE117C2BA8A5A0772EE8FCCD,"Tina.acevedo@thompshonhealth.org, 585-396-6491"
6210013,Faxton St. Luke's Healthcare,1656 Champlin Avenue,Utica,13502-4830,NY,,Non-Profit,List of Counties,2022,List of Counties,Oneida ,N/A,N/A,"Mental Health/Children Teens Social Emotional Health, Chronic Disease Preventive Care/Screenings, Substance Use/Opioids, Maternal Child Health","Mental Health/Children Teens Social Emotional Health, Chronic Disease Preventive Care/Screenings, Substance Use/Opioids, Maternal Child Health",https://www.mvhealthsystem.org/wp-content/uploads/2023/03/Oneida-County-CHA-CSP-2022-2024-FINAL-Appendices.pdf,https://www.mvhealthsystem.org/wp-content/uploads/2023/03/Oneida-County-CHA-CSP-2022-2024-FINAL-Appendices.pdf, kdrake@ocgov.net
6211600,Flushing Hospital Medical Center,4500 Parsons Boulevard,Flushing,11355-2205,NY,MediSys Health Network,Non-Profit,Combination of zip codes and places,2022,Combination,N/A,"11377, 11378, 11368, 11369, 11370, 11372, 11368, 11373, 11354, 11355, 11356, 11357, 11358, 11359, 11360","East Elmhurst, Jackson Heights, North Corona, Corona, Corona Heightd, Elmhurst, Lefrak City, Auburndale, Bay Terrace, College Point, East Flushing, Flushing, Queensboro Hill, Whitestone","Chronic diseases, obesity, tobacco use, behavioral health concerns, maternal morbidity, late or no prenatal care","Prevent Chronic Disease; Promote a Healthy and Safe Environment; Promote Healthy Women, Infants and Children; Promote Well-Being and Prevent Mental and Substance Use Disorder; Prevent Communicable Diseases",https://flushinghospital.org/docs/community/FHMC%202022-2024%20CHNA-CSP%20IP%2010.1.22.Final.pdf,https://flushinghospital.org/docs/community/FHMC%202022-2024%20CHNA-CSP%20IP%2010.1.22.Final.pdf,N/A
6212080,Four Winds Hospital,800 Cross River Road,Katonah,10536-3549,NY,,Non-Profit,,N/A unable to find,,,,,,,,,
6210057,Four Winds Hospital,30 Crescent Avenue,Saratoga Springs,12866-5142,NY,,Non-Profit,List of Counties,2022,List of Counties,"Saratoga, Warren, Washington, Schenectady",N/A,N/A,"obesity/diabetes, smoking, mental health, heart disease, COVID 19, drug use, suicide/self-harm, alcohol use","prevent chronic diseases, reduce obesity, Promote well being and prevent mental and substance abuse disorders, Prevent substance use disorders (opiods included)",https://sh-media.org/resources/filebrowser/10/Saratoga_Hospital_CSP_Submission_2022-2024.pdf,https://sh-media.org/resources/filebrowser/10/Saratoga_Hospital_CSP_Submission_2022-2024.pdf,N/A
6211650,Geneva General Hospital,196 North Street,Geneva,14456-1694,NY,Finger Lakes Health,Non-Profit,,N/A unable to find,,,,,,,,,
6211660,Glen Cove Hospital,101 St Andrews Lane,Glen Cove,11542-2254,NY,Northwell Health,Non-Profit,List of Counties,2019,List of Counties,Nassau,N/A,N/A,"Healthy eating and food security, physical activity, tobacco prevention, preventative care and management, promote well-being, prevent mental and substance use disorders","Prevent Chronic disease, Promote well-being and prevent mental and substance use disorders ",https://www.northwell.edu/sites/northwell.edu/files/2020-08/Glen-Cove-Hospital-Community-Service-Plan.pdf,https://www.northwell.edu/sites/northwell.edu/files/2020-08/Glen-Cove-Hospital-Community-Service-Plan.pdf,Communityrelations@northwell.edu
6211670,Glens Falls Hospital,100 Park Street,Glens Falls,12801-4413,NY,Albany Health System,Non-Profit,List of Counties,2019,List of Counties,"Warren, Washington, northern Saratoga Essex, Hamilton ",N/A,N/A,"Prevent Chronic Disease; Promote a Healthy and Safe Environment; Promote Healthy Women, Infants, and Children; Promote Well-Being and Prevent Mental and Substance Use Disorders; Prevent Communicable Diseases","Prevent Chronic Disease; Promote a Healthy and Safe Environment; Promote Healthy Women, Infants, and Children; Promote Well-Being and Prevent Mental and Substance Use Disorders; Prevent Communicable Diseases",https://www.glensfallshospital.org/wp-content/uploads/2019/12/GFH-CHNA-2019-2021-FINAL-with-Appendices.pdf,https://www.glensfallshospital.org/wp-content/uploads/2019/08/Health-Promotion-Center_Implementation-strategy.pdf,N/A
6215295,Good Samaritan Hospital Medical Center,1000 Montauk Highway,West Islip,11795-4927,NY,Catholic Health Services of Long Island,Non-Profit,List of Counties,2019,List of Counties,Suffolk,N/A,N/A,"Mental health, Violence, Substance use disorders, Diabetes, Cancer","Prevent Chronic disease; Promote Well-being and Prevent Mental and Substance Use Disorders; Promote a Healthy and Safe Environment; Prevent Communicable Diseases; Promote Healthy Women, Infants, and Children",https://www.chsli.org/sites/default/files/2020-02/Good%20Samaritan%20Hospital%202019.2021%20CHNA%20and%20Attachments%20A_E.pdf,N/A,N/A
