ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-Profit_Status,CHNA_Year,,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6520019,CHI Memorial,2525 De Sales Avenue,Chattanooga,37404-1161,TN,CommonSpirit Health,Unable to find,2019,List of Counties,"Hamilton, Catoosa, Walker",N/A,N/A,"Mental Health, Obesity, Access to Care and Insurance, Physical Inactivity and Lifestyle, Substance Abuse Disorder, Smoking, Chronic Disease, Resources and Education, Safety","Poverty/Jobs, Access, Obesity âHealthy Eating/Active Living, Personal Responsibility/Education, Child Health, Mental Health, Chronic Disease, Substance Abuse",https://www.memorial.org/content/dam/chi-memorial/website/documents/about-us/community-benefit/CHI_MEMORIAL_CHNA_IMPLEMENTATION_PLAN_2020_2023%20-%20TN.pdf,https://www.memorial.org/content/dam/chi-memorial/website/documents/about-us/community-benefit/CHI_MEMORIAL_CHNA_IMPLEMENTATION_PLAN_2020_2023%20-%20TN.pdf,N/A
6521222,Claiborne Medical Center,1850 Old Knoxville Road,Tazewell,37879-3625,TN,Covenant Health,Non-Profit,2020,List of Counties,Claiborne,N/A,N/A,"Mental Health, Substance Abuse Disorder, Diabetes, Obesity","Mental Health, Substance Abuse Disorder, Diabetes, Obesity",https://www.claibornemedicalcenter.com/wp-content/uploads/sites/17/2020/12/Claiborne-2020-Assessment-Final-Copy-1.pdf,https://www.claibornemedicalcenter.com/wp-content/uploads/sites/17/2021/05/Claiborne-Community-Needs-Assessment-Implementation-Plan-2021-2023.pdf,N/A
6520212,Cookeville Regional Medical Center,1 Medical Center Boulevard,Cookeville,38501-4294,TN,,Non-Profit,2018,List of Counties,"Clay, Cumberland, Fentress, Jackson, Overton, Pickett, Putnam, White",N/A,N/A,"Clinical preventive services, Maternal infant child health, Mental health, Nutritional, Physical activity and Obesity, Oral health, Reproductive and sexual health, Injury and violence, Substance abuse","Clinical preventive services, Maternal infant and child health, Mental health, Nutritional, Physical activity and Obesity, Oral health, Reproductive & sexual health, Injury & violence, Substance abuse",https://www.crmchealth.org/sites/default/files/Community_Health_Needs_18.pdf,https://www.crmchealth.org/sites/default/files/Community_Health_Needs_18.pdf,N/A
6520481,Crestwyn Behavioral Health,9485 Crestwyn Hills Cove,Memphis,38125-8515,TN,"Acadia Healthcare Company, Inc.",Unable to find,N/A unable to find,,,,,,,,,
6520215,Cumberland Medical Center,421 South Main Street,Crossville,38555-5031,TN,Covenant Health,Unable to find,2019,List of Counties,Cumberland ,N/A,N/A,"Substance Abuse, Weakening job availability/Faltering economic stability, Shifting family structure, Educational opportunities, An aging population, Physical Activity, Obesity, Access to and Affordability of Healthcare","Substance Abuse, Physical Activity, Obesity, Access to and Affordability of Healthcare",https://www.cmchealthcare.org/wp-content/uploads/sites/18/2020/01/2019-CumberlandCounty-Assessment-Final.pdf,https://www.cmchealthcare.org/wp-content/uploads/sites/18/2020/01/2019-CumberlandCounty-Assessment-Final.pdf,N/A
6520044,Curahealth Nashville,1412 County Hospital Road,Nashville,37218-3007,TN,Curahealth Hospitals,Unable to find,N/A unable to find,,,,,,,,,
6521111,Decatur County General Hospital,969 Tennessee Avenue South,Parsons,38363-3700,TN,,Unable to find,N/A unable to find,,,,,,,,,
6520805,Delta Medical Center,3000 Getwell Road,Memphis,38118-2299,TN,"Acadia Healthcare Company, Inc.",For-Profit,N/A unable to find,,,,,,,,,
6520506,East Tennessee Children's Hospital,2018 Clinch Avenue,Knoxville,37916-2393,TN,,Non-Profit,2022,List of Counties,"Knox, Blount, Sevier, Jefferson, Anderson, Scott, Campbell, Claiborne, Morgan, Union, Grainger, Hamblen, Cocke, Monroe, Roane, Loudon",N/A,N/A,"Childhood Obesity, Mental & Behavioral Health, Injury prevention, Neonatal Abstinence Syndrome","Mental and Behavioral Health, Nutrition and Substance abuse, Healthcare access",https://www.etch.com/app/files/public/59268ebb-bd6c-4da4-9dad-2a1b8d6c13d7/Documents/Community-Health-Needs-Assessment-2022.pdf,https://www.etch.com/app/files/public/59268ebb-bd6c-4da4-9dad-2a1b8d6c13d7/Documents/Community-Health-Needs-Assessment-2022.pdf,lcoxcollier@etch.com
6529045,Encompass Health Rehabilitation Hospital of Chattanooga,2412 McCallie Avenue,Chattanooga,37404-3398,TN,Encompass Health Corporation,Unable to find,N/A unable to find,,,,,,,,,
6520482,Encompass Health Rehabilitation Hospital of Franklin,1000 Physicians Way,Franklin,37067-1471,TN,Encompass Health Corporation,Non-Profit,N/A unable to find,,,,,,,,,
6520011,Encompass Health Rehabilitation Hospital of Kingsport,113 Cassel Drive,Kingsport,37660-3775,TN,Encompass Health Corporation,Non-Profit,N/A unable to find,,,,,,,,,
6520014,Encompass Health Rehabilitation Hospital of Memphis,1282 Union Avenue,Memphis,38104-3414,TN,Encompass Health Corporation,For-Profit,N/A unable to find,,,,,,,,,
6520037,Encompass Health Rehabilitation Hospital of North Memphis,4100 Austin Peay Highway,Memphis,38128-2502,TN,Encompass Health Corporation,Non-Profit,N/A unable to find, ,,,,,,,,
6521116,Erlanger Bledsoe Hospital,71 Wheeler Avenue,Pikeville,37367,TN,Erlanger Health System,Non-Profit,2022,List of Counties,"Bledsoe, Sequatchie ",N/A,N/A,"Access to healthcare, Care coordination, Mental health, Vaping/ tobacco use, Transportation, Nutrition","Expand Access to Behavioral Health Care, Expand Access to Primary Care and Specialty Care, Care Coordination, Healthcare Literacy",https://www.erlanger.org/media/file/CHNA/2022/_EBH-Final-05-CHNA-2022.pdf,N/A,N/A
6520065,Erlanger Medical Center,975 East Third Street,Chattanooga,37403-2147,TN,Erlanger Health System,Non-Profit,2022,List of Counties,"Hamilton, Bradley, Marion, Grundy, Sequatchie, Bledsoe, Rhea, Meigs, McMinn, Polk",N/A,N/A,"Mental health, Access to care, Homelessess, Food, Nutrition","Access to to Behavioral Health, Access to Primary Care and Specialty Care, Care Coordination, Healthcare Literacy",https://www.erlanger.org/media/file/CHNA/2022/_EMC-Final-05-CHNA-2022.pdf,N/A,N/A
6520650,Fort Loudoun Medical Center,550 Fort Loudoun Medical Center Drive,Lenoir City,37772-5673,TN,Covenant Health,Unable to find,2020,Combination of counties and places,Loudon,N/A,Lenoir,"Chronic disease management, Mental health, Substance abuse , COVID-19, Tobacco, Homelessness, Non-English speaking residents","Substance Abuse Disorder, Chronic Disease Management, Mental Health, Tobacco",https://www.ftloudoun.com/wp-content/uploads/sites/6/2020/12/Loudon-2020-Assessment-final-file-.pdf,https://www.ftloudoun.com/wp-content/uploads/sites/6/2021/05/Fort-Loudoun-Implementation-Plan-2021-2023.pdf,N/A
6520510,Fort Sanders Regional Medical Center,1901 West Clinch Avenue,Knoxville,37916-2307,TN,Covenant Health,Non-Profit,2021,List of Counties,Knox ,N/A,N/A,"Mental Health, Substance Abuse, Obesity","Access to Health Care, Active and Healthy Living, Chronic Disease, Environmental Health, Infectious Disease, Injury and Violence, Maternal and Child Health, Mental Health, Sexual Health, Substance Use and Misuse",https://www.fsregional.com/wp-content/uploads/sites/3/2020/12/FSRMC-2020-Assessment-Final-file-.pdf,https://www.fsregional.com/wp-content/uploads/sites/3/2021/05/Fort-Sanders-Regional-Medical-Center-Implementation-Plan-2021-2023.pdf,N/A
6520485,Franklin Woods Community Hospital,300 MedTech Parkway,Johnson City,37604-2277,TN,Ballad Health,Non-Profit,2021,List of Counties,"Wasington, E Sullivan, Unicoi, Carter, Greene ",N/A,N/A,"Substance abuse, Mental health, Adverse childhood experineces ","substance abuse, mental health, adverse childhood experiences ",https://www.balladhealth.org/sites/default/files/FWCH_Community_Health_Needs_Assessment_2021.pdf,N/A,N/A
6520320,Greeneville Community Hospital East,1420 Tusculum Boulevard,Greeneville,37745-5825,TN,Ballad Health,Non-Profit,2021,List of Counties,Greene  ,N/A,N/A,"Substance abuse, Mental health, Food insecurity ","substance abuse, mental health, food insecurity",https://www.balladhealth.org/sites/default/files/Greene_County_Community_Health_Needs_Assessment_2021.pdf,N/A,N/A
6520340,Greeneville Community Hospital West,401 Takoma Avenue,Greeneville,37743-4647,TN,Ballad Health,Unable to find,N/A unable to find,,,,,,,,,
6520042,Hancock County Hospital,1519 Main Street,Sneedville,37869-3657,TN,Ballad Health,Unable to find,2021,List of Counties,Hancock ,N/A,N/A,"Substance abuse, housing, chronic disease, discrimination, transportation, education, mental helth, food insecurity/lack of proper nutrition, adverse childhood experiences (ACEs), access to care","Education, mental health, adverse childhood experiences (ACEs)",https://www.balladhealth.org/sites/default/files/2021-12/Hancock_County_Community_Health_Needs_Assessment_2021.pdf,https://www.balladhealth.org/sites/default/files/2021-12/Hancock_County_Community_Health_Needs_Assessment_2021.pdf,N/A
6521165,Hardin Medical Center,935 Wayne Road,Savannah,38372-1904,TN,,Unable to find,2013,Combination of counties and places,Hardin ,N/A,"Adamsville, Counce, Crump, Morris Chapel, Saltillo, Savannah, Clifton, Olive Hill","Cancer, heart conditions, alcohol & drug abuse, diabetes, high blood pressure, obesity","Cancer, heart conditions, high blood pressure, diabetes",https://www.hardinmedicalcenter.org/sites/www/Uploads/files/Downloads/CNAfinal2013.pdf,https://www.hardinmedicalcenter.org/sites/www/Uploads/files/Downloads/CNAfinal2013.pdf,N/A
6521158,Hawkins County Memorial Hospital,851 Locust Street,Rogersville,37857-2407,TN,Ballad Health,Non-Profit,2021,List of Counties,Hawkins ,N/A,N/A,"Substance Abuse, Mental Health, ACEs (Adverse Childhood Experiences)","Substance Abuse, Mental Health, ACEs (Adverse Childhood Experiences)",https://www.balladhealth.org/sites/default/files/Hawkins_County_Community_Health_Needs_Assessment_2021.pdf,https://www.balladhealth.org/sites/default/files/Hawkins_County_Community_Health_Needs_Assessment_2021.pdf,N/A
6520647,Henderson County Community Hospital,200 West Church Street,Lexington,38351-2038,TN,Quorum Health,Unable to find,N/A unable to find,,,,,,,,,
6521095,Henry County Medical Center,301 Tyson Avenue,Paris,38242-4544,TN,,Unable to find,2021,List of Counties,Henry ,N/A,N/A,"mental health, alcoholism, substance abuse obesity ","mental health, alcoholism, substance abuse obesity",https://henrycomed.wpenginepowered.com/wp-content/uploads/2021/06/HCMC-2021-Communty-Health-Status-Report-.pdf,N/A,N/A
6520470,Holston Valley Medical Center,130 West Ravine Street,Kingsport,37660-3837,TN,Ballad Health,Unable to find,2021,List of Counties,"Western Sullivan, Hawkins",N/A,N/A,"Transportation, Mental Health, Substance Abuse, Children/Youth, Housing, Food Insecurity
","Mental Health, Chronic Disease, Substance Abuse, Access to Care
",https://www.balladhealth.org/sites/default/files/HVMC_Community_Health_Needs_Assessment_2021.pdf,N/A,N/A
6529061,Houston County Community Hospital,5001 East Main Street,Erin,37061-4115,TN,,Unable to find,N/A unable to find,,,,,,,,,
6520016,Indian Path Medical Center,2000 Brookside Drive,Kingsport,37660-4627,TN,Ballad Health,Non-Profit,2021,List of Counties,"Western Sullivan, Hawkins",N/A,N/A,"Substance Abuse, Chronic Disease, Mental Health, Access to Care, Transportation, Food Insecurity, Housing, Education","Substance abuse, mental health, transportation",https://www.balladhealth.org/sites/default/files/IPCH_Community_Health_Needs_Assessment_2021.pdf,https://www.balladhealth.org/sites/default/files/IPCH_Community_Health_Needs_Assessment_2021.pdf,N/A
6524010,Jackson-Madison County General Hospital,620 Skyline Drive,Jackson,38301-3923,TN,West Tennessee Healthcare,Non-Profit,2021,Combination of counties and places,Madison ,N/A,Jackson,"Depression; Domestic Violence/Anger Management; Co-Occurring Mental Health & Substance Abuse; Alcohol, Drug, and Prescription Drug Abuse (emphasis on Opioid Crisis); Suicide","COVID-19, Chronic Health Conditions, Obesity, Mental Health and Substance Abuse Issues",https://www.wth.org/wp-content/uploads/2021/10/MadisonCHNA_2021.pdf,N/A,"Dr. Victoria (Vicki) S. Lake, Director Community Development at West TN Healthcare"
6520910,James H. Quillen Veterans Affairs Medical Center,Corner of Lamont & Veterans Way,Mountain Home,37684,TN,Department of Veterans Affairs,Public,N/A unable to find,,,,,,,,,
6520445,Jellico Community Hospital,188 Hospital Lane,Jellico,37762-4400,TN,Community Hospital Corporation,Unable to find,N/A unable to find,,,,,,,,,
6520466,Johnson City Medical Center,400 North State of Franklin Road,Johnson City,37604-6094,TN,Ballad Health,Non-Profit,2021,List of Counties,"Washington, Sullivan, Unicoi, Carter, Greene, Johnson ",N/A,N/A,"General Acute Medical Care, Advanced and Specialized Intensive Care Units, Heart Care, Vascular Care, Regional Cancer Center, Advanced Certified Comprehensive Stroke Center, Neuroendovascular Services, Orthopedic Services, Surgical Services, Bariatric Weight Loss Surgery, Family Birth Center, Level 1 Trauma Center, Womenâ€™s Health and Imaging Center, Outpatient Imaging Center, Behavioral Health at Woodridge","Substance abuse, Mental Health, ACEs",https://www.balladhealth.org/sites/default/files/JCMC_Community_Health_Needs_Assessment_2021.pdf,N/A,N/A
6520023,Johnson County Community Hospital,1901 South Shady Street,Mountain City,37683-2271,TN,Ballad Health,Non-Profit,2021,List of Counties,Johnson,N/A,N/A,"Substance abuse, Mental Health, ACEs","Substance abuse, Mental Health, ACEs",https://www.balladhealth.org/sites/default/files/JCCH_Community_Health_Needs_Assessment_2021.pdf,https://www.balladhealth.org/sites/default/files/JCCH_Community_Health_Needs_Assessment_2021.pdf,N/A
6520095,Kindred Hospital-Chattanooga,709 Walnut Street,Chattanooga,37402-1916,TN,Kindred Healthcare,Unable to find,N/A unable to find,,,,,,,,,
6520690,Lakeside Behavioral Health System,2911 Brunswick Road,Memphis,38133-4199,TN,"Universal Health Services, Inc.",Unable to find,N/A unable to find,,,,,,,,,
6521170,LeConte Medical Center,742 Middle Creek Road,Sevierville,37862-5019,TN,Covenant Health,Unable to find,2020,List of Counties,Sevier ,N/A,N/A,"Mental Health, Adult and Childhood Obesity, Substance Abuse, Health Education","Mental Health, Adult and Childhood Obesity, Health Education, Substance Abuse",https://www.lecontemedicalcenter.com/wp-content/uploads/sites/2/2020/12/LeConte-2020-Assessment-Final-Copy-.pdf,https://www.lecontemedicalcenter.com/wp-content/uploads/sites/2/2021/05/LeConte-Community-Needs-Assessment-Implementation-Strategy-2021-2023-4-26.pdf,N/A
6520280,Lincoln County Health System,106 Medical Center Boulevard,Fayetteville,37334-2684,TN,,Unable to find,2017,"Combination of counties, zip codes, and places",Lincoln ,"37334, 37144, 37335, 38488, 37328, 37348, 37359, 38459, 38453","Fayetteville, Petersburg, Flintville, Taft, Elora, Kelso, Mulberry, Frankewing, Dellrose","Obesity, Substance Abuse, Chronic Disease (Heart Disease and Diabetes), Tobacco, Teen Pregnancy, Access to Healthcare, Mental Health","Obesity, Substance Abuse, Chronic Disease (Heart Disease and Diabetes), Tobacco",https://lincolnhealthsystem.com/content/uploads/2017/10/FINAL-VERSION-CHNA-2017.docx.pdf,https://lincolnhealthsystem.com/content/uploads/2017/10/FINAL-VERSION-CHNA-2017.docx.pdf,N/A
6520648,Livingston Regional Hospital,315 Oak Street,Livingston,38570-1728,TN,LifePoint Health,Unable to find,N/A unable to find,,,,,,,,,
6520576,Macon Community Hospital,204 Medical Drive,Lafayette,37083-1799,TN,QHR,Non-Profit,2018,Combination of counties and zip codes,Macon,"37083, 37057, 37150, 37186",N/A,"Healthy lifestyle promotion and education, Heart Disease, Accessibility/Affordability, Cancer, Mental Health, Diabetes","Healthy lifestyle promotion and education, Heart Disease, Accessibility/Affordability, Cancer, Mental Health, Diabetes",http://mcgh.net/wp-content/uploads/2020/01/09.13.18-CHNA-Implementation-Report-FINAL-Macon-Community-Hospital-ADA-Coded.pdf, http://mcgh.net/wp-content/uploads/2020/01/09.13.18-CHNA-Implementation-Report-FINAL-Macon-Community-Hospital-ADA-Coded.pdf,N/A
6520625,Marshall Medical Center,1080 North Ellington Parkway,Lewisburg,37091-2227,TN,Maury Regional Health System,Non-Profit,2019,List of Counties,"Maury, Marshall, Giles, Lawrence, Lewis",N/A,N/A,"Opioid crisis, mental health, behavioral health, heart disease, diabetes, access to health care, lack of economic opportunities, education","Opioid crisis, mental health, behavioral health, heart disease, diabetes, access to health care, lack of economic opportunities, education",https://www.mauryregional.com/media/file/MMC%20IS%202019-2021.pdf,https://www.mauryregional.com/media/file/MMC%20IS%202019-2021.pdf,N/A
6520209,Maury Regional Hospital,1224 Trotwood Avenue,Columbia,38401-4802,TN,Maury Regional Health System,Non-Profit,2019,List of Counties,"Maury, Marshall, Wayne, Lewis ",N/A,N/A,"Exercise, Nutrition and Weight, Mental Health, Substance Abuse, Access to Health Services","Exercise and Nutrition, Mental and Behavioral Health, Opioid Crisis, Hypertension and Diabetes",https://www.mauryregional.com/media/file/2019%20MRMC%20CHNA.pdf,https://www.mauryregional.com/media/file/MRMC%20IS%202019-2021.pdf,N/A
6520830,Memphis Mental Health Institute,951 Court Ave,Memphis,38103-2813,TN,,Unable to find,N/A unable to find,,,,,,,,,
6520770,Memphis Veterans Affairs Medical Center,1030 Jefferson Avenue,Memphis,38104-2193,TN,Department of Veterans Affairs,Public,N/A unable to find,,,,,,,,,
6520785,Methodist Healthcare Memphis Hospitals,1265 Union Avenue,Memphis,38104-3415,TN,Methodist Le Bonheur Healthcare,Non-Profit,2019,List of Counties,"Shelby, DeSoto, Mississippi",N/A,N/A,"Maternal, infant, and child health; cardiovascular disease and stroke; cancer; access to health services","Maternal, infant, and child health; cardiovascular disease and stroke; cancer; access to health services",https://www.methodisthealth.org/files/CHNA_2019.pdf,N/A,N/A
6521080,Methodist Medical Center of Oak Ridge,990 Oak Ridge Turnpike,Oak Ridge,37830-6976,TN,Covenant Health,Non-Profit,2019,List of Counties,Anderson,N/A,N/A,"Obesity, Asthma and other polmonary disease, Diabetes, Substance abuse, Mental Health","Substance abuse, mental health, toxic stress, tobacco vaping, lack of Physical Activity, Obesity",https://www.mmcoakridge.com/wp-content/uploads/sites/14/2016/03/Methodist-HNA-Final.pdf,https://www.mmcoakridge.com/wp-content/uploads/sites/14/2019/12/2019-ANDERSON-COUNTY-ASSESSMENT-PDF-FINAL-pdf.pdf,N/A
6520940,Middle Tennessee Mental Health Institute,221 Stewarts Ferry Pike,Nashville,37214-3325,TN,,Unable to find,N/A unable to find,,,,,,,,,
6520885,Milan General Hospital,4039 Highland Street,Milan,38358-3483,TN,West Tennessee Healthcare,Non-Profit,2021,Combination of counties and places,Gibson ,N/A,"Bradford, Dyer, Gibson, Humboldt, Kenton, Medina, Milan, Rutherford, Trenton, Yorkville","Depression, Domestic violence, Substance abuse, Obesity","Covid-19, Chronic Health Conditions, Obesity, Mental Health, Susbtance Abuse Issues",https://www.wth.org/wp-content/uploads/2021/10/GibsonCHNA_2021.pdf,N/A,N/A
6520107,Moccasin Bend Mental Health Institute,100 Moccasin Bend Road,Chattanooga,37405-4415,TN,,Unable to find,N/A unable to find,,,,,,,,,
6520895,Morristown-Hamblen Healthcare System,908 West Fourth North Street,Morristown,37814-3894,TN,Covenant Health,Non-Profit,2019,List of Counties,Hamblen ,N/A,N/A,"Obesity, Tobacco, Vaping, Substance Abuse Disorder, Access to mental health services, health literacy, cancer","Health Literacy, Substance Abuse Disorder, Obesity, Access to Mental Health Services, Tobacco, Vaping, Cancer",https://www.morristownhamblen.com/wp-content/uploads/sites/9/2019/12/2019-HAMBLEN-COUNTY-ASSESSMENT-FINAL-PDF.pdf,https://www.morristownhamblen.com/wp-content/uploads/sites/9/2019/12/2019-HAMBLEN-COUNTY-ASSESSMENT-FINAL-PDF.pdf,N/A
6521010,Nashville General Hospital,1818 Albion Street,Nashville,37208-2918,TN,,Unable to find,N/A unable to find,,,,,,,,,
6521210,Northcrest Medical Center,100 North Crest Drive,Springfield,37172-3961,TN,TriStar Health System,Non-Profit,N/A unable to find,,,,,,,,,
6520015,Parkridge Medical Center,2333 McCallie Avenue,Chattanooga,37404-3258,TN,HCA Healthcare,Unable to find,N/A unable to find,,,,,,,,,
6520530,Parkwest Medical Center,9352 Park West Boulevard,Knoxville,37923-4325,TN,Covenant Health,Non-Profit,2020,List of Counties,Knox ,N/A,N/A,"Access to Care, Active and Healthy Living, Chronic Disease, Environmental Health, Infectious Disease, Injury and Violence, Maternal and Child Health, Mental Health, Sexual Health, Substance Use and Misuse","Mental health, Substance abuse, Obesity",https://www.treatedwell.com/wp-content/uploads/sites/12/2020/12/Parkwest-2020-Assessment-final-file-.pdf,https://www.treatedwell.com/wp-content/uploads/sites/12/2021/05/Parkwest-Implementation-Plan-2021-2023.pdf,NA
6520405,Pathways of Tennessee,238 Summar Drive,Jackson,38301-3906,TN,West Tennessee Healthcare,Non-Profit,2021,List of Counties,"Dyer, Gibson, Haywood, Henderson, Lake, Madison, Obion, Tennessee ",N/A,N/A,"Allergies, High Blood Pressure, Arthritis, Stress, Chronic Pain, Diabetes, Eye Conditions, Asthma, Hearing Loss, Heart Conditions, Bullying, Autoimmune Disease, Fall Injuries, Osteoporosis, COPD, Stroke, Dementia/Alzheimers   ","Depression, Domestic Violence, Mental Health, Drug Abuse, Suicide",https://www.wth.org/wp-content/uploads/2021/10/PathwaysCHNA_2021.pdf,https://www.wth.org/wp-content/uploads/2021/10/PathwaysCHNA_2021.pdf,NA
6520649,Perry Community Hospital,2718 Squirrel Hollow Drive,Linden,37096-3526,TN,,Unable to find,N/A unable to find,,,,,,,,,
6520009,Quillen Rehabilitation Hospital,2511 Wesley Street,Johnson City,37601-1723,TN,Encompass Health Corporation,Non-Profit,N/A unable to find,,,,,,,,,
6520695,Regional One Health,877 Jefferson Avenue,Memphis,38103-2897,TN,,Non-Profit,2022,List of Counties,Shelby ,N/A,N/A,"Access to Health and Supportive Services, Affordable Housing, Income and Poverty, Community-wide Collaboration, Disease and Accident Prevention, Maternal and Child Health, Mental and Behavioral Health, Mortality and Chronic Disease Management, Overweight and Obesity","Community-wide Collaboration, Access to Health and Supportive Services, Mortality and Chronic Disease Management, Maternal and Child Health 
",https://www.regionalonehealth.org/wp-content/uploads/2022/09/Regional-One-Health-2022-CHNA-Final-Summary-Report-FINAL.pdf?x66367,https://www.regionalonehealth.org/wp-content/uploads/2022/09/Regional-One-Health-2022-CHNA-Final-Summary-Report-FINAL.pdf?x66367,N/A
6529208,Regional One Health Extended Care Hospital,"890 Madison Avenue, Turner Tower",Memphis,38103-3409,TN,,Unable to find,N/A unable to find,,,,,,,,,
