ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-Profit_Status,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact,,
6910012,Confluence Health/Wenatchee Valley Hospital,820 North Chelan Avenue,Wenatchee,98801-2028,WA,,Unable to Find,2019,List of Counties,"Chelan, Douglas, Grant, Okanogan",N/A,N/A,"Chronic Disease, Access to Care, Education, Substance Use, Affordable Housing","Behavioral/mental health care coordination/coordinated care, employment, health care, healthy living",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwjuw82T2bP5AhUHBbkGHSAdCucQFnoECAQQAQ&url=https%3A%2F%2Fwww.confluencehealth.org%2Fdocuments%2F2019-CHNA-Full-Report-CWH.pdf&usg=AOvVaw0BXW2ghJIwt_Y-bHCg2P1c,N/A,N/A,,
6910295,Coulee Medical Center,411 Fortuyn Road,Grand Coulee,99133-8718,WA,,Non-Profit,2021,Combination of counties and zip codes,"Douglas, Grant, Lincoln, Okanogan","99133, 99116, 99155, 99124, 99123, 99103, 99135",N/A,"Chronic Disease Prevention, Management and Education to Support Healthy Living, Behavioral Health, Elderly Care, Aging in Place, Health Equity, Child and Family Wellness, Affordable Housing, Access to Care",N/A,https://cmccares.org/about-cmc/community-health-needs-assessment/,https://cmccares.org/about-cmc/community-health-needs-assessment/,N/A,,
6910540,East Adams Rural Healthcare,903 South Adams Street,Ritzville,99169-2298,WA,,Non-Profit,2020,List of Counties,Adams,N/A,N/A,"Healthcare Access, Quality, Utilization; Health Behaviors; Social Determinants of Health",N/A,https://www.earh.org/patient-information/critical-hospital-needs-assessments/,N/A,N/A,,
6910390,Eastern State Hospital,Maple Street,Medical Lake,99022-0045,WA,,Public,N/A unable to find,,,,,,,,,,,
6910335,EvergreenHealth,12040 NE 128th Street,Kirkland,98034-3013,WA,,Public,2021,List of Counties,King,N/A,N/A,"housing access and quality, access to healthcare and other services, support for youth and families, community growth and development","mental health & substance use disorders, access to healthcare, chronic disease management, food insecurity",https://kingcounty.gov/depts/health/data/community-health-indicators/~/media/depts/health/data/documents/2021-2022-Joint-CHNA-Report.ashx,N/A,N/A,,
6910400,EvergreenHealth Monroe,14701 179th SE,Monroe,98272-1108,WA,,Public,2021,List of Counties,King,N/A,N/A,"housing access and quality, access to healthcare and other services, support for youth and families, community growth and development","mental health & substance use disorders, access to healthcare, chronic disease management, food insecurity",https://kingcounty.gov/depts/health/data/community-health-indicators/~/media/depts/health/data/documents/2021-2022-Joint-CHNA-Report.ashx,N/A,N/A,,
6910330,Fairfax Behavioral Health,10200 NE 132nd Street,Kirkland,98034-2899,WA,"Universal Health Services, Inc.",Unable to Find,N/A unable to find,,,,,,,,,,,
6910525,Ferry County Memorial Hospital,36 Klondike Road,Republic,99166-9701,WA,,Unable to Find,2018,List of Counties,Ferry,N/A,N/A,"Child immunization, diabetes, drug and allcohol abuse, health care access, healthy weight, housing and homelessness, mental health, tobacco use","Child immunization, diabetes, drug and alcohol abuse, health care access, healthy weight, housing and homelessness, mental health tobacco use",https://doh.wa.gov/sites/default/files/legacy/Documents/1000//2018SHA_FullReport.pdf?uid=62eaf914e534e,N/A,N/A,,
6910305,Forks Community Hospital,530 Bogachiel Way,Forks,98331-9120,WA,,Unable to Find,N/A unable to find,,,,,,,,,,,
6910470,Garfield County Public Hospital District,66 North 6th Street,Pomeroy,99347-9705,WA,,Unable to Find,N/A unable to find,,,,,,,,,,,
6910005,Grays Harbor Community Hospital,915 Anderson Drive,Aberdeen,98520-1006,WA,CommonSpirit Health,Non-Profit,N/A unable to find,,,,,,,,,,,
6910115,Harrison Medical Center,2520 Cherry Avenue,Bremerton,98310-4229,WA,CommonSpirit Health,Non-Profit,2020,"Combination of counties, zip codes, and places","Bainbridge Island, Bremerton, Kitsap","98110, 98310, 98311, 98312, 98314, 98337, 98311, 98312, 98337, 98353, 98359, 98310, 98311, 98332, 98337, 98340, 98342, 98345, 98001, 98002, 98003, 98023, 98030, 98031, 98032, 98035, 98038","Bremerton, Washington","Affordable Housing, Health Care Access, Obesity/Health Eating/Active Living, Substance Use, Well-Being","Affordable Housing, Health Care Access, Obesity/Health Eating/Active Living, Substance Use, Well-Being",https://www.vmfh.org/content/dam/vmfhorg/pdf/legacy-chi/website-files/about-us/community-health-needs-assessment/HarrisonCHNA2020.06.08.pdf,https://www.vmfh.org/content/dam/vmfhorg/pdf/legacy-chi/website-files/about-us/community-health-needs-assessment/HarrisonCHNA2020.06.08.pdf,N/A,,
6910003,Highline Medical Center,16251 Sylvester Road SW,Burien,98166-3052,WA,CommonSpirit Health,Non-Profit,2019,"Combination of counties, zip codes, and places",King,"98001, 98288","Burien, Washington","Mental health and substance use disorders, Access to care and transportation, Physical health, Housing and homelessness","Mental health and substance use disorders, Access to care and transportation, Physical health, Housing and homelessness",https://www.vmfh.org/content/dam/vmfhorg/pdf/legacy-chi/website-files/about-us/community-health-needs-assessment/HiMC_CHNA2019.06.20.pdf,https://www.vmfh.org/content/dam/vmfhorg/pdf/legacy-chi/website-files/about-us/community-health-needs-assessment/HiMC_CHNA2019.06.20.pdf,N/A,,
6910035,Island Hospital,1211 24th Street,Anacortes,98221-2562,WA,,Public,2019,Combination of zip codes and places,N/A,"98221, 98232, 98233, 98239, 98245, 98250, 98257, 98261, 98273, 98277, 98279, 98280 ",Anacortes City ,"Behavioral Health, Access to Health Care ","Behavioral Health, Access to Health Care ",https://www.islandhospital.org/wp-content/uploads/Final-2019-Community-Health-Needs-Assessment-Report.pdf,https://www.islandhospital.org/wp-content/uploads/Final-2019-Community-Health-Needs-Assessment-Report.pdf,N/A,,
6910490,Jefferson Healthcare,834 Sheridan Street,Port Townsend,98368-2443,WA,,Unable to Find,N/A unable to find,,,,,,,,,,,
6910530,Kadlec Regional Medical Center,888 Swift Boulevard,Richland,99352-3514,WA,Providence St. Joseph Health,Unable to Find,2022,List of Counties,"Benton, Franklin",N/A,N/A,"Behavior Health, Access to Health Care, Social Determinants of Health","Improve Access to Health Care/Health Equity, Reduce Obesity, promote healthy weight, Mental Health",https://www.providence.org/-/media/project/psjh/providence/socal/files/about/community-benefit/pdfs/2022/2022-chna-kadlec.pdf?la=en&rev=31f75583a92c40b3bee47f59b59a0d8c&hash=17EFE94CB0EABEF4E854A0FCE5C333EF,N/A,N/A,,
6910605,Kaiser Permanente Capitol Hill Campus,201 16th Avenue East,Seattle,98112-5226,WA,,Non-Profit,2022,List of Counties,"Whatcom, Skagit, Snohomish, East King, South King, Seattle, Tahoma, Kitsap, Thurston, Spokane",n/a,n/a,"Access to care, Mental & Behavioral Health, Housing, Structural Racism, Income & employment, Food Insecurity","Access to care, Mental & Behavioral Health, Housing, Structural Racism, Income & employment, Food Insecurity",https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/washington-chna-2022.pdf,https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/washington-is-2022.pdf,CHNA-communications@kp.org,,
6910802,Kindred Hospital Seattle-Northgate,10631 8th Avenue NE,Seattle,98125-7213,WA,Kindred Healthcare,For-Profit,N/A unable to find,,,,,,,,,,,
6910235,Kittitas Valley Healthcare,603 South Chestnut Street,Ellensburg,98926-3875,WA,,Non-Profit,2021,Combination of counties and places,Kittitas,n/a,"Hyak, Easton, Ronald, Roslyn, Cle Elum, South Cle Elum, Liberty, Yirden, Teanaway, Ellensburg, Thorp, Thrall, Kittitas, Yantage, Wyner ","Health Outcomes, Health Behaviors, Access to Care, Social and Economic Factors, Physical Environment, Health Equity, COVID-19","Health Outcomes, Health Behaviors, Access to Care, Social and Economic Factors, Physical Environment, Health Equity, COVID-19",https://www.kvhealthcare.org/wp-content/uploads/2022/01/2022-Communty_Health_Assessment_CHIP_Final.pdf,https://www.kvhealthcare.org/wp-content/uploads/2022/01/2022-Communty_Health_Assessment_CHIP_Final.pdf,n/a,,
6910315,Klickitat Valley Health,310 South Roosevelt Avenue,Goldendale,98620-9201,WA,,Non-Profit,2019,List of Counties,"Skamania, Klickitat",N/A,N/A,"Housing, Transportation and Mobility, Children & Youth Safety, Food, Equitable health care services, Equitable physical activity, Social connection & communication","Access to Equitable Health Care Services, Mental Health and Substance use disorders, Social Determinants of Health",https://kvhealth.net/images/Final-CHA-December-10-2019-Full-Document.pdf,https://kvhealth.net/images/KVH_Community_Health_Improvement_Plan.pdf,N/A,,
6910140,Lake Chelan Community Hospital and Clinics,503 East Highland Avenue,Chelan,98816-8631,WA,,Non-Profit,2022,Combination of zip codes and places,N/A,"98816, 98817, 98831, 98852 ","Chelan, Chelan Falls, Manson, Stehekin","Access to care, Behavioral health services, Recruitment and retention of a quality workforce, Support for our seniors to safely age in place","Access to care, Behavioral health services, Recruitment and retention of a quality workforce, Support for our seniors to safely age in place",https://lakechelanhealth.org/wp-content/uploads/2022/12/Lake-Chelan-Health-CHNA-FINAL-CHNA.pdf,https://lakechelanhealth.org/wp-content/uploads/2023/04/2023-2025-CHNA-IMPLEMENTATION-PLAN-FINAL.pdf,N/A,,
6910013,Legacy Salmon Creek Medical Center,2211 NE 139th Street,Vancouver,98686-2742,WA,Legacy Health,Non-Profit,2021,List of Counties,"Clark, Washington, Clackamas, Multnomah",N/A,N/A,"Discrimination and racism, Trauma, Behavioral health, Chronic conditions, Sexually transmitted infections, Access to health care, transportation and resources, Community representation, Culturally responsive care, Isolation","Chronic conditions, access to health care",https://www.legacyhealth.org/-/media/Files/PDF/giving-and-support/Community-Benefit/FY-21-23-Salmon-Creek-CHNA.pdf,https://www.legacyhealth.org/-/media/Files/PDF/giving-and-support/Community-Benefit/CHIPs/Legacy-Salmon-Creek-CHIP-FY21-23-FINAL-3-w-links.pdf,CommunityBenefit@lhs.org,,
6910215,Lincoln Hospital,10 Nicholls Street,Davenport,99122-9729,WA,,Non-Profit,2019,Combination of counties and zip codes,"Lincoln City, Otis, Neotsu, Tillamook"," 99122, 99115",N/A,"access to healthy food, incidents of child abuse/neglect, poverty, transportation, teen pregnancy prevention, sexually transmitted disease, affordable child care and equitable services for marginalized community members","Housing/homelessness, Child abuse/neglect, Poverty, Food insecurity",N/A,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiOqcWTp735AhUZlGoFHU-8ASoQFnoECAIQAQ&url=https%3A%2F%2Fdoh.wa.gov%2Fdata-statistical-reports%2Fhealthcare-washington%2Fhospital-and-patient-data%2Fhospital-community-health-needs-assessment-and-community-health-improvement-services-addendum&usg=AOvVaw3kQFldppEGEcUl_H0fw63K,N/A,,
6910515,Lourdes Counseling Center,1175 Carondelet Drive,Richland,99354-3300,WA,LifePoint Health,Unable to Find,N/A unable to find,,,,,,,,,,,
6910460,Lourdes Medical Center,520 North Fourth Avenue,Pasco,99301-5257,WA,LifePoint Health,Non-Profit,2021,Combination of counties and zip codes,"Benton, Franklin "," 99301, 99302, 99338",N/A,"Obesity, mental health, access to care","Obesity, access to care, behavioral health, mental health",https://www.yourlourdes.com/sites/lourdes/assets/uploads/2016-community-health-needs-assessment.pdf,N/A,N/A,,
6911030,Madigan Army Medical Center,"Fitzsimmons Drive, Building 9040",Tacoma,98431-1100,WA,"Department of the Army, Office of the Surgeon General",Public,N/A unable to find,,,,,,,,,,,
6911005,Mann-Grandstaff Veterans Affairs Medical Center,4815 North Assembly Street,Spokane,99205-6197,WA,Department of Veterans Affairs,Public,N/A unable to find,,,,,,,,,,,
6910830,Mason General Hospital and Family of Clinics,901 Mountain View Drive,Shelton,98584-4401,WA,,Public,2022,List of Counties,Mason,N/A,N/A,"Improve access to and reduce wait times for behavioral health services for District residents, Prevent disease, detect health problems early and provide education to support good health related decisions and reduce the risk of injury, Realize a healthier environment and opportunities for the Districtâ children, youth and families","Improve access to and reduce wait times for behavioral health services for District residents, Prevent disease, detect health problems early and provide education to support good health related decisions and reduce the risk of injury, Realize a healthier environment and opportunities for the Districtâ children, youth and families",https://www.masongeneral.com/media/bohc/Mason-General_2022-CHNA_FINAL.pdf,https://www.masongeneral.com/media/bohc/Mason-General_2022-CHNA_FINAL.pdf,N/A,,
6910050,MultiCare Auburn Medical Center,"202 North Division, Plaza One",Auburn,98001-4908,WA,MultiCare Health System,Unable to Find,2019,Combination of zip codes and places,N/A,"98001, 98002, 98003, 98030, 98031, 98032, 98042, 98047, 98092, 98198, 98391","Auburn, Bonney Lake, Des Moines, Federal Way, Kent","Access to health care, behavioral health, physical health, diabetes, obesity, hypertension, childhood immunizations","Access to care and transportation, mental health and substance abuse disorders, physical health, obesity, cancer, housing and homelessness",https://www.multicare.org/wp-content/uploads/2021/05/2019-Auburn-CHNA-Implementation-Strategy.pdf,https://www.multicare.org/wp-content/uploads/2021/05/2019-Auburn-CHNA-Implementation-Strategy.pdf,N/A,,
6910880,MultiCare Deaconess Hospital,800 West Fifth Avenue,Spokane,99204-2803,WA,MultiCare Health System,Unable to Find,2019,List of Counties,Spokane,N/A,N/A,"Intentional injury, Mental health, Oral health care, Poverty, Smoking, Suicide","Intentional injury, Mental health, Oral health care, Poverty, Smoking, Suicide",https://www.multicare.org/wp-content/uploads/2021/05/2019-Deaconess-CHNA-Report.pdf,https://www.multicare.org/wp-content/uploads/2021/05/2019-Deaconess-CHNA-Report.pdf,N/A,,
6910500,MultiCare Good Samaritan Hospital,401 15th Avenue SE,Puyallup,98372-3770,WA,MultiCare Health System,Unable to Find,2019,Combination of counties and places,Puyallup,N/A,"Puyallup, South Hill, Bonney Lake, Fredrickson, Graham","Access to health care, Behavioral health, Injuries, Obesity, Cancer","Access to health care, Behavioral health, Injuries, Obesity, Cancer",https://www.multicare.org/wp-content/uploads/2021/05/2019-Good-Samaritan-CHNA-Implementation-Strategy.pdf,https://www.multicare.org/wp-content/uploads/2021/05/2019-Good-Samaritan-CHNA-Implementation-Strategy.pdf,N/A,,
6911033,MultiCare Mary Bridge Children's Hospital and Health Center,317 Martin Luther King Jr Way,Tacoma,98405-4234,WA,MultiCare Health System,Non-Profit,2022,List of Counties,"Tacoma, Pierce ",N/A,N/A,"Behavioral Health, Access to Care, Maternal Child Health, Violence, Chronic Disease","Behavioral Health, Access to Care, Maternal Child Health, Violence",https://www.multicare.org/wp-content/uploads/2023/01/MARY-BRIDGE_2022_CHNA_Report_v2-F-2-6.pdf,https://www.multicare.org/wp-content/uploads/2022/12/MARY-BRIDGE-2022_IMPLEMENTATION_Strategy-1H.pdf,N/A,,
6911018,MultiCare Tacoma General Hospital,315 Martin Luther King Jr Way,Tacoma,98405-4234,WA,MultiCare Health System,Non-Profit,2022,List of Counties,"Tacoma, Pierce ",N/A,N/A,"Access to Care, Behavioral Health, Chronic Disease, Maternal and Child Health","Access to Care, Behavioral Health, Chronic Disease, Maternal and Child Health",https://www.multicare.org/wp-content/uploads/2022/12/TACOMA-GENERAL_2022_IMPLEMENTATION_Strategy-1D.pdf,https://www.multicare.org/wp-content/uploads/2022/12/TACOMA-GENERAL_2022_IMPLEMENTATION_Strategy-1D.pdf,N/A,,
6910867,MultiCare Valley Hospital,12606 East Mission Avenue,Spokane Valley,99216-1090,WA,MultiCare Health System,Non-Profit,2022,List of Counties,Spokane,N/A,N/A,"Behavioral Health, Domestic Violence, Housing and Homelessness","Behavioral Health, Domestic Violence, Housing and Homelessness",https://www.multicare.org/wp-content/uploads/2022/12/VALLEY-2022_IMPLEMENTATION_Strategy-1E.pdf,https://www.multicare.org/wp-content/uploads/2022/12/VALLEY-2022_IMPLEMENTATION_Strategy-1E.pdf,N/A,,
6910120,Naval Hospital Bremerton,One Boone Road,Bremerton,98312-1898,WA,"Bureau of Medicine and Surgery, Department of the Navy",Public,N/A unable to find,,,,,,,,,,,
6910443,Naval Hospital Oak Harbor,3475 North Saratoga Street,Oak Harbor,98278-8800,WA,"Bureau of Medicine and Surgery, Department of the Navy",Public,N/A unable to find,,,,,,,,,,,
6910009,Navos,2600 SW Holden Street,Seattle,98126-3505,WA,,Non-Profit,2021,List of Counties,King,n/a,n/a,"Mental health & substance use disorders; Access to care & transportation; Physical health with a focus on obesity, cancer, and diabetes; Housing & homelessness","Mental Health and Substance Use, Physical Health, Access to Healthcare",https://www.navos.org/wp-content/uploads/CHNA-2021-King-County-community-health-needs-assessment.pdf,https://www.navos.org/community-health-needs-assessment/,n/a,,
6910440,Newport Hospital and Health Services,714 West Pine Street,Newport,99156-9046,WA,,Non-Profit,2022,List of Counties,"Pend Oreille, Bonner",n/a,n/a,"Access to primary care services, Access to behavioral healthcare and Substance Use Disorder treatment services, Immunizations, Food Insecurity","Access to primary care services, Access to behavioral healthcare and Substance Use Disorder treatment services, Immunizations, Food Insecurity",https://newporthospitalandhealth.org/wp-content/uploads/2022/02/2022-CHNA-Report-FINAL-website2.pdf,https://newporthospitalandhealth.org/wp-content/uploads/2022/02/2022-CHNA-Report-FINAL-website2.pdf,n/a,,
6911113,North Valley Hospital,203 South Western Avenue,Tonasket,98855-8803,WA,,Public,2022,List of Counties,"Chelan, Douglas, Grant, Okanogan",n/a,n/a,"ACCESS TO HEALTH CARE SERVICES, CHRONIC DISEASE, MENTAL HEALTH, SUBSTANCE ABUSE","ACCESS TO HEALTH CARE SERVICES, CHRONIC DISEASE, MENTAL HEALTH, SUBSTANCE ABUSE",https://static1.squarespace.com/static/56292604e4b0cf893b9a13fa/t/635196ac23d588145eb921f4/1666291385838/2022+CHNA+Report.pdf,https://static1.squarespace.com/static/56292604e4b0cf893b9a13fa/t/635196ac23d588145eb921f4/1666291385838/2022+CHNA+Report.pdf,n/a,,
6910318,Ocean Beach Hospital,174 First Avenue North,Ilwaco,98624-9137,WA,,Public,2022,"Combination of counties, zip codes, and places",Pacific,"98614, 98624, 98631, 98638, 98640, 98641, 98644","Chinook, Ilwaco, Long Beach, Naselle, Ocean Park, Oysterville, Seaview","ACCESS TO PRIMARY CARE, CARE COORDINATION AND CHRONIC DISEASE, ACCESS TO SPECIALTY CARE, MENTAL HEALTH AND SUBSTANCE ABUSE","ACCESS TO PRIMARY CARE, CARE COORDINATION AND CHRONIC DISEASE, ACCESS TO SPECIALTY CARE, MENTAL HEALTH AND SUBSTANCE ABUSE",https://www.oceanbeachhospital.com/wp-content/uploads/2021/12/OBHMC-CHNA-Report-2022-2024-FINAL-12_16_2021.pdf,https://www.oceanbeachhospital.com/wp-content/uploads/2021/12/OBHMC-CHNA-Report-2022-2024-FINAL-12_16_2021.pdf,N/A,,
6910445,Odessa Memorial Healthcare Center,502 East Amende Drive,Odessa,99159-7003,WA,,Non-Profit,N/A unable to find,,,,,,,,,,,
6910480,Olympic Medical Center,939 Caroline Street,Port Angeles,98362-3997,WA,,For-Profit,2022,List of Counties,Clallam,N/A,N/A,"Access to Health Care Services, Cancer, Diabetes, Heart Disease & Stroke, Infant Health & Family Planning, Injury & Violence, Mental Health, Nutrition/Physical Activity/Weight, Potentially Disabling Conditions, Substance Abuse","Mental Health, Substance Abuse, Nutrition, Physical Activity & Weight, Access to Healthcare Services, Disability & Chronic Pain, Diabetes, Heart Disease & Stroke, Injury & Violence , Cancer, Infant Health & Family Planning",https://www.olympicmedical.org/wp-content/uploads/2023/01/2022-PRC-CHNA-Report-Clallam-County-WA.pdf,N/A,N/A,,
6910457,Othello Community Hospital,315 North 14th Avenue,Othello,99344-1297,WA,,Non-Profit,2018,List of Places,N/A,N/A,"Othello, Ritzville, Lind","Environmental, Health Behavior, Health Care, Health Status, Infectious Disease, Injury and Violence Reproductive Health, Summary Measures ",N/A,https://www.othellocommunityhospital.org/_files/ugd/29cd4f_a7d9140e2cc546f8bb0f8d95725a80d0.pdf,N/A,N/A,,
6910060,Overlake Medical Center,1035 116th Avenue NE,Bellevue,98004-4604,WA,,Non-Profit,2021,"Combination of counties, zip codes, and places",King,980042,"Bellevue, Medina , Carnation , Fall City , North Bend , Preston , Snoqualmie , Snoqualmie Pass , Issaquah , Sammamish , Kirkland , Redmond , Mercer Island , Newcastle , Renton , Bothell , Duvall  , Kenmore , Kirkland , Mill Creek , Snohomish , Woodinville , Black Diamond , Maple Valley , Ravensdale , Renton ","Cancer Care, Childbirth & Maternity Care, Heart & Vascular Care, Neurology & Neurosurgery, Orthopedics & Sports Medicine, Weight Loss & Bariatric Surger","Access to Care, Behavioral Health, Chronic Disease Prevention and Management, Maternal and Child Health, Social Determinants of Health",https://www.overlakehospital.org/sites/default/files/inline-files/Overlake%20CHNA%202015%20Final%206.2.15_2_0.pdf,https://www.overlakehospital.org/sites/default/files/inline-files/Implementation%20Strategy%20Narrative%20Final.pdf,info@overlakehospital.org,,
6910401,PeaceHealth Peace Island Medical Center,1117 Spring Street,Friday Harbor,98250-9782,WA,PeaceHealth,Non-Profit,2020,"Combination of counties, zip codes, and places",San Juan,982502,Friday Harbor,"Access to Care, Behavioral Health, Chronic Disease Prevention and Management, Healthy Aging, Oral Health","Access to Care, Behavioral Health, Chronic Disease Prevention and Management, Healthy Aging, Oral Health",https://www.peacehealth.org/sites/default/files/2022-05/2019-2022_chna_peace_island_medical_center_1.pdf,https://www.peacehealth.org/sites/default/files/2022-05/2019-2022_chna_peace_island_medical_center_1.pdf,N/A,,
6911130,PeaceHealth Southwest Medical Center,400 NE Mother Joseph Place,Vancouver,98664-3200,WA,PeaceHealth,Non-Profit,2022,"Combination of counties, zip codes, and places",Clark,98668,"Vancouver, Battle Ground, Camas, Washougal","Improve access to service-enriched housing for people experiencing homelessness or housing instability, Increase education, access to treatment and prevention of substance use disorder and mental health issues, Expand knowledge, access and engagement with community caregivers and resources for chronic disease management and end-of-life care, Address food insecurity and malnutrition to enhance family and child well-being","Improve access to supportive housing and recuperative care housing for people experiencing homelessness or housing instability, Implement SWACH Community Care Coordination program to decrease utilization of acute care services and increase utilization of primary care and behavioral health services by the target population, Expand knowledge, access and engagement with community caregivers and resources for chronic disease management and end-of-life care, Develop a community resource center and increase affordable housing opportunities in the 4th Plain Corridor",https://www.peacehealth.org/news/2022-04-21/peacehealth-shares-2022-2025-community-health-needs-assessments,https://www.peacehealth.org/about-peacehealth/community-health/needs-assessment,N/A,,
6910355,PeaceHealth St. John Medical Center,1615 Delaware Street,Longview,98632-2367,WA,PeaceHealth,Non-Profit,2022,Combination of counties and places,Cowlitz,N/A,Lower Columbia,"Housing, service provider connections, behavioral health, opioid use, stable workforce, childcare","Housing, patient care, access to healthy food",https://www.peacehealth.org/sites/default/files/2022-04/21-ADMIN-260620-Columbia%20Network-Graphics-sup_StJohn%20%283%29.pdf,N/A,N/A,,
6910001,PeaceHealth St. Joseph Medical Center,2901 Squalicum Parkway,Bellingham,98225-1851,WA,PeaceHealth,Non-Profit,2022,Combination of counties and places,Whatcom,N/A,Lynden,"Mental health, poverty, Covid-19, housing, childcare, opioid use, access to healthy foods","Child and youth mental health, childcare, housing",https://www.peacehealth.org/sites/default/files/2022-04/21-ADMIN-260521-Northwest%20Network-Graphics-sup_StJoseph%20%284%29.pdf,N/A,N/A,,
