Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Nonprofit,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
Ashland Health Center,709 Oak Street,Ashland,67831-0188,KS,"Great Plains Health Alliance, Inc.",,N/A unable to find,,,,,,,,,
Atchison Hospital,800 Raven Hill Drive,Atchison,66002-9204,KS,Atchison Hospital,Yes,2019,Combination of counties and places,Atchison,N/A,Atchison,"Alcohol and Drug Abuse, Mental Health Specialists, Obesity, Uninsured, Specialty Healthcare Physicians, Economic Development, Nutrition and Wellness Education, Smoking, Urgent Care, Healthcare Transportation, Dental Services, Education","Mental Health (Diagnosis, Treatment, Aftercare), Drugs (Opioids, Meth, etc.), Add Providers, Obesity (Nutrition / Exercise), Emergency Room Access, Smoking (Vaping), Coordination of Atchison County Social Service Agencies",https://amberwellhealth.org/wp-content/uploads/2019/10/CHNA3_Atchison_Hospital_KS_2019_Final_Report_2019.pdf,Microsoft Word - 1_SecI_Header2018_Atchison (amberwellhealth.org),VVV@VandehaarMarketing.com
Blue Valley Hospital,12850 Metcalf Avenue,Overland Park,66213-2622,KS,,,N/A unable to find,,,,,,,,,
Bob Wilson Memorial Grant County Hospital,415 North Main Street,Ulysses,67880-2133,KS,CommonSpirit Health,,N/A unable to find,,,,,,,,,
Cheyenne County Hospital,210 West First Street,Saint Francis,67756-3540,KS,"Great Plains Health Alliance, Inc.",,2020,Combination of counties and places,Cheyenne,N/A,"Bird City, St. Francis","Attracting and Retaining Youth / Business (Including Health Care, Food, Housing, High Taxes), Cost of Living (Retain, Recruit, Consistency, Availability, Quality), Mental Health Services (Local Availability, Cost, Substance Abuse), Local Access to Health Care Specialists, Confidentiality / Trust (Including Health Care, Public Officials / Government)","Mental Health Services, Health Care Providers, Retaining/Recruiting Jobs in Cheyenne County, Health Care Navigator Role, Addressing HIPAA Violations / Confidentiality, Local Access to Health Care Specialists",https://www.cheyennecountyhospital.com/sites/www/Uploads/files/News/Cheyenne%20County%20Community%20Health%20Needs%20Assessment%202020.pdf,https://www.cheyennecountyhospital.com/sites/www/Uploads/files/News/CCH%20CHNA%20Action%20Plan.pdf,Shawna Blanka (sblanka@cheyennecountyhospital.com)
Children's Mercy Hospital Kansas,5808 West 110th Street,Overland Park,66211-2504,KS,https://www.childrensmercy.org/,Yes,2019,Combination of counties and places,"Clay, Jackson, Johnson, Wyandotte
",N/A,Overland Park,"Nutrition, Physical Activity, Weight, Injury and Violence, Tobacco, Alcohol, Substance Abuse","Access to Health Services with Focus on Asthma, Infant Health, Mental/Behavioral
Health",cmhks-communityhealthassessment-2019-ab.pdf (childrensmercy.org),,communityplanning@cmh.edu
Citizens Medical Center,100 East College Drive,Colby,67701-3799,KS,cmciks.com,Yes,2021,Combination of counties and places,Thomas,N/A,Colby,"Housing, Mental Health Services, Child Care Options, Lack of Qualified Staff/Providers (Availability), Drug/Alcohol Abuse, Behavioral Health Long Term Care, Teen Programs/Services, Nutrition-Healthy Food Options","Housing, Mental Health Services, Child Care Options, Lack of Qualified Staff/Providers (Availability), Drug/Alcohol Abuse, Behavioral Health Long Term Care, Teen Programs/Services, Nutrition-Healthy Food Options",https://cmciks.com/wp-content/uploads/2021/12/CHNA_2021_ThomasCoKS_CitizensHealthReport_Final-1.pdf,https://cmciks.com/wp-content/uploads/2021/12/CHNA-21-23-Imp-Plan-2.pdf,CJK@VandehaarMarketing.com
Clara Barton Hospital,250 West Ninth Street,Hoisington,67544-1706,KS,Clara Barton Hospital,Yes,2021,Combination of counties and places,Barton,N/A,"Great Bend, Hoisington, Ellinwood, Claflin, Pawnee Rock, Olmitz, Albert","Heart Disease/heart attack, high blood pressure, high cholesterol. Cancer, physical inactivity, overweight/obesity, pneumonia, immunizations, mental health, diabetes, dental care, living below poverty level, food insecurity, tobacco use","Chronic comorbidities (obesity, HD, HBP, diabetes, cancer), transportation, nutrition/healthy food, child care, educate public on services offered in community
",https://e7502a97-ec59-4f2e-abb7-575f9f647a47.filesusr.com/ugd/43aebf_089056453b1f4fcfb2f9f052a13b6b11.pdf,Microsoft Word - 1_Header2021_ThomasCo.docx (cmciks.com),N/A
Clay County Medical Center,617 Liberty Street,Clay Center,67432-1564,KS,www.ccmcks.org,Yes,2019,List of Counties,Clay,N/A,N/A,"Reinforce Clay County as a great place to raise children, Promote good jobs and a strong economy","Fighting Drug Abuse, Addressing Mental Health Issues
",https://www.ccmcks.org/communityhealthassessment/2019CommunityHealthNeedsAssessment.pdf,https://www.ccmcks.org/communityhealthassessment/20182020ImplementationStrategy.pdf,marketing@ccmcks.org
Cloud County Health Center,1100 Highland Drive,Concordia,66901-3923,KS,Salina Regional Health Center,Yes,2019,List of Counties,Cloud,N/A,N/A,"Obesity, Depression/Mental Health, Diabetes, Heart Disease, Tobacco Use, Stroke, Trauma/Falls, Hypertension, High Cholesterol, Substance Abuse, State of the Art Healthcare Facility","Obesity, Depression/Mental Health, Diabetes, Heart Disease, Tobacco Use, Stroke, Trauma/Falls, Hypertension, High Cholesterol, Substance Abuse, State of the Art Healthcare Facility",https://www.cchc.com/documents/2019CHNAReport.pdf,https://www.cchc.com/documents/2019CHNAReport.pdf,N/A
Coffey County Hospital,801 North 4th Street,Burlington,66839-2602,KS,burlingtonkansas.gov,Yes,2018,List of Counties,Coffey,N/A,N/A,"Children's Health, Chronic Disease, Aging, Promote Health & Wellbeing in the Community ","Children's health, chronic disease, aging (Socio-economics)",https://www.coffeyhealth.org/Documents/CHNAFinalReportREV.pdf?action=view,N/A,1100 Highland Drive
Coffeyville Regional Medical Center,1400 West Fourth,Coffeyville,67337-3306,KS,https://www.crmcinc.org,Yes,2019,"Combination of counties, zip codes, and places","Montgomery, Nowata","67337, 67301, 67333, 67335,
67340, 67351, 67344, 67347,
67363, 74072","COFFEYVILLE, INDEPENDENCE, CANEY, CHERRYVALE, DEARING, LIBERTY, ELK CITY, HAVANA, SYCAMORE","Drugs and Substance Abuse, Obesity, Mental Health, Chronic Diseases, Primary Care Providers, Economic Development, Cancer, Poverty","Lack of County Communication, Proverty (Chronic), Providers (IM, PC, Derm, Endo, Psych, Pod), Obesity (Nutrition/Exercise), Access and Affordability, Transportation, Drug Abuse, Lack of Individual Health Ownership, Tobacco, Lack of Parental/ Family Skills",https://www.crmcinc.org/wp-content/uploads/2019/11/CHNA3_CoffeyvilleRegional_MontgomeryCo_KS_2019_FinalReport.pdf,Microsoft Word - 1_SecI_Header2018_VVVT_Cville (crmcinc.org),"Concordia, KS 66901"
Comanche County Hospital,202 South Frisco Street,Coldwater,67029-9101,KS,"Great Plains Health Alliance, Inc.",,N/A unable to find,,,,,,,,,
Community HealthCare System,120 West Eighth Street,Onaga,66521-9574,KS,,,2022,List of Counties,"Pottawatomie, Jackson, Nemaha, Marshall ",N/A,N/A,"Mental Health, Cardiovascular Health, Exercise / Fitness, Nutrition / Healthy food options, Obesity, Drug abuse, Senior care programs, Awareness of health services, Child care, Access to healthcare","Mental health, Access to healthcare, Obesity
",https://www.chcsks.org/uploads/userfiles/files/documents/CHNA-2022-FINAL.pdf,N/A,info@chcsks.org
Community Memorial Healthcare,708 North 18th Street,Marysville,66508-1338,KS,,,2019,"Combination of counties, zip codes, and places","Marshall, Washington, Gage","66508,66411, 66548, 66406, 66427, 66438, 66403, 66518, 66412, 66541, 66544","Marshall, Blue Rapids, Waterville, Beattie, Frankfort, Home, Axtell, Oketo, Bremen, Summerfield, Vermillion","Lack of mental health providers/mental health conditions, Lack of access to primary care physicians, Adult obesity, Poverty, Health needs associated with the aging population, Substance abuse ","Access to Care, Adult Obesity, Behavioral Health",http://www.cmhcare.org/docs/Final_CHNA_Report%2C_2019.pdf,http://www.cmhcare.org/docs/Implementation_Strategy_2020-2022_Final.pdf,N/A
Decatur Health Systems,810 West Columbia Street,Oberlin,67749-2450,KS,,,2021,List of Counties,Decatur,N/A,N/A,"Prevention, Education and Services to Address High Mortality Rates, Chronic Diseases, Preventable Conditions and Unhealthy Lifestyles, Access to Primary and Specialty Care Services and Providers, Access to Mental and Behavioral Health Care Services and Providers, Access to Affordable Care and Reducing Health Disparities Among Specific Populations, Impact of COVID19 Pandemic","Prevention, Education and Services to Address High Mortality Rates, Chronic Diseases, Preventable Conditions and Unhealthy Lifestyles, Access to Primary and Specialty Care Services and Providers, Access to Mental and Behavioral Health Care Services and Providers, Access to Affordable Care and Reducing Health Disparities Among Specific Populations, Impact of COVID19 Pandemic",https://www.decaturhealth.org/_files/ugd/3a8918_6dc6d428007047f1b7b6ab50a7c32a31.pdf,https://www.decaturhealth.org/_files/ugd/3a8918_6dc6d428007047f1b7b6ab50a7c32a31.pdf,lhudson@communityhospitalcorp.com
Doctor's Hospital,4901 College Boulevard,Leawood,66211-1602,KS,,,2019,Combination of counties and zip codes,Johnson,"66021, 66083, 66085, 66224,
66223, 66221, 66062, 66031,
66030, 66061, 66213, 66209,
66211, 66210, 66206, 66207,
66212, 66214, 66215, 66219,
66220, 66227, 66018, 66226,
66218, 66217, 66216, 66203,
66202, 66205, 66204, 66208",N/A,"Behavioral Health Care, Improve Access to Care, Increase Access to Physical Activity and Nutrition","Behavioral Health Care, Improve Access to Care, Increase Access to Physical Activity and Nutrition",https://www.kcoi.com/wp-content/uploads/2021/05/KCOI_CHNA_final_2019_updated.pdf,https://www.kcoi.com/wp-content/uploads/2021/05/KCOI_ImPlan_final_2019.pdf,N/A
Edwards County Medical Center,620 West Eighth Street,Kinsley,67547-2329,KS,,,2021,"Combination of counties, zip codes, and places",Edwards,"67519, 67547, 67552, 67563","Belpre, Kinskley, Lewis, Offerie","Mental Health Access, Drug/Substance Abuse, Wellness/Prevention, Primary Care Access, Fitness/Exercise Options, Awareness of Existing Health Care Services, Obesity, Alcohol","Substance Abuse (Drug & Alcohol), Mental Health, Senior Activities, Uninsured / Underinsured, Housing, Lack of ""Owning Your Health""",https://edcomed.com/ECH/PortalControls/Administration/Tabs/ViewBannerNavFile.aspx?PCID=TpV21u1wGyPbEdqDsCDhlA%3d%3d,https://edcomed.com/ECH/PortalControls/Administration/Tabs/ViewBannerNavFile.aspx?PCID=TpV21u1wGyPczoAhiLzpvg%3d%3d,VVV@VandehaarMarketing.com
Ellinwood District Hospital,605 North Main Street,Ellinwood,67526-1440,KS,"Great Plains Health Alliance, Inc.",,2021,List of Counties,Barton,N/A,N/A,"Improved Facilities, Affordable healthcare, Additional healthcare providers, Aging in place facilities, Awareness of services offered, Access to Mental Healthccare, Broader selection of healthcare specialists","Access to health care, Access to affordable childcare, Employment opportunities ",https://www.ellinwooddistricthospital.org/_files/ugd/ab5607_ede429d976bf4745b153bf3657bea495.pdf,https://www.ellinwooddistricthospital.org/_files/ugd/ab5607_73fe374f52ca4b6bb97c2171541d6247.pdf,lbogner@gpoe.org
Ellsworth County Medical Center,1604 Aylward Street,Ellsworth,67439-0087,KS,,,2019,List of Counties,Ellsworth,N/A,N/A,"Available Healthcare Capital, Cancer, Child Care / Family Planning, Available of Healthy Foods / Nutrition, Senior Health, Dialysis Services, Healthcare Transportation, Smoking, Abuse / Violense, Extended Pharmacy Hours","Provider Access, Mental Health, Social Worker Services & Continuum of Care/Coordination of Care,  Affordable Wellness Centers, Substance Abuse, Health Insurance, Awareness of County-wide Healthcare Services, Ambulance Services",http://www2.ewmed.com/docs/CHNA_19.05.pdf,http://www2.ewmed.com/docs/CHNA_19.05.pdf,"Vince Vandehaar
VVV@VandehaarMarketing.com"
F. W. Huston Medical Center,408 Delaware Street,Winchester,66097-4003,KS,,,2019,List of Counties,Jefferson,N/A,N/A,"Lack of Adequate Healthcare/Insurance Coverage, Lack of Access to Affordable Foods, Lack of Access to Safe Spaces for Exercise, Lack of providers to Support Emotional Health, Lack of Dental Providers, Concern for Mental Health/Well-Being, Traffic Injury, Lack of Medical Care","Access to high quality healthcare services at any time, Mental healthcare for senior citizens, Nutritional services, Affordable housing, Mitigation of prescription drug abuse/ opioid overuse, Care of individuals with or at risk for chronic disease (specifically high blood pressure, diabetes, lung disease, and elevated cholesterol), Local economic growth, Primary and secondary prevention of common health concerns with health promotion activities",https://img1.wsimg.com/blobby/go/fe1d224c-3929-4a7a-ac48-5a2d1e6c6439/downloads/2019%20Updated%20CHNA%20for%20Website.pdf?ver=1642107104183,https://img1.wsimg.com/blobby/go/fe1d224c-3929-4a7a-ac48-5a2d1e6c6439/downloads/2019%20Updated%20CHNA%20for%20Website.pdf?ver=1642107104183,N/A
Fredonia Regional Hospital,1527 Madison Street,Fredonia,66736-1751,KS,"Great Plains Health Alliance, Inc.",,N/A unable to find,,,,,,,,,
Geary Community Hospital,1102 St Mary's Road,Junction City,66441-4196,KS,,,2020,List of Counties,Geary,N/A,N/A,"Access to Primary and Specialty Care Services and Providers, Access to Affordable Care and Reducing Health Disparities Among Specific Populations, Increased Emphasis on Education and Awareness of Existing Health Care Resources, Access to Mental and Behavioral Health Care Providers and Services, Prevention, Education and Services to Address High Mortality Rates, Chronic Diseases, Preventable Conditions and Unhealthy Lifestyles, Access to Dental Care Services and Providers","Access to Primary and Specialty Care Services and Providers, Access to Affordable Care and Reducing Health Disparities Among Specific Populations, Increased Emphasis on Education and Awareness of Existing Health Care Resources, Access to Mental and Behavioral Health Care Providers and Services, Prevention, Education and Services to Address High Mortality Rates, Chronic Diseases, Preventable Conditions and Unhealthy Lifestyles",https://gearycommunityhospital.org/wp-content/uploads/2020/10/GCH%202020%20CHNA%20and%20Implementation%20Plan%20Report%20FINAL%20-%20September%202020.pdf,https://gearycommunityhospital.org/wp-content/uploads/2020/10/GCH%202020%20CHNA%20and%20Implementation%20Plan%20Report%20FINAL%20-%20September%202020.pdf,lhudson@communityhospitalcorp.com
Girard Medical Center,302 North Hospital Drive,Girard,66743-2000,KS,,,2017,List of Counties,"Crawford,Chautauqua, Cherokee, Elk, Montgomery, Neosho",N/A,N/A,"Chronic Disease/Healthy Behavior, Mental Health, Drugs and Alcohol Abuse, Obesity","Chronic Disease/Healthy Behavior, Mental Health, Drugs and Alcohol Abuse, Obesity",https://www.viachristi.org/sites/default/files/pdf/about_us/VCH-P%202017%20CHNA%20052017.pdf,https://www.viachristi.org/sites/default/files/pdf/about_us/VCH-P%202017%20CHNA%20052017.pdf,N/A
Goodland Regional Medical Center,220 West Second Street,Goodland,67735-1602,KS,,,2021,"Combination of counties, zip codes, and places",Sherman,"67735, 67741, 67732, 67733, 67734","St. Francis, Colby, Burlington","Economic Development Issues (businesses, jobs, livable wages, cost of living, housing), Health Care Providers (retain/recruit medical staff), Hospital Quality/Retaining Facility (Centura), Mental Health and Substance Abuse (quality and local treatment), Community Engagement (activities, fitness)/Communication, Covid Pandemic ","Access to Mental Health Care Services, Physician Recruitment and Retention",https://www.shermancountyhealthdepartment.org/_files/ugd/533c82_14eac14d2a5d4686bcf4ebbee44313d0.pdf,https://www.shermancountyhealthdepartment.org/_files/ugd/533c82_14eac14d2a5d4686bcf4ebbee44313d0.pdf,"grmc@goodlandregional.com, Carol Sloper
info@gnwkcf.org"
Gove County Medical Center,520 West Fifth Street,Quinter,67752-0129,KS,,,2021,Combination of counties and zip codes,Gove,"67736, 67737, 67738, 67751, 67752",N/A,"Substance abuse, mental health, housing, economic development, affordable healthcare insurance, childcare, assisted living, cancer services","Mental health services, housing, cancer services, home health services, urgent care",https://gcmc.org/wp-content/uploads/2021/04/CHNA.pdf,https://gcmc.org/wp-content/uploads/2021/04/CHNA.pdf,wrichard@gcmc.org
Graham County Hospital,304 West Prout Street,Hill City,67642-1435,KS,,,N/A unable to find,,,,,,,,,
Greeley County Health Services,506 Third Street,Tribune,67879-9684,KS,QHR,,2019,List of Counties,"Greeley, Wallace ",N/A,N/A,"Obesity, Acces to primary care and specialty care physicians, Aging population/elder wellness, Mental health/behavior health, Health education/prevention, Alcoholism and drug abuse","Obesity, Access to primary care and specialty care physicians, Aging population/elder wellness, Mental health/behavior health, Health education/prevention, Alcoholism and drug abuse",http://mygchs.com/wp-content/uploads/Final-CHNA-Report-2019-converted.pdf,http://mygchs.com/wp-content/uploads/Final-CHNA-Report-2019-converted.pdf,nurse04@sunflowertelco.com
Greenwood County Hospital,100 West 16th Street,Eureka,67045-1064,KS,,Yes,2012,List of Counties,Greenwood,N/A,N/A,"Oral Health, Healthy Eating Behaviors","Oral Health, Healthy Eating Behaviors",https://www.kansashealthmatters.org/content/sites/kansas/CHA-CHIP/Multi_County_Reports/ECKPHC_CHA_CHIP_2012.pdf,https://www.kansashealthmatters.org/content/sites/kansas/CHA-CHIP/Multi_County_Reports/ECKPHC_CHA_CHIP_2012.pdf,N/A
Grisell Memorial Hospital District One,210 South Vermont Avenue,Ransom,67572-9525,KS,"Great Plains Health Alliance, Inc.",,N/A unable to find,,,,,,,,,
Hamilton County Hospital,700 North Huser Street,Syracuse,67878-0948,KS,,,N/A unable to find,,,,,,,,,
Hanover Hospital,205 South Hanover,Hanover,66945-8924,KS,,,N/A unable to find,,,,,,,,,
Hays Medical Center,2220 Canterbury Drive,Hays,67601-2370,KS,University of Kansas Health System,Yes,2021,List of Counties,Ellis,N/A,N/A,"Drug & Alcohol Abuse, Mental Health (Diagnosis, Placement, Aftercare), Owning Your Health/ Awareness of HC Services, Access to BH Workforce, Child Care Options, Food insecurity/ Nutrition, Access to Health Funding, Nursing Home/ Senior Care, Poverty/Employment Readiness, Suicide","Drug & Alcohol Abuse, Mental Health (Diagnosis, Placement, Aftercare), Owning Your Health/ Awareness of HC Services, Access to BH Workforce, Child Care Options, Food insecurity/ Nutrition, Access to Health Funding, Nursing Home/ Senior Care, Poverty/Employment Readiness, Suicide",https://www.haysmed.com/wp-content/uploads/2021/06/CHNA_2021_EllisCoKS_HaysMedReport_Final.pdf,https://www.haysmed.com/wp-content/uploads/2021/06/CHNA_2021_EllisCoKS_HaysMedReport_Final.pdf,N/A
Herington Municipal Hospital,100 East Helen Street,Herington,67449-1606,KS,Memorial Health System,Yes,2016,List of Counties,Dickinson,N/A,N/A,"Substance Abuse Prevention, Access to Health Care, Economic Development and Affordable Living","Substance Abuse Prevention, Access to Health Care, Economic Development and Affordable Living",http://mhsks.org/wp-content/uploads/2018/09/CHNA-2016-part1.pdf,N/A,"Kim Stivers, (785) 263-6686, kstivers@mhsks.org."
Hiawatha Community Hospital,300 Utah Street,Hiawatha,66434-2314,KS,Amberwell,Yes,2019,List of Counties,Brown,N/A,N/A,"Drug Abuse, Affordable Insurance, Obesity, Child Care Services, Economic Development, Mental Health Providers, Affordable Housing, Public Awareness of Mental Health issues, Urgent Care Service, Affordable Fitness Centers, Dental / Vision Services (Uninsured and Medicare), Visiting Specialists, Senior Care Centers, Healthcare Education, Chronic Diseases, Tobacco Use, Healthcare Transportation","Additional Providers (OB, Derm, Surg, Ortho, Oph, Gero, Endo, GI), Financial Health of Local Hospital (HCH), Mental Health (Diagnosis, Treatment, Aftercare), Hand-offs, Community Collaboration (Between Agencies), Awareness of Services (Health Dept and Hospital), Obesity (Nutrition / Exercise), Home Health Services,  Housing (Affordable and Safe), Affordable Health Insurance",https://www.hch-ks.org/docs/CHNA3_HCH_BrownCoKS_2019_Full_Report.pdf,https://www.hch-ks.org/docs/Wave3CHNA_ImpDetailPlan2019_HCH_PSA_102519.pdf,Amy Puvogel at (785) 724-6229 or apuvogel@hch-ks.org
Hillsboro Community Hospital,701 South Main Street,Hillsboro,67063-1553,KS,Rural Community Hospitals of America,,2013,List of Counties,Marion,N/A,N/A,"Promote health, wellness, and chronic disease prevention; Improve communication and collaboration between health care providers, other essential local institutions, between providers and the community, and within the community; Enhance access to health resources and assistance for all county citizens","Promote health, wellness, and chronic disease prevention; Improve communication and collaboration between health care providers, other essential
local institutions, between providers and the community, and within the community; Enhance access to health resources and assistance for all county citizens",https://www.kansashealthmatters.org/content/sites/kansas/CHA-CHIP/2013/Marion_CHNA_2013.pdf,N/A,N/A
