ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6410160,Barnesville Hospital,639 West Main Street,Barnesville,43713-1039,OH,,Non-Profit,2020,List of Counties,"Belmont, Monroe",N/A,N/A,"Drug Addiction,Mental Health, Lifestyle, Access to Care","Drug Addiction/Mental Health, Lifestyle, Access to Care",monroecountyhealthcha2020.pdf (ohio.gov),N/A,N/A,
6410526,Beckett Springs,8614 Shepherd Farm Drive,West Chester,45069,OH,Springstone,Unable to find,N/A unable to find,,,,,,,,,,
6410190,Bellevue Hospital,1400 West Main Street,Bellevue,44811-9088,OH,,Non-Profit,2022,Combination of counties and places,Sandusky,N/A,N/A,"Mental Health, Addiction, Chronic Disease","Mental Health, Addiction, Chronic Disease",https://www.scpublichealth.com/_files/ugd/5cff61_a6c99cf74f294363828ff332fd881cae.pdf,N/A,N/A,
6410002,Belmont Pines Hospital,615 Churchill-Hubbard Road,Youngstown,44505-1379,OH,"Universal Health Services, Inc.",Unable to find,N/A unable to find,,,,,,,,,,
6410630,Berger Health System,600 North Pickaway Street,Circleville,43113-1447,OH,OhioHealth,Non-Profit,2022,"Combination of counties, zip codes, and places",Pickaway ,"43103,43113,43116, 43117,43145,43146, 43156, 43164","Ashville, Circleville, Commercial Point, Derby, New Holland, Orient, Tarlton, Williamsport","Community Conditions, Mental Health and Addiction, Chronic Disease, Maternal and Infant Health","Community Condition, Mental Health and Addiction, Chronic Disease, Maternal and Infant Health",https://www.ohiohealth.com/siteassets/find-a-location/hospitals/berger-hospital/about-us/chna/ohiohealth-chna-2022-berger-hospital.pdf,CHNA mentions documentation for 2022 Implementation plan but has not yet been published. , Tim.Colburn@ohiohealth.com. ,
6410382,Bethesda North Hospital,10500 Montgomery Road,Cincinnati,45242-4402,OH,,Non-Profit,2022,List of Counties,"Butler, Clermont, Hamilton, Warren",N/A,N/A,"Cardiovascular Conditions (Hypertension), Mental Health (Depression and Anxiety),  Arthritis, Lung/Respiratory Health, Dental, Maternal health concerns, Prevention-related needs","Cardiovascular Conditions (Hypertension), Mental Health (Depression and Anxiety),  Arthritis, Lung/Respiratory Health, Dental, Maternal health concerns, Prevention-related needs",https://www.trihealth.com/about-trihealth/community/health-needs-assessment,https://cd.trihealth.com/-/media/trihealth/documents/about-trihealth/community/health-needs-assessment/2022-bethesda-north-chna-implemenation-plan.pdf,N/A,
6410017,Blanchard Valley Hospital,1900 South Main Street,Findlay,45840-1214,OH,Blanchard Valley Health System,Non-Profit,2023,List of Counties,Hancock ,N/A,N/A,"Health Behaviors, Access to Care, Mental Health, Addiction","Health Behaviors, Access to Care, Mental Health and Addiction",https://www.bvhealthsystem.org/media/file/Community%20Benefits/2023-2025%20Hancock%20County%20CHIP%2001_31_23.pdf,https://www.bvhealthsystem.org/media/file/Community%20Benefits/2023-2025%20Hancock%20County%20CHIP%2001_31_23.pdf,Karim Baroudi 567-250-5142,
6410210,Bluffton Hospital,139 Garau Street,Bluffton,45817-1027,OH,Blanchard Valley Health System,Non-Profit,2021,List of Counties,"
Hancock ",N/A,N/A,"Health Behaviors, Health Care Access, Health Behaviors, Chronic Disease, Social Conditions","Mental health and addiction (includes suicide, depression, youth drug use, and drug overdose deaths), Chronic disease (includes heart disease, diabetes, and childhood conditions [asthma and lead]), Maternal and Infant Health (includes infant and maternal mortality and preterm births)",hancockph.com/_files/ugd/daf668_09d7d249df7c465bb23f7eda7130d82a.pdf,2016-2017 Community Health Assessment (bvhealthsystem.org),Karim Baroudi,
6410240,Bucyrus Hospital,629 North Sandusky Avenue,Bucyrus,44820-1821,OH,Avita Health System,Non-Profit,2022,"Combination of counties, zip codes, and places",Crawford ,"44820, 44825, 44854, 44856, 44860, 44881, 44887, 44827, 44833, ","Bucyrus, Chatfield, Crestline, Galion, New Washington, North Robinson, Oceola, Sulphur Springs, Tiro","Access to Care, Health Behaviors, Community Conditions, Mental Health and Addiction, Chronic Diseases ","Access to care (local access to care, unmet need for mental health care, health insurance coverage), Health Behaviors (nutrition and access to healthy foods, physical activity, tobacco/nicotine use), Community Conditions (poverty, adverse childhood experiences, housing, access to childcare, transportation, crime/violence, K-12 student success)",https://avitahealth.org/wp-content/uploads/PDFs/Crawford-County-2022-Community-Health-Needs-Assessment.pdf,https://avitahealth.org/wp-content/uploads/PDFs/Implementation-Strategy-2020-2022.pdf,Kate Siefert 419-562-5871 ext 1215 kate.siefert@crawfordhealth.org,
6410576,Cambridge Behavioral Hospital,66755 State Street,Cambridge,43725-8757,OH,,For-Profit,N/A unable to find,,,,,,,,,,
6410370,Chillicothe Veterans Affairs Medical Center,17273 State Route 104,Chillicothe,45601-9718,OH,Department of Veterans Affairs,Public,N/A unable to find,,,,,,,,,,
6410430,Christ Hospital,2139 Auburn Avenue,Cincinnati,45219-2906,OH,,Non-Profit,2022,List of Counties,Hamilton ,N/a,N/a,"Cardivascular Health, Access to Healthcare, Mental Health Services, Substance Abuse, Infant Mortality, Health Related Social Needs, Workforce Pipeline, Diversity ","Access to Services, Health Related Social Needs, and Workforce/Diversity ",https://www.thechristhospital.com/Documents/News%20and%20Community/TCH%20CHNA%202022%20-%20FINAL.pdf,https://www.thechristhospital.com/Documents/News%20and%20Community/TCHHN%20Community%20Health%20Implementation%20Plan%202022%20-%20FINAL.pdf,N/A,
6410391,Cincinnati Children's Hospital Medical Center,3333 Burnet Avenue MLC 8006,Cincinnati,45229-3039,OH,,Non-Profit,2022,List of Counties,"Butler, Clermont, Hamilton, Warren",N/A,N/A,"Child and Youth Mental Health, COVID-19 Pandemic Health Impacts on Children and Youth, Child and Youth Chronic Disease, Infant Mortality","Child and Youth Mental Health, COVID-19 Pandemic Health Impacts on Children and Youth, Child and Youth Chronic Disease, Infant Mortality",https://www.cincinnatichildrens.org/-/media/cincinnati%20childrens/home/about/community/community-health-needs-assessment/2022-community-health-needs-assessment.pdf?la=en,https://www.cincinnatichildrens.org/-/media/cincinnati%20childrens/home/about/community/community-health-needs-assessment/2022-cincinnati-childrens-chna-implementation-plan.pdf?la=en,"Monica Mitchell, PhD, monica.mitchell@cchmc.org, 513-803-0551",
6410625,Cincinnati Veterans Affairs Medical Center,3200 Vine Street,Cincinnati,45220-2288,OH,Department of Veterans Affairs,Unable to find,N/A unable to find,,,,,,,,,,
6410577,ClearVista Health and Wellness,3364 Kolbe Road,Lorain,44053-1628,OH,,,N/A unable to find,,,,,,,,,,
6410670,Cleveland Clinic,9500 Euclid Avenue,Cleveland,44195-5108,OH,Cleveland Clinic Health System,Non-Profit,2022,"Combination of counties, zip codes, and places","Cuyahoga,Summit, Lorain, Lake, Medina, Wayne","44102,44103, 44104, 44105, 44106, 44108, 44109, 44110, 44112, 44113, 44114, 44115, 44117, 44118, 44120, 44121, 44122, 44125, 44127, 44128, 44131, 44137","Cleveland, Beachwood, Euclid, Independence, Maple Heights","Access to Health Care, Behavioral Health, Chronic Disease Prevention and Management, Maternal and Child Health, Socioeconomic Concerns ","Access to Health Care, Behavioral Health, Chronic Disease Prevention and Management, Maternal and Child Health, Socioeconomic Concerns ",https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2022/2022-cleveland-clinic-main-campus-chna.pdf?la=en,https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2022/2022-cleveland-clinic-main-campus-chna.pdf?la=en,chna@ccf.org,
6410010,Cleveland Clinic Akron General,1 Akron General Avenue,Akron,44307-2433,OH,Cleveland Clinic Health System,Non-Profit,2022,"Combination of counties, zip codes, and places","Medina, Summit, Portage, Stark","44203,44221,44223,44224,44236,44240,44243,44250,44256,44260,44262,44266,44278,44281,44301,44302, 44303, 44304, 44305, 44306, 44307, 44310, 44311, 44312, 44313, 44314, 44319, 44320, 44321, 44333, 44685, 44720","Akron,Stow,Barberton,Cuyahoga Falls, Uniontown,Wadsworth,Tallmadge, Kent,Medina,Hudson,Mogadore,Munroe Falls, Ravenna, Cleveland, Lakemore","Access to Health Care, Behavioral Health, Chronic Disease Prevention and Management, Maternal and Child Health, Socioeconomic Concerns ","Access to Health Care, Behavioral Health, Chronic Disease Prevention and Management, Maternal and Child Health, Socioeconomic Concerns ",https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2022/2022-akron-general-chna.pdf?la=en,https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2022/2022-akron-general-chna.pdf?la=en,chna@ccf.org,
6411570,Cleveland Clinic Akron General Lodi Hospital,225 Elyria Street,Lodi,44254-1096,OH,Cleveland Clinic Health System,Non-Profit,2022,"Combination of counties, zip codes, and places","Medina, Wayne","44256, 44215,44273,44251,44254,44275,44235,44880,44287,44214,44217,44691","Burbank, Chippewa Lake, Creston, Homerville, Westfield Center, Lodi, Medina, Seville, Spencer, West Salem, Wooster, Sullivan","Access to Healthcare, Behavioral Health, Chronic Disease Prevention and Management, Socioeconomic Issues","Access to Healthcare, Behavioral Health, Chronic Disease Prevention and Management, Socioeconomic Issues",https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2022/2022-lodi-hospital-chna.pdf?la=en,https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2022/2022-lodi-hospital-chna.pdf?la=en,chna@ccf.org,
6410566,Cleveland Clinic Avon Hospital,33300 Cleveland Clinic Boulevard,Avon,44011,OH,Cleveland Clinic Health System,,2019,Combination of counties and zip codes,"Lorain, Cuyahoga, Erie","44089, 44001, 44053, 44052, 44054, 44055, 44035, 44011, 44012, 44039, 44140, 44070, 44116, 44140",N/A,"Access to Affordable Health Care, Addiction and Mental Health, Chronic Disease Prevention and Management, Infant Mortality,  Medical Research and Health Professions Education, Socioeconomic Concerns","Access to Affordable Health Care, Addiction and Mental Health  ,Chronic Disease Prevention and Management, Infant Mortality,  Medical Research and Health Professions Education,  Socioeconomic Concerns",https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2019/2019-avon-hospital-chna.pdf?la=en,https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2019/2019-avon-hospital-chna.pdf?la=en,Cleveland Clinic chna@ccf.org,
6410650,Cleveland Clinic Children's Hospital for Rehabilitation,2801 Martin Luther King Jr Drive,Cleveland,44104-3865,OH,Cleveland Clinic Health System,Non-Profit,2022,"Combination of counties, zip codes, and places","Cuyahoga, Lake",44022 44060 44070 44077 44092 44094 44095 44102 44103 44104 44105 44106 44107 44108 44109 44110 44111 44112 44113 44114 44115 44116 44117 44118 44119 44120 44121 44122 44123 44125 44126 44127 44128 44130 44131 44132 44133 44135 44136 44137 44142 44143 44144 44145 44149,"Chagrin Falls, Mentor, North Olmsted, Painesville, Wickliffe, Willoughby, Eastlake, Cleveland, Lakewood, Rocky River, Euclid, Beachwood, Independence, North Royalton, Strongsville, Maple Heights, Brook Park, Westlake","Access to Healthcare, Behavioral Health, Chronic Disease Prevention and Management, Maternal and Child Health (including Autism Spectrum Disorder), Socioeconomic Issues, Health Equity, Social Determinants of Health, Medical Research and Health Professions Education","Access to Healthcare, Behavioral Health, Chronic Disease Prevention and Management, Maternal and Child Health (including Autism Spectrum Disorder), Socioeconomic Issues",CCCHR (clevelandclinic.org),CCCHR (clevelandclinic.org),chna@ccf.org,
6410710,Cleveland Clinic Fairview Hospital,18101 Lorain Avenue,Cleveland,44111-5656,OH,Cleveland Clinic Health System,Non-Profit,2022,"Combination of counties, zip codes, and places","Cuyahoga, Lorain, Medina","44107, 44111, 44135, 44102, 44070, 44116, 44126, 44145, 44109, 44039, 44138, 44035, 44212, 44130, 44142, 44144, 44140, 44012, 44011, 44136, 44256, 44017, 44149, 44129, 44134, 44129","Lakewood, Cleveland, Olmsted, Rocky River, Westlake, Elyria, Brunswick, Brook Park, Bay Village, Avon, Avon Lake, Strongsville, Medina, Barea, North Ridgeville, North Olmsted, Rocky River, Olmsted Falls","Addiction and Mental Health, Chronic Disease Prevention and Management, Infant Mortality, Socioeconomic Concerns, Access to Affordable Health Care, Medical Research and Health Professions Education, Health Equity, Social Determinants of Health, Medical Research and Health Professions Education","Access to Healthcare, Behavioral Health, Chronic Disease Prevention and Management, Maternal and Child Health, Socioeconomic Isues",https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2022/2022-fairview-hospital-chna.pdf?la=en,https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2022/2022-fairview-hospital-chna.pdf?la=en,chna@ccf.org,
6410559,Cleveland Clinic Rehabilitation Hospital,33355 Health Campus Boulevard,Avon,44011,OH,Select Medical Corporation,Non-Profit,2022,Combination of counties and zip codes,"Lorain, Cuyahoga ","44052, 44055, 44102, 44111, 44135, 44109",N/A,"Access to Health Services, Prevention & Safety, Mental Health, Heart Disease & Stroke, Diabetes, Maternal, Fetal, & Infant Health, Physical Activity, Housing, Nutrition/Food Security, Older Adult Needs, Public Safety & Crime, Social Determinants of Health","Access to Affordable Health Care, Adult Health, Community Safety",2022-select-rehab-avon-chna.pdf (clevelandclinic.org),https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2022/2022-select-rehab-avon-chna.pdf?la=en,chna@ccf.org,
6411260,Cleveland Clinic Union Hospital,659 Boulevard,Dover,44622-2077,OH,Cleveland Clinic Health System,Non-Profit,2022,List of Counties,Tuscarawas ,N/A,N/A,"Health Behaviors, Access to Care, Mental Health and Addiction","Health Behaviors, Access to Care, Mental Health and Addiction",https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2022/2022-union-hospital-chna.pdf?la=en,https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2022/2022-union-hospital-chna.pdf?la=en, chna@ccf.org,
6411700,"Cleveland Clinic, Medina Hospital",1000 East Washington Street,Medina,44256-2170,OH,Cleveland Clinic Health System,Non-Profit,2022,"Combination of counties, zip codes, and places","Cuyahoga, Medina, Wayne","44149,44136,44133,44280,44212,44233,44253,44256,44275,44274,44215,44281,44235,44254,44251,44273, 44270,44287,44691","Brunswick, Medina, Wadsworth, Lodi, Seville, Valley City, Spencer, Hinckley, Chippewa Lake, Litchfield, Homerville,North Royalton,Strongsville, Homerville, Westfield Center, Medina County,Rittman, Sharon Center, West Salem, Wooster","Access to Healthcare, Behavioral Health, Chronic Disease Prevention and Management, Socioeconomic Issues","Access to Healthcare, Behavioral Health, Chronic Disease Prevention and Management, Socioeconomic Issues",https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2022/2022-medina-hospital-chna.pdf?la=en,https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2022/2022-medina-hospital-chna.pdf?la=en,chna@ccf.org,
6412345,CMH Regional Health System,610 West Main Street,Wilmington,45177-2125,OH,LifePoint Health,Non-Profit,2020,Combination of counties and zip codes,Clinton,"45107, 45113, 45142, 45146, 45148, 45159, 45164, 45166, 45169, and 45177",N/A," Substance Abuse, Heart Disease & Stroke, Mental Health Nutrition, Physical Activity & Weight, Diabetes, Access to Health Care Services,  Cancer, Tobacco Use, Infant Health & Family Planning,  Respiratory Disease, Injury, Oral Health, Potentially Disabling Conditions","Substance Abuse, Heart Disease & Stroke, Mental Health Nutrition, Physical Activity & Weight, Diabetes 6. Access to Health Care Services,  Cancer, Tobacco Use, Infant Health & Family Planning,  Respiratory Disease, Injury, Oral Health, Potentially Disabling Conditions",https://www.cmhregional.com/sites/clinton/assets/uploads/2020%20PRC%20CHNA%20Report%20-%20Clinton%20County%20OH%20(002).pdf,N/A,N/A,
6410524,Columbus Dublin Springs,7625 Hospital Drive,Dublin,43016-9649,OH,Springstone,Unable to find,N/A unable to find,,,,,,,,,,
6410225,Community Hospitals and Wellness Centers,433 West High Street,Bryan,43506-1679,OH,,Unable to find,,N/A unable to find,,,,,,,,,
6410049,Community Hospitals and Wellness Centers-Montpelier,909 East Snyder Avenue,Montpelier,43543-1251,OH,,Unable to find,,N/A unable to find,,,,,,,,,
6411435,Community Memorial Hospital,208 North Columbus Street,Hicksville,43526-1299,OH,,Non-Profit,Combination of counties and zip codes,2022,Combination,Ventura,"93023, 93040, 93011, 93060, 93015, 93066, 93021, 93036, 93030, 93010, 93012, 91360, 91362, 91320, 91361, 93033, 93022, 93004, 93003, 93035, 93041, 91377, 93065, 93063",N/A,"Access to Health Care. Adolscent Health, Alcohol & Drug Use, Cancers, COVID-19, Diabetes, Education, Heart Disease & Stroke, Housing, Mental Health, Nutrition & Healthy Eating, Older Adults, Physical Activity, Weight Status, Respiratory Diseases","Mental Health and Substance Abuse, Chronic Conditions, Equitable Access to Healthcare",https://www.mycmh.org/documents/content/health-needs-assessments/Ventura-CHNA-2022-v2.pdf,https://www.mycmh.org/documents/content/implementation-strategy/Ventura-CHIS-v1.pdf,sharri.morley@conduent.com
