Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Nonprofit,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
Coteau des Prairies Hospital,205 Orchard Drive,Sisseton,57262-2398,SD,Sanford Health,Yes,2021,List of Counties,"Roberts County, South Dakota; Marshall County, South Dakota; Day County, South Dakota; Richland County, North Dakota; Traverse County, Minnesota",N/A,N/A,"Insurance coverage, health services, timeliness of care, Lack of access to health services leads to unmet health needs, delays in receiving appropriate care, inability to get preventive services, financial burdens for the patient, and preventable hospitalizations.","Improving access to  care and use of telehealth technologies; Addressing behavioral and mental health needs including alcohol, drug, and substance use disorders",https://www.cdphealth.com/documents/CHNA-2021-Coteau-Des-Prairies-Health-Care-Sisseton.pdf,https://www.cdphealth.com/documents/CHNA-2021-Coteau-Des-Prairies-Health-Care-Sisseton.pdf,(605) 698-7647
Custer Regional Hospital,1039 Montgomery Street,Custer,57730-1397,SD,Regional Health,Yes,2018,List of Counties,"Pennington, Custer, Fall River",N/A,N/A,"Access to Healthcare Services, Cancer, Diabetes, Heart Disease & Stroke, Infant Health & Family Planning, Injury & Violence, Kidney Disease, Mental Health, Nutrition, Physical Activity &
Weight, Potentially Disabling Conditions, Respiratory Diseases, Sexually Transmitted Diseases, Substance Abuse","Cancer, Heart Disease & Stroke, Diabetes, Mental Health",https://monument.health/wp-content/uploads/2019/06/2018-PRC-CHNA-Report-RH-Custer-Hospital.pdf,https://monument.health/wp-content/uploads/2019/11/Community-Health-Implementation-Plan_CRH_2022.pdf,N/A
Dakota Plains Surgical Center,"701 8th Avenue NW, Suite C",Aberdeen,57401-1865,SD,,Yes,N/A unable to find,,,,,,,,,
Douglas County Memorial Hospital,708 Eighth Street,Armour,57313-2102,SD,,Yes,2019,List of Counties,Douglas County,N/A,N/A,"Mental Health Issues, Fitness, wellness, obesity, general wellness, improved access to Long Term Care services, Access to Specialties, Transportation, Dental","Mental Health Issues, Shortage of Dental Resources, Wellness Issues, Increased Access to Specialty Services, Transportation Issues for Individuals with limited Mobility, Access to Long Term Care Services",http://dcmhsd.org/CHNA2019ApprovedbyBoard20190522.pdf,http://dcmhsd.org/wp-content/uploads/2019/09/Implementation-Strategy-2019boardapproved0925019.pdf,Joshua.christensen@dcmhsd.org 
Dunes Surgical Hospital,600 North Sioux Point Road,Dakota Dunes,57049-5000,SD,,,2022,Combination of counties and places,"Iowa counties of Woodbury and Plymouth; the Nebraska counties of Dakota, Dixon, and Thurston; and the South Dakota county of Union",N/A,"Sioux City, Iowa","Preventative Care, Substance Misuse, Physical Health, Mental Health","Mental Health Care, Preventative Care, Substance Misuse, and Physical Health",https://www.siouxlanddistricthealth.org/home/showpublisheddocument/651/637801683241530000,https://www.siouxlanddistricthealth.org/home/showpublisheddocument/665/637801691235870000,Michelle Lewis: mlewis@siouxlanddistricthealth.org
Eureka Community Health Services Avera,410 Ninth Street,Eureka,57437-2182,SD,Avera Health,,2022,Combination of counties and places,"McPherson County (SD), Campbell County (SD), McIntosh County (ND)",N/A,"Cities: Eureka, Leola, and Long Lake","Recruitment of Providers, Technology enhancements/expand e-consult services, and Education on Health Care Services","Recruitment of Providers, Technology enhancements/expand e-consult services, and Education on Health Care Services",https://www.avera.org/app/files/public/82234/2022-chna-eureka.pdf,N/A,"Carmen Weber, Administrator / Connie Woehlhaff RN, CHNA Coordinator"
Fall River Hospital,1201 Highway 71 South,Hot Springs,57747-8800,SD,,Yes,N/A unable to find,,,,,,,,,
Faulkton Area Medical Center,1300 Oak Street,Faulkton,57438-2149,SD,,Yes,2020,Combination of counties and places,Faulk County,N/A,"Cities:
Chelsea, Cresbard, Faulkton, Miranda, Norbeck, Onaka, Orient, Rockham, Seneca, Wecota, Zell, 
Hutterite Colonies:
Thunderbird, Evergreen, Brentwood, Blumengard","Home Health Care/Hospice, Cost/Billing, Telehealth/Outreach services, Education","Home Health Care/Hospice, Cost/Billing, Telehealth, Education",https://faulktonmedical.org/wp-content/uploads/CHNA-2020-Report.docx,https://faulktonmedical.org/wp-content/uploads/CHNA-2020-Report.docx,N/A
Freeman Regional Health Services,510 East Eighth Street,Freeman,57029-2086,SD,,,2019,Combination of counties and places,"Hutchinson County, Turner County, McCook County, and Hanson County",N/A,"Cities: Freeman, Marion, Menno, Parker, and Bridgewater","Specific services, affordability of health care","Promote community health and wellness, Foster and promote community outreach and volunteerism, Position FRHS to meet the changing needs of the surrounding population, Provide access to community based quality care, Address issues relating to work force shortages.",https://freemanregional.com/wp-content/uploads/2021/12/Freeman-Regional-Community-Needs-Assessment-Implementation-Strategy-2019.pdf,https://freemanregional.com/wp-content/uploads/2021/12/Freeman-Regional-Community-Needs-Assessment-Implementation-Strategy-2019.pdf,N/A
Huron Regional Medical Center,172 Fourth Street SE,Huron,57350-2590,SD,QHR,,2019,"Combination of counties, zip codes, and places",Beadle County,"57322, 57324, 57348, 57350, 57379, 57381, 57384, 57384","Carpenter, Cavour, Hitchcock, Huron, Virgil, Wessington, Wosley, Yale
","Physicians, Mental Health, Alcohol use/substance abuse, Maternal and infant measures, Priority Populations, Education/Prevention, Obesity/Overweight, Mental Health/Suicide, Chronic Pain Management, Diabetes, Prevention/Wellness Education, Women's Health, Physical Activity, Flu/Pneumonia, Heart Disease, Alzheimer's, Cancer, Hypertension, Accidents, Kidney Disease, Liver Disease, Lung Disease, Stroke, Continuity of Care, Access to Interpreters, Hospitalist Programs, Gamblers Anonymous
Childhood Immunizations


","Physicians, Mental Health, Alcohol use/substance abuse, Maternal and infant measures, Priority Populations",https://www.huronregional.org/Content/Uploads/huron_regional/files/06.19.19%20-%20HRMC%20CHNA%20Implementation%20Report%20FINAL.pdf,https://www.huronregional.org/Content/Uploads/huron_regional/files/06.19.19%20-%20HRMC%20CHNA%20Implementation%20Report%20FINAL.pdf,N/A
Indian Health Service Hospital,3200 Canyon Lake Drive,Rapid City,57702-8197,SD,U. S. Indian Health Service,,N/A unable to find,,,,,,,,,
Landmann-Jungman Memorial Hospital Avera,600 Billars Street,Scotland,57059-2026,SD,Avera Health,,2019,Combination of counties and places,"Bon Homme County, Hutchinson, and Yankton county ",N/A,"Cities: Scotland, Tyndall","Behavioral Health concerns, Social Determinats of health, health education, Chronic disease treatment and prevention, obesity, access to health care from pediatric to geriatric.","Behavioral Health concerns, Health education, Access to health care from pediatric to geriatric, obesity and social determinants of health. ",https://www.avera.org/app/files/public/74760/2019-chna-landmann.pdf,https://www.avera.org/app/files/public/75770/2019-chna-landmann-implementation-plan.pdf,"Carmen Weber, Administrator / Connie Woehlhaff RN, CHNA Coordinator"
Lead-Deadwood Regional Hospital,61 Charles Street,Deadwood,57732-1303,SD,Regional Health,,2018,List of Counties,"Butte County, Crook County, Custer County, Fall River County, Haakon County, Jackson County, Lawrence
County, Meade County, Oglala Lakota County, Pennington County",N/A,N/A,"Access to Healthcare Services, Cancer, Diabetes, Heart Disease & Stroke, Injury & Violence, Mental Health, Nutrition, Physical Activity, & Weight, Potentially Disabling Conditions, Sexually Transmitted Diseases, Substance Abuse, Tobacco Use","Cancer, Heart Disease & Stroke, Diabetes, Mental Health",https://monument.health/wp-content/uploads/2019/06/2018-PRC-CHNA-Report-RH-Lead-Deadwood-Hospital.pdf,https://monument.health/wp-content/uploads/2019/11/Community-Health-Implementation-Plan_LDRH_2022.pdf,"Professional Research Consultants, Inc. 11326 P Street Omaha, NE 68137-2316 www.PRCCustomResearch.com"
Lewis and Clark Specialty Hospital,2601 Fox Run Parkway,Yankton,57078-5341,SD,,,N/A unable to find,,,,,,,,,
Lifescape,2501 West 26th Street,Sioux Falls,57105-2498,SD,,,2019,List of Counties,"South Dakota: Butte, Lawrence, Meade, Pennington, Custer, Fall River, Corson, Walworth, Dewey, Potter, Haakon, Stanley, Hughes, Bennett, Todd, Tripp, Hyde, Hand, Buffalo, Brule, Gregory, Charles Mix, Brown, Spink, Beadle, Aurora, Douglas, Davison, Hutchinson, Bon Homme, Marshall, Day, Clark, Kingsbury, Miner, McCook, Turner, Yankton, Roberts, Grant, Codington, Hamlin, Deuel, Brookings, Lake, Moody, Minnehaha, Lincoln, Clay, Union.             Minnesota: Big Stone, Cottonwood, Jackson, Kandiyohi, Lincoln, Lyon, Martin, Murray, Nobles, Pipestone, Redwood, Rock, Traverse, and Yellow Medicine                                                              Iowa: Buena Vista, Cherokee, Clay, Dickinson, Emmet, Ida, Kossuth, Lyon, O'brien, Osceloa, Palo Alto, Plymouth, Pocahontas, Sioux, and Woodbury",N/A,N/A,"Lack of mental health services and providers, Lack of parent training and education, Lack of coordination of connecting families to resources in the community, Lack of transportation to services, Lack of availability of affordable healthcare/low fee clinics","Lack of mental health services and providers in our service area, Lack of parent training and education in our service area, Lack of coordination of connecting families to resources in our service area ",https://d1e7v5mylx61rx.cloudfront.net/general-uploads/CHNA-2019-FINAL.pdf,https://d1e7v5mylx61rx.cloudfront.net/general-uploads/CHNA-2019-FINAL.pdf,N/A
Madison Regional Health System,323 SW 10th Street,Madison,57042-3200,SD,,,2019,Combination of counties and zip codes,"Lake County, Miner County",57349,N/A,"Mental and behavioral health education, access, and affordability;
post-acute care, long-term care, senior living continuum; specialty service access awareness, recruiting, and gaps; diabetes & obesity related health issues awareness, education, services and new programming","Mental and behavioral health education, access, and affordability; post-acute care, long-term care, and senior living continuum; specialty service access, awareness, recruiting, and gaps; diabetes & obesity related health issues awareness, education, services and new programming ",https://madisonregionalhealth.org/wp-content/uploads/CHNA2019.cleaned.pdf,https://madisonregionalhealth.org/wp-content/uploads/CHNA2019ImplementationStrategy.cleaned-1.pdf,Tammy.Miller@MadisonHospital.com
Marshall County Healthcare Center Avera,413 Ninth Street,Britton,57430-2274,SD,Avera Health,Yes,2019,List of Counties,Marshall,N/A,N/A,"Mental/Behavioral Health Services, Maintaining EMT/Ambulance Services, Weight Management, Community Education","Mental/Behavioral Health Services, Maintaining EMT/Ambulance Services, Weight Management, Community Education ",https://www.avera.org/app/files/public/74976/2019-chna-marshall-county.pdf,https://www.avera.org/app/files/public/74977/2019-chna-marshall-county-implementation-plan.pdf,N/A
Milbank Area Hospital Avera,301 Flynn Drive,Milbank,57252-1508,SD,Avera Health,Yes,2019,List of Counties,"Grant, Roberts, Day, Marshall, Big Stone, Deuel",N/A,N/A,"Primary Care Physician Access, Mental Health Services, Greater Outreach to Ethnic Minority Patients, Healthcare Affordability","Primary Care Physician Access, Mental Health Services, Greater Outreach to Ethnic Minority Patients",https://www.avera.org/app/files/public/75095/2019-chna-milbank.pdf,https://www.avera.org/app/files/public/75712/2019-chna-milbank-implementation-plan.pdf,N/A
Mobridge Regional Hospital,1401 Tenth Avenue West,Mobridge,57601-1106,SD,,Yes,2019,List of Counties,"Campbell, Corson, Dewey, Walworth, Ziebach",N/A,N/A,"Education Regarding the Dangers Associated with Drug & Alcohol Abuse, Need for Additional Nursing Home Beds/Options, Need for Additional Mental & Behavioral Health Services, Community Transportation, Daycare and Other Childcare Services, Increase Local Income/Decrease Poverty Level - Economic Development, Increase Staffing and Local Workforce Development","Education Regarding the Dangers Associated with Drug & Alcohol Abuse, Need for Additional Nursing Home Beds/Options, Need for Additional Mental & Behavioral Health Services, Community Transportation",https://www.mobridgehospital.org/image/cache/Final_2019_MRH_CHNA_-_Signed.pdf,https://www.mobridgehospital.org/image/cache/Final_2019_MRH_CHNA_-_Signed.pdf,605-845-3692
Hans P. Peterson Memorial Hospital,503 West Pine Street,Philip,57567-3300,SD,Philip Health Services / Monument Health,Yes,2020,Combination of counties and zip codes,Haakon,57657,N/A,"Infant Health & Family Planning, Injury and Violence, Mental Health, Nutrition, Physical Activity & Weight, Sexually Transmitted Diseases, Substance Abuse, Tobacco Use","Access to health Services, Cancer, Diabetes, Heart Disease & Stroke",https://doh.sd.gov/documents/Providers/RuralHealth/2016-2020_PrimaryCareNeedsAssessment.pdf,https://www.philiphealthservices.com/wp-content/uploads/2021/09/Implementation-Strategy-2020-2022-1.pdf,N/A
Pioneer Memorial Hospital and Health Services,315 North Washington Street,Viborg,57070-2002,SD,Sanford Health,Yes,2019,List of Places,N/A,N/A,"Viborg, SD","Economics - employment options and affordable housing, Children and Youth - bullying and cost/availability of child care, Health Care and Wellness - access to affordable health insurance and availibility of mental health providers, Aging Population - cost of long-term care and memory care and availability of resources for caring for elders, Mental Health - depression and alcohol use","Aging Population - Senior Care Education, Mental Health - Education",https://www.sanfordhealth.org/-/media/org/files/about/community-health-needs-assessment/2019-chna-final-report-pioneer-memorial-viborg-sd.pdf,https://templator-admin.azurewebsites.net/Uploads/documents/45/Executive%20Summary%20and%20Implementation%20Strategy.pdf,N/A
Platte Health Center Avera,601 East Seventh,Platte,57369-2123,SD,Avera Health,Yes,2019,"Combination of counties, zip codes, and places","Charles Mix, Aurora, Brule, Douglas ",57369,"Platte, Geddes, White Lake","Affordable Housing & Daycare, Access to information about community services, access to mental health and dental services, screening/prevention, heart/cardiovascular disease, diabetes & prediabetes, obesity/lack of physical exercise/proper nutrition, substance use including alcohol use & smoking ","Providing Access to Preventative and Screening Programs; Health promotion and education to decrease the rate of obesity, cardiovascular disease, & diabetes; Improve access to mental health services to include substance abuse ",https://www.avera.org/app/files/public/74952/2019-chna-platte.pdf,https://www.avera.org/app/files/public/74951/2019-chna-platte-implementation-plan.pdf,N/A
Prairie Lakes Healthcare System,401 9th Avenue NW,Watertown,57201-1548,SD,,Yes,2019,List of Counties,"Primary Service Area:
Clark
Codington
Hamlin

Secondary Service Area:
Day
Roberts
Grant
Deuel
Big Stone (MN)
Lac Qui Parle (MN)
Yellow Medicine (MN)",N/A,N/A,"Mental/behavioral health services; stress management, respite for single parents; Nutrition education/healthy food availability; Obesity care & prevention; Preventative care services and awareness; health education; Drugs, alcohol & alcohol impaired driving deaths; Adult smoking/smoking cessation; Uninsured; Dental care/oral health; Sexually transmitted infections; Teen pregnancy","Behavioral Health, Nutrition Health and Obesity, Preventative Care Services and Awareness, Drugs, Smoking, and Alcohol Use",https://www.prairielakes.com/images/pdfs/Community_Health_Needs_Assessment_2019_-_PLHS.pdf,https://www.prairielakes.com/images/pdfs/Community_Health_Needs_Assessment_2019_-_Implementation_Strategy_-_PLHS.pdf,"Jessica Eidson
Jessica.Eidson@prairielakes.com"
Rapid City Regional Hospital,353 Fairmont Boulevard,Rapid City,57701-7393,SD,Momument Health and Regional Health,Yes,2018,List of Counties,"Butte, Custer, Fall River, Lawrence, Meade, Oglala Lakota, and Pennington Counties.",n/a,N/A,"Access to Healthcare services, Cancer, Diabetes, Heart Disease and Stroke, Infant Health and Family Planning, Injury and Violence, Mental Health, Nutrition, Physical Activity, and Weight, Potentially Disabling Conditions, Sexually Transmitted Diseases, Substance Abuse, Tobacco Use.","Cancer, Heart Diease & Stroke, Diabetes, and Mental Health",https://monument.health/wp-content/uploads/2019/06/2018-PRC-CHNA-Report-Regional-Health-Rapid-City-Hospital.pdf,https://monument.health/wp-content/uploads/2020/02/Community-Health-Implementation-Plan-RCRH.pdf,N/A
Same Day Surgery Center,651 Cathedral Drive,Rapid City,57701-7368,SD,https://monument.health/wp-content/uploads/2020/04/Community-Health-Implementation-Plan-11-2019SDSC-FINAL.pdf,Yes,2018,Combination of counties and places,"Butte, Custer, Fall River,
Lawrence, Meade, 
Oglala Lakota  
Pennington ",N/A,Rapid City,"Access to Healthcare services, Cancer, Diabetes, Heart Disease
and Stroke, Injury and violence, Mental Health, Nutrition, Physical activity and weight, potentially Disabling conditions, Sexually transmitted diseases, Substance Abuse, Tobacco Use.","Cancer, Diabetes ",https://monument.health/wp-content/uploads/2019/06/2018-PRC-CHNA-Report-Regional-Health-Rapid-City-Hospital.pdf,https://monument.health/wp-content/uploads/2020/04/Community-Health-Implementation-Plan-11-2019SDSC-FINAL.pdf,http://www.samedaysurgerycenter.org/contact-us/
Sanford Aberdeen Medical Center,2905 3rd Avenue SE,Aberdeen,57401-5420,SD,Sanford Health,Yes,2022,Combination of counties and places,"Brown, Edmunds",N/A,Aberdeen,"Physical Activity and Nutrition, Access to Affordable Healthcare, Access to Health Care Providers, Public Transportation, Affordable Housing","Improving physical activity and 
nutrition for youth and adults, Access to health care providers particulalry for mental health services and education",https://www.sanfordhealth.org/-/media/org/files/about/community-health-needs-assessment/2022/aberdeen-chna-report-2022-2024.pdf,https://www.sanfordhealth.org/-/media/org/files/about/community-health-needs-assessment/2022/aberdeen-chna-report-2022-2024.pdf,"Ashley Erickson
Executive Director
Community.Benefits.Sanford@SanfordHealth.org <Community.Benefits.Sanford@SanfordHealth.org>;
"
Sanford Canton-Inwood Medical Center,440 North Hiawatha Drive,Canton,57013-5800,SD,Sanford Health,Yes,2022,Combination of counties and places,"Lincoln

",N/A,Canton,"Access to affordable health care, Mental Health, Affordable Housing, Long-Term Care, Nursing Homes and Senior Housing, Public Transportation",Access to affordable Housing Access to senior living,https://www.sanfordhealth.org/-/media/org/files/about/community-health-needs-assessment/2022/canton-inwood-chna-report-2022-2024.pdf,https://www.sanfordhealth.org/-/media/org/files/about/community-health-needs-assessment/2022/canton-inwood-chna-report-2022-2024.pdf,Community.Benefits.Sanford@SanfordHealth.org <Community.Benefits.Sanford@SanfordHealth.org>;
